"","Text","Cluster"
"95","A_CHILD_OF_THE_JAGO_Q4655860","Cluster 4"
"96","ESTHER_WATERS_Q5401319","Cluster 3"
"97","THE_STORY_OF_MY_HEART_Q7766776","Cluster 3"
"98","ACROSS_THE_ZODIAC_Q4676516","Cluster 3"
"99","THE_AUTOBIOGRAPHY_OF_MARK_RUTHERFORD_noWikiID","Cluster 4"
"100","VRIL_Q510699","Cluster 3"
"101","NO_NAME_(NOVEL)_Q7044605","Cluster 1"
"102","THE_LITTLE_LAME_PRINCE_AND_HIS_TRAVELLING_CLOAK_Q7747642","Cluster 4"
"103","ROOKWOOD_(NOVEL)_Q7366231","Cluster 2"
"104","THE_FIDDLER_OF_THE_REELS_Q2288667","Cluster 4"
"105","THE_BEACH_OF_FALESA_Q7715970","Cluster 3"
"106","PLAIN_TALES_FROM_THE_HILLS_Q3484772","Cluster 3"
"107","PUCK_OF_POOK'S_HILL_Q4342308","Cluster 4"
"108","LOVE_AMONG_THE_RUINS_noWikiID","Cluster 3"
"109","KIM_(NOVEL)_Q589868","Cluster 4"
"110","THE_MERCENARY_LOVER_noWikiID","Cluster 4"
"111","SIR_NIGEL_Q1963997","Cluster 4"
"112","CASTLE_RICHMOND_Q5050241","Cluster 1"
"113","LADY_AUDLEY'S_SECRET_Q2738351","Cluster 3"
"114","ZULEIKA_DOBSON_Q8075113","Cluster 4"
"115","SANDERS_OF_THE_RIVER_noWikiID","Cluster 3"
"116","THE_BLACK_PROPHET_noWikiID","Cluster 3"
"117","MARTIN_CHUZZLEWIT_Q1903609","Cluster 1"
"118","FARDOROUGHA_THE_MISER_noWikiID","Cluster 4"
"119","WHAT_MAISIE_KNEW_Q2943614","Cluster 3"
"120","THE_REAL_CHARLOTTE_noWikiID","Cluster 4"
"121","MILLENIUM_HALL_Q6858753","Cluster 2"
"122","THE_O'DONOGHUE_noWikiID","Cluster 1"
"123","THE_TOWER_OF_LONDON_(NOVEL)_Q2414713","Cluster 3"
"124","THE_ADVENTURES_OF_HAJJI_BABA_noWikiID","Cluster 2"
"125","DEERBROOK_noWikiID","Cluster 2"
"126","CONFESSIONS_OF_A_THUG_(NOVEL)_Q5160036","Cluster 3"
"127","THE_PIRATE_(NOVEL)_Q3225628","Cluster 4"
"128","THE_MONASTERY_Q3224650","Cluster 3"
"129","THE_ABBOT_Q2717772","Cluster 2"
"130","THE_BRIDE_OF_LAMMERMOOR_Q2659725","Cluster 2"
