"","Text","canonisation_score","Score.Range","class"
"57","THE_O'DONOGHUE_noWikiID",0.0477757206414661,"Low (0-0.25)","Review & Catalogue"
"58","DEMOS_noWikiID",0.0543008598413405,"Low (0-0.25)","Review & Catalogue"
"59","PAMELA_OR_VIRTUE_REWARDED_Q2048624",0.84402409531542,"High (0.75-1.0)","No Review, Catalogue"
"60","OLIVER_TWIST_Q164974",0.910357373663103,"High (0.75-1.0)","No Review, Catalogue"
"61","ALL_SORTS_AND_CONDITIONS_OF_MEN_noWikiID",0.0520374856859669,"Low (0-0.25)","No Review, Catalogue"
"62","THE_PICKWICK_PAPERS_Q460583",0.724924183340321,"Mid-High (0.5-0.75)","No Review, Catalogue"
"63","THE_VICAR_OF_WREXHILL_noWikiID",0.11291791638611,"Low (0-0.25)","No Review & No Catalogue"
"64","TALES_OF_FASHIONABLE_LIFE_noWikiID",0.122244604531682,"Low (0-0.25)","Review & Catalogue"
"65","POPULAR_TALES_noWikiID",0.127152048513252,"Low (0-0.25)","Review & Catalogue"
"66","VARNEY_THE_VAMPIRE_Q1987925",0.0477757206414661,"Low (0-0.25)","No Review & No Catalogue"
"67","EAST_LYNNE_Q5328900",0.498261873505709,"Mid-Low (0.25-0.5)","No Review, Catalogue"
"68","SKETCHES_BY_BOZ_Q2609480",0.11291791638611,"Low (0-0.25)","Review & Catalogue"
"69","BLEAK_HOUSE_Q883305",0.958008839727505,"High (0.75-1.0)","Review & Catalogue"
"70","DOCTOR_THORNE_noWikiID",0.294299317623214,"Mid-Low (0.25-0.5)","Review & Catalogue"
"71","THE_PRINCESS_CASAMASSIMA_Q3211932",0.122244604531682,"Low (0-0.25)","No Review, Catalogue"
"72","EMMELINE_Q5373421",0.137472234822425,"Low (0-0.25)","Review & Catalogue"
