"","Text","Cluster"
"97","CONFESSIONS_OF_A_YOUNG_MAN_Q5160039","Cluster 4"
"98","CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER_Q1610128","Cluster 4"
"99","CONINGSBY_Q5161083","Cluster 4"
"100","CORAL_ISLAND_Q4232653","Cluster 3"
"101","COUNT_ROBERT_OF_PARIS_noWikiID","Cluster 2"
"102","COUSIN_PHILLIS_noWikiID","Cluster 4"
"103","CRANFORD_(NOVEL)_Q265100","Cluster 2"
"104","CROTCHET_CASTLE_Q5188976","Cluster 4"
"105","DANIEL_DERONDA_Q552238","Cluster 2"
"106","DAUGHTERS_OF_MEN_noWikiID","Cluster 4"
"107","DAVID_COPPERFIELD_Q189811","Cluster 1"
"108","DAVID_ELGINBROD_Q5233331","Cluster 4"
"109","DE_PROFUNDIS_(LETTER)_Q1249459","Cluster 3"
"110","DEERBROOK_noWikiID","Cluster 2"
"111","DEMOS_noWikiID","Cluster 3"
"112","DESPERATE_REMEDIES_Q2846293","Cluster 4"
"113","DIANA_OF_THE_CROSSWAYS_Q5271362","Cluster 4"
"114","DISCIPLINE_noWikiID","Cluster 1"
"115","DOCTOR_THORNE_noWikiID","Cluster 2"
"116","DOMBEY_AND_SON_Q963659","Cluster 1"
"117","DRACULA_Q41542","Cluster 4"
"118","DREAMERS_OF_THE_GHETTO_noWikiID","Cluster 3"
"119","DUBLINERS_Q459592","Cluster 3"
"120","EAST_LYNNE_Q5328900","Cluster 3"
"121","EMMA_(NOVEL)_Q223880","Cluster 1"
"122","EMMA_OR_THE_UNFORTUNATE_ATTACHMENT_noWikiID","Cluster 4"
"123","EMMELINE_Q5373421","Cluster 2"
"124","ENNUI_Q117149111","Cluster 3"
"125","EREWHON_Q1350048","Cluster 2"
"126","EREWHON_REVISITED_Q5385740","Cluster 4"
"127","ERIC_OR_LITTLE_BY_LITTLE_Q5385958","Cluster 4"
"128","ESTHER_noWikiID","Cluster 2"
"129","ESTHER_WATERS_Q5401319","Cluster 3"
"130","EUGENE_ARAM_(NOVEL)_Q16385636","Cluster 3"
"131","EVELINA_Q1635110","Cluster 1"
"132","EVENINGS_AT_HOME_Q5416654","Cluster 4"
"133","EXILUS_noWikiID","Cluster 2"
"134","FANNY_HILL_Q1395765","Cluster 4"
"135","FANTOMINA_Q5434405","Cluster 3"
"136","FAR_FROM_THE_MADDING_CROWD_Q5642996","Cluster 3"
"137","FARDOROUGHA_THE_MISER_noWikiID","Cluster 4"
"138","FELIX_HOLT_THE_RADICAL_Q5442230","Cluster 3"
"139","FIVE_CHILDREN_AND_IT_noWikiID","Cluster 2"
"140","FLATLAND_noWikiID","Cluster 4"
"141","FOR_THE_TERM_OF_HIS_NATURAL_LIFE_noWikiID","Cluster 4"
"142","FORTUNATE_FOUNDLINGS_noWikiID","Cluster 3"
"143","FRANKENSTEIN_Q150827","Cluster 2"
"144","GHETTO_TRAGEDIES_noWikiID","Cluster 4"
"145","GLENARVON_Q3771960","Cluster 2"
"146","GOING_TO_MAYNOOTH_noWikiID","Cluster 4"
"147","GRANNY'S_WONDERFUL_CHAIR_noWikiID","Cluster 4"
"148","GREAT_EXPECTATIONS_Q219552","Cluster 1"
"149","GULLIVER'S_TRAVELS_Q181488","Cluster 2"
"150","GUY_MANNERING_Q2288976","Cluster 2"
"151","HALF_A_LIFE-TIME_AGO_noWikiID","Cluster 4"
"152","HARD_CASH_(NOVEL)_Q30314349","Cluster 3"
"153","HARD_TIMES_(NOVEL)_Q1340493","Cluster 3"
"154","HARRINGTON_noWikiID","Cluster 3"
"155","HAUNTINGS_noWikiID","Cluster 4"
"156","HE_KNEW_HE_WAS_RIGHT_noWikiID","Cluster 1"
"157","HEADLONG_HALL_Q5689829","Cluster 4"
"158","HEART_AND_SCIENCE_noWikiID","Cluster 3"
"159","HEART_OF_DARKNESS_Q129778","Cluster 2"
"160","HELBECK_OF_BANNISDALE_Q19572074","Cluster 4"
"161","HELEN_noWikiID","Cluster 1"
"162","HENRY_DUNBAR_noWikiID","Cluster 4"
"163","HEREWARD_THE_WAKE_(NOVEL)_Q5738318","Cluster 2"
"164","HERMSPRONG_Q5742104","Cluster 3"
"165","HESTER_noWikiID","Cluster 1"
"166","HIDE_AND_SEEK_noWikiID","Cluster 3"
"167","HISTORY_OF_JOHN_BULL_noWikiID","Cluster 4"
"168","HOLIDAY_HOUSE_noWikiID","Cluster 4"
"169","HOWARDS_END_Q1146642","Cluster 2"
"170","HYMNS_IN_PROSE_FOR_CHILDREN_Q9005648","Cluster 4"
"171","IMAGINARY_PORTRAITS_noWikiID","Cluster 4"
"172","IMPRESSIONS_OF_THEOPHRASTUS_SUCH_Q6007633","Cluster 3"
"173","IN_A_GLASS_DARKLY_Q6011356","Cluster 4"
"174","IN_THE_YEAR_OF_JUBILEE_Q19572195","Cluster 2"
"175","IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL)_Q6091852","Cluster 2"
"176","IVANHOE_Q840974","Cluster 2"
"177","JACK_SHEPPARD_noWikiID","Cluster 3"
"178","JANE_EYRE_Q182961","Cluster 1"
"179","JESSICA'S_FIRST_PRAYER_noWikiID","Cluster 4"
"180","JEZEBEL'S_DAUGHTER_noWikiID","Cluster 2"
"181","JOHN_BURNET_OF_BARNS_noWikiID","Cluster 4"
"182","JOHN_HALIFAX_GENTLEMAN_Q6237289","Cluster 1"
