ID,canonisation_score,avg_differences
ADAM_BEDE_Q2611046,0.158330619297716,0.11827875914691935
AFTER_DARK_noWikiID,0.374053924716987,0.13156311037914692
AGNES_GREY_Q517172,0.207211382680442,0.0760636924170616
ALICE'S_ADVENTURES_IN_WONDERLAND_Q92640,0.374053924716987,0.2634000682938388
ALLAN_QUATERMAIN_(NOVEL)_Q4062545,0.172694745758032,0.12347652305213268
ALTON_LOCKE_Q4736895,0.332981899154278,0.08639194203791468
ANNALS_OF_THE_PARISH_Q4767877,0.185923994154683,0.1331713300947867
ANN_VERONICA_Q1247736,0.190637850864638,0.15253559571563985
AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS_Q2743569,0.353247063375283,0.3218282551184836
ARMADALE_Q4792516,0.46129393099787,0.10404259345971567
AT_THE_BACK_OF_THE_NORTH_WIND_Q1619593,0.517417033796863,0.1562801615165877
AURORA_FLOYD_Q4822530,0.733799591996489,0.08940492109004741
AYESHA_(NOVEL)_Q2604590,0.132226821715085,0.13826654853080567
A_CHILD_OF_THE_JAGO_Q4655860,0.325982643945805,0.24637018535545027
A_CHRISTMAS_CAROL_Q62879,0.384640372733741,0.12178439383886265
A_DRAMA_IN_MUSLIN_noWikiID,0.142891468333576,0.11667983890995268
A_JOURNAL_OF_THE_PLAGUE_YEAR_Q1215399,0.148487553986026,0.12544032165876767
A_MODEST_PROPOSAL_Q264143,0.137472234822425,0.3632905205767773
A_PAIR_OF_BLUE_EYES_Q2931240,0.160221548263055,0.1203717280094787
A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792,0.172694745758032,0.1921639871563981
A_SICILIAN_ROMANCE_Q979649,0.395337204568379,0.15330532023696686
A_STUDY_IN_SCARLET_Q223131,0.137472234822425,0.10971796559241712
A_TALE_OF_A_TUB_Q2353123,0.316181109886472,0.18122116649289097
A_TALE_OF_TWO_CITIES_Q308918,0.142891468333576,0.08900426227488152
BELINDA_noWikiID,0.384640372733741,0.08584821028436017
BLACK_BEAUTY_Q880092,0.363586690277014,0.18397978995260647
BLEAK_HOUSE_Q883305,0.958008839727505,0.14471542469194315
CAMILLA_Q2934813,0.550971056761127,0.10908778270142185
CARMILLA_Q1043792,0.137472234822425,0.2726697583270144
CASTLE_RACKRENT_Q5050238,0.86626658311391,0.08830563649289101
CECILIA_Q3233990,0.177146178958168,0.11459583763033171
CHRONICLES_OF_THE_CANONGATE_Q17352486,0.142891468333576,0.1639172463507109
CLARISSA_Q980534,0.965599150597217,0.1806156886255925
