,ID,Year,Similarity,Reception Class
0,GESCHICHTE_DES_AGATHON_Q1517277,-50,0.4921616333585197,"No Review, Catalogue"
1,GESCHICHTE_DES_AGATHON_Q1517277,-49,0.5052458156312889,"No Review, Catalogue"
2,GESCHICHTE_DES_AGATHON_Q1517277,-48,0.5185017169338384,"No Review, Catalogue"
3,GESCHICHTE_DES_AGATHON_Q1517277,-47,0.5317010453879013,"No Review, Catalogue"
4,GESCHICHTE_DES_AGATHON_Q1517277,-46,0.5445313474982888,"No Review, Catalogue"
5,GESCHICHTE_DES_AGATHON_Q1517277,-45,0.5565824950145877,"No Review, Catalogue"
6,GESCHICHTE_DES_AGATHON_Q1517277,-44,0.5673396527257671,"No Review, Catalogue"
7,GESCHICHTE_DES_AGATHON_Q1517277,-43,0.5761891648794819,"No Review, Catalogue"
8,GESCHICHTE_DES_AGATHON_Q1517277,-42,0.5824449147652283,"No Review, Catalogue"
9,GESCHICHTE_DES_AGATHON_Q1517277,-41,0.5854013594890048,"No Review, Catalogue"
10,GESCHICHTE_DES_AGATHON_Q1517277,-40,0.5844138708307003,"No Review, Catalogue"
11,GESCHICHTE_DES_AGATHON_Q1517277,-39,0.578996858751637,"No Review, Catalogue"
12,GESCHICHTE_DES_AGATHON_Q1517277,-38,0.5789117913068244,"No Review, Catalogue"
13,GESCHICHTE_DES_AGATHON_Q1517277,-37,0.5789670799796396,"No Review, Catalogue"
14,GESCHICHTE_DES_AGATHON_Q1517277,-36,0.5790125741346956,"No Review, Catalogue"
15,GESCHICHTE_DES_AGATHON_Q1517277,-35,0.578996858751637,"No Review, Catalogue"
16,GESCHICHTE_DES_AGATHON_Q1517277,-34,0.5789117913068244,"No Review, Catalogue"
17,GESCHICHTE_DES_AGATHON_Q1517277,-33,0.5789670799796396,"No Review, Catalogue"
18,GESCHICHTE_DES_AGATHON_Q1517277,-32,0.6054472681302074,"No Review, Catalogue"
19,GESCHICHTE_DES_AGATHON_Q1517277,-31,0.6054632746514232,"No Review, Catalogue"
20,GESCHICHTE_DES_AGATHON_Q1517277,-30,0.6683461341667487,"No Review, Catalogue"
21,GESCHICHTE_DES_AGATHON_Q1517277,-29,0.6882604953852818,"No Review, Catalogue"
22,GESCHICHTE_DES_AGATHON_Q1517277,-28,0.6882426290215797,"No Review, Catalogue"
23,GESCHICHTE_DES_AGATHON_Q1517277,-27,0.6882720699888194,"No Review, Catalogue"
24,GESCHICHTE_DES_AGATHON_Q1517277,-26,0.6882604953852818,"No Review, Catalogue"
25,GESCHICHTE_DES_AGATHON_Q1517277,-25,0.688263654071593,"No Review, Catalogue"
26,GESCHICHTE_DES_AGATHON_Q1517277,-24,0.6882426290215797,"No Review, Catalogue"
27,GESCHICHTE_DES_AGATHON_Q1517277,-23,0.720667313475437,"No Review, Catalogue"
28,GESCHICHTE_DES_AGATHON_Q1517277,-22,0.7425026521263666,"No Review, Catalogue"
29,GESCHICHTE_DES_AGATHON_Q1517277,-21,0.7425237223349213,"No Review, Catalogue"
30,GESCHICHTE_DES_AGATHON_Q1517277,-20,0.7525649706470954,"No Review, Catalogue"
31,GESCHICHTE_DES_AGATHON_Q1517277,-19,0.7526025656990661,"No Review, Catalogue"
32,GESCHICHTE_DES_AGATHON_Q1517277,-18,0.7527095645333519,"No Review, Catalogue"
33,GESCHICHTE_DES_AGATHON_Q1517277,-17,0.752598927580941,"No Review, Catalogue"
34,GESCHICHTE_DES_AGATHON_Q1517277,-16,0.7525649706470954,"No Review, Catalogue"
35,GESCHICHTE_DES_AGATHON_Q1517277,-15,0.7526025656990661,"No Review, Catalogue"
36,GESCHICHTE_DES_AGATHON_Q1517277,-14,0.7527095645333519,"No Review, Catalogue"
37,GESCHICHTE_DES_AGATHON_Q1517277,-13,0.6615643086720345,"No Review, Catalogue"
38,GESCHICHTE_DES_AGATHON_Q1517277,-12,0.44633011921422366,"No Review, Catalogue"
39,GESCHICHTE_DES_AGATHON_Q1517277,-11,0.2481856521476658,"No Review, Catalogue"
40,GESCHICHTE_DES_AGATHON_Q1517277,-10,0.7396785461175613,"No Review, Catalogue"
41,GESCHICHTE_DES_AGATHON_Q1517277,-9,0.7396697021015215,"No Review, Catalogue"
