,Year,Circulating Library,mean,std
0,-50,0,0.6691095542094455,0.14975295407392603
1,-50,1,0.670290360171614,0.14020187779070464
2,-49,0,0.6699240570182898,0.15036285266049346
3,-49,1,0.6760138014712808,0.14163085452948834
4,-48,0,0.6724701749883432,0.15009188415108624
5,-48,1,0.6812318649241542,0.1412645083712793
6,-47,0,0.6731156300402784,0.1493573092886375
7,-47,1,0.6857460183129571,0.14015487883668715
8,-46,0,0.6759862868432216,0.14631506100014938
9,-46,1,0.6870539729574613,0.14419767747931395
10,-45,0,0.6801117454184288,0.14227339734634442
11,-45,1,0.6911802939777453,0.14439177454046442
12,-44,0,0.6831411196502368,0.14173245895609074
13,-44,1,0.6954131046208332,0.1418259091602455
14,-43,0,0.6863227290248326,0.1397838599791226
15,-43,1,0.7024574565048469,0.13681484846585462
16,-42,0,0.6882714000310602,0.13842268083293302
17,-42,1,0.7060482791834264,0.13394631811708796
18,-41,0,0.6915418377431131,0.1352188590597947
19,-41,1,0.7084877199389917,0.1347309690877663
20,-40,0,0.6933589297785213,0.13499771594434862
21,-40,1,0.7109047429746572,0.13379761053465172
22,-39,0,0.6986418612607345,0.13390073053758358
23,-39,1,0.7155680921634459,0.12718340291653762
24,-38,0,0.700130248390334,0.1317938972140014
25,-38,1,0.7206713895563768,0.12181668332189832
26,-37,0,0.7035351921388731,0.12882410367790212
27,-37,1,0.7221694463650099,0.12341376853196465
28,-36,0,0.7051013027684588,0.13362157126669771
29,-36,1,0.7263215958647653,0.12058971151169853
30,-35,0,0.7089639198843246,0.1298810987819146
31,-35,1,0.7261462500110144,0.11990610975079861
32,-34,0,0.7079313992027818,0.13062396494541637
33,-34,1,0.7259772341918026,0.12078536572270891
34,-33,0,0.7092571274046588,0.13272383229433396
35,-33,1,0.72651688113241,0.12270698934057382
36,-32,0,0.7143882982902255,0.12478699173710266
37,-32,1,0.727475885633847,0.12425055077112586
38,-31,0,0.7157616021486098,0.12761762118616793
39,-31,1,0.7317771467716357,0.11936468235378106
40,-30,0,0.7183939746329396,0.1241424543246834
41,-30,1,0.7317837497672176,0.12199845257678915
42,-29,0,0.7160929803651932,0.12641128340641997
43,-29,1,0.7342884189347328,0.12192497464896883
44,-28,0,0.7199723360518192,0.12377547119366926
45,-28,1,0.7345810051138335,0.12134755778599678
46,-27,0,0.7188886214990403,0.1264075597792828
47,-27,1,0.738532387234583,0.11450619598795062
48,-26,0,0.7201422219504052,0.12463319078491521
49,-26,1,0.7415430477823286,0.11127883769972922
50,-25,0,0.7221169155747151,0.1254090492497821
51,-25,1,0.743885540296917,0.11142695128573406
52,-24,0,0.7245042940186859,0.12797232399464145
53,-24,1,0.7469140385200493,0.11069003589275499
54,-23,0,0.7234615254972402,0.1316675799691983
55,-23,1,0.7511978627555683,0.1073761484017201
56,-22,0,0.7226389406719412,0.13752390549762816
57,-22,1,0.7519704054162921,0.11285187383769223
58,-21,0,0.7278794504054338,0.12859211688297473
59,-21,1,0.7530000676449011,0.11254910530869043
60,-20,0,0.7299103566673497,0.12969712144053364
61,-20,1,0.7545824317352067,0.11098115132323728
62,-19,0,0.7333800670879657,0.12800164109516413
63,-19,1,0.7539716230977959,0.11540260711884753
64,-18,0,0.7347329397719539,0.12703397490130594
65,-18,1,0.7568997745889895,0.11361405965072527
66,-17,0,0.7381082943809196,0.12685856086574135
67,-17,1,0.7612100974555188,0.11183404809488544
68,-16,0,0.7391976248940169,0.12825177300778445
69,-16,1,0.7632755034712072,0.11147754641581153
70,-15,0,0.7428095041280892,0.12758291880715236
71,-15,1,0.7665195259190339,0.10659088699034594
72,-14,0,0.7445422585973914,0.1268839833486245
73,-14,1,0.7684438377941081,0.10739707643738272
74,-13,0,0.7479733359755143,0.12529664089690218
75,-13,1,0.7716108714745759,0.1079075312167479
76,-12,0,0.7505945256634974,0.12390352128723517
77,-12,1,0.7745099606664106,0.10800227018864154
