;Text;CanonisationScore;NearestNeighbour;SimilarityScore
788;ALTE_NESTER_Q436036;0.064533999;ZUM_WILDEN_MANN_Q229600;0.883690008
834;ALTERSHAUSEN_noWikiID;0.056072341;BUDDENBROOKS_Q326909;0.859484201
835;ALTERSHAUSEN_noWikiID;0.056072341;FRAU_BERTHA_GARLAN_Q1451457;0.847812125
836;ALTERSHAUSEN_noWikiID;0.056072341;DER_STECHLIN_(ROMAN)_Q1197130;0.842903003
1694;AMANDA_UND_EDUARD_noWikiID;0.042430992;HEINRICH_VON_OFTERDINGEN_Q58178849;0.893782137
1695;AMANDA_UND_EDUARD_noWikiID;0.042430992;HOLLINS_LIEBELEBEN_Q1624844;0.873366318
1696;AMANDA_UND_EDUARD_noWikiID;0.042430992;AGNES_VON_LILIEN_Q105642294;0.872064138
129;AMAZONENSCHLACHT_noWikiID;0.020546783;DER_BUETTNERBAUER_noWikiID;0.849205983
130;AMAZONENSCHLACHT_noWikiID;0.020546783;RITTMEISTER_BRAND_noWikiID;0.839870939
131;AMAZONENSCHLACHT_noWikiID;0.020546783;AUS_TROTZKOPFS_EHE_noWikiID;0.824820108
1544;AN_HEILIGEN_WASSERN_noWikiID;0.020546783;LEIB_WEIHNACHTSKUCHEN_UND_SEIN_KIND_noWikiID;0.824116854
1545;AN_HEILIGEN_WASSERN_noWikiID;0.020546783;KINDER_DER_EIFEL_Q111345448;0.819853624
1546;AN_HEILIGEN_WASSERN_noWikiID;0.020546783;DAS_RECHT_DER_MUTTER_noWikiID;0.786460521
627;ANDREA_DELFIN_Q28054637;0.056072341;SOLL_UND_HABEN_(ROMAN)_Q2298931;0.852365483
628;ANDREA_DELFIN_Q28054637;0.056072341;ISEGRIMM_noWikiID;0.809066864
629;ANDREA_DELFIN_Q28054637;0.056072341;DIE_VERLORENE_HANDSCHRIFT_noWikiID;0.798004461
696;ANDROGYNE_noWikiID;0.020546783;DE_PROFUNDIS_noWikiID;0.74131934
697;ANDROGYNE_noWikiID;0.020546783;KINDER_DER_EIFEL_Q111345448;0.726985882
698;ANDROGYNE_noWikiID;0.020546783;DIE_GOETTINNEN_ODER_DIE_DREI_ROMANE_DER_HERZOGIN_VON_ASSY_Q1213243;0.724718954
801;ANGELA_BORGIA_noWikiID;0.097511134;DIE_VERSUCHUNG_DES_PESCARA_Q1217221;0.887197936
802;ANGELA_BORGIA_noWikiID;0.097511134;UNSUEHNBAR_noWikiID;0.855835869
803;ANGELA_BORGIA_noWikiID;0.097511134;DIE_HOCHZEIT_DES_MOENCHS_Q1213463;0.826974042
1427;ANNA_noWikiID;0.036753602;ADELE_noWikiID;0.88698072
1428;ANNA_noWikiID;0.036753602;JENNY_noWikiID;0.886821535
1429;ANNA_noWikiID;0.036753602;SCHWARZWAELDER_DORFGESCHICHTEN_Q60982841;0.837950275
1241;ANTON_REISER_Q593385;0.82794304;HERRMANN_UND_ULRIKE_noWikiID;0.857026946
1242;ANTON_REISER_Q593385;0.82794304;JULCHEN_GRUENTHAL_noWikiID;0.854122291
1243;ANTON_REISER_Q593385;0.82794304;WILHELM_MEISTERS_THEATRALISCHE_SENDUNG_Q2574172;0.851747447
1331;AQUIS_SUBMERSUS_Q623355;0.389868772;IM_NACHBARHAUSE_LINKS_noWikiID;0.86099738
1332;AQUIS_SUBMERSUS_Q623355;0.389868772;POLE_POPPENSPAELER_Q1760267;0.840586475
1333;AQUIS_SUBMERSUS_Q623355;0.389868772;DRAUSSEN_IM_HEIDEDORF_Q84314019;0.812043009
729;ARBEIT_noWikiID;0.020546783;FRAU_BERTHA_GARLAN_Q1451457;0.911284121
730;ARBEIT_noWikiID;0.020546783;CHRISTA_RUHLAND_noWikiID;0.903063418
731;ARBEIT_noWikiID;0.020546783;IM_SCHLARAFFENLAND_Q1285424;0.902976866
921;ARDINGHELLO_noWikiID;0.274620702;ANTON_REISER_Q593385;0.859138539
922;ARDINGHELLO_noWikiID;0.274620702;DSCHINNISTAN_Q1262121;0.847109062
923;ARDINGHELLO_noWikiID;0.274620702;JULCHEN_GRUENTHAL_noWikiID;0.800094479
1355;ARDISTAN_UND_DSCHINNISTAN_Q639501;0.060164085;DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS_noWikiID;0.876802765
1356;ARDISTAN_UND_DSCHINNISTAN_Q639501;0.060164085;DER_REBELL_noWikiID;0.87040618
1357;ARDISTAN_UND_DSCHINNISTAN_Q639501;0.060164085;GESCHWISTER_TANNER_Q1510146;0.859907696
1691;ARIEL'S_OFFENBARUNGEN_noWikiID;0.060164085;HYPERION_(HOELDERLIN)_Q1190094;0.760326943
1692;ARIEL'S_OFFENBARUNGEN_noWikiID;0.060164085;TITAN_(JEAN_PAUL)_Q492384;0.697409503
1693;ARIEL'S_OFFENBARUNGEN_noWikiID;0.060164085;FRANZ_STERNBALDS_WANDERUNGEN_Q1449176;0.688826744
1193;ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN_noWikiID;0.064533999;AGATHODAEMON_noWikiID;0.948729225
1194;ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN_noWikiID;0.064533999;SIEBENKAES_Q2282375;0.847448898
1195;ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN_noWikiID;0.064533999;GEHEIME_GESCHICHTE_DES_PHILOSOPHEN_PEREGRINUS_PROTEUS_noWikiID;0.835720195
1352;ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540;0.154236864;DER_WINTERGARTEN_noWikiID;0.876918874
1353;ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540;0.154236864;RINALDO_RINALDINI_noWikiID;0.816619539
1354;ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES_Q689540;0.154236864;GODWI_Q1533941;0.808325201
528;ASPASIA_noWikiID;0.020546783;DIE_AHNEN_Q42185371;0.870127965
529;ASPASIA_noWikiID;0.020546783;DIE_LETZTE_RECKENBURGERIN_noWikiID;0.845139185
530;ASPASIA_noWikiID;0.020546783;DIE_ZWEITE_FRAU_noWikiID;0.836736657
318;AUCH_EINER_Q758582;0.022106849;VOR_DEM_STURM_(ROMAN)_Q1273542;0.913979201
319;AUCH_EINER_Q758582;0.022106849;NOVELLEN_AUS_OESTERREICH_noWikiID;0.901982432
320;AUCH_EINER_Q758582;0.022106849;WALDHEIMAT_Q41547677;0.897154182
1214;AUF_DEM_STAATSHOF_noWikiID;0.074172235;IMMENSEE_noWikiID;0.806438148
1215;AUF_DEM_STAATSHOF_noWikiID;0.074172235;DIE_CHRONIK_DER_SPERLINGSGASSE_Q1211874;0.760774996
1216;AUF_DEM_STAATSHOF_noWikiID;0.074172235;BRIGITTA_(STIFTER)_Q539511;0.745867277
1442;AUF_DER_UNIVERSITAET_Q15792139;0.056072341;AUF_DEM_STAATSHOF_noWikiID;0.912294863
1443;AUF_DER_UNIVERSITAET_Q15792139;0.056072341;DIE_KINDER_VON_FINKENRODE_Q1213860;0.802951521
1444;AUF_DER_UNIVERSITAET_Q15792139;0.056072341;IMMENSEE_noWikiID;0.798223508
75;AUF_DER_WEGWACHT_noWikiID;0.020546783;FREIHEIT_DIE_ICH_MEINE_noWikiID;0.938886083
76;AUF_DER_WEGWACHT_noWikiID;0.020546783;ELEAGABAL_KUPERUS_noWikiID;0.90502331
77;AUF_DER_WEGWACHT_noWikiID;0.020546783;DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS_noWikiID;0.9002108
1565;AUF_ZWEI_PLANETEN_Q4310936;0.020546783;DER_SCHATZ_IM_SILBERSEE_Q249905;0.883919429
1566;AUF_ZWEI_PLANETEN_Q4310936;0.020546783;DER_BUETTNERBAUER_noWikiID;0.880113422
1567;AUF_ZWEI_PLANETEN_Q4310936;0.020546783;PFLUG_UND_SCHRAUBSTOCK_noWikiID;0.84214803
1175;AUS_DEM_BOEHMERWALDE_noWikiID;0.020546783;DER_HOCHWALD_Q1194364;0.841512286
1176;AUS_DEM_BOEHMERWALDE_noWikiID;0.020546783;DER_ROLAND_VON_BERLIN_noWikiID;0.832476099
1177;AUS_DEM_BOEHMERWALDE_noWikiID;0.020546783;DICHTER_UND_IHRE_GESELLEN_Q1209499;0.822175697
1586;AUS_DEM_LEBEN_EINER_FRAU_Q101323690;0.027513442;LA_SIBYLLE_noWikiID;0.882047156
1587;AUS_DEM_LEBEN_EINER_FRAU_Q101323690;0.027513442;JENNY_noWikiID;0.864181206
1588;AUS_DEM_LEBEN_EINER_FRAU_Q101323690;0.027513442;ANNA_noWikiID;0.855630855
687;AUS_DEM_LEBEN_EINES_TAUGENICHTS_Q777658;0.462879594;DAS_SCHLOSS_DUERANDE_Q1170280;0.8307503
688;AUS_DEM_LEBEN_EINES_TAUGENICHTS_Q777658;0.462879594;AHNUNG_UND_GEGENWART_Q402329;0.829359314
689;AUS_DEM_LEBEN_EINES_TAUGENICHTS_Q777658;0.462879594;DIE_MEHREREN_WEHMUELLER_noWikiID;0.777039653
546;AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI_noWikiID;0.259978378;CABANIS_noWikiID;0.825158861
547;AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI_noWikiID;0.259978378;DAS_BUCH_LE_GRAND_noWikiID;0.817490208
548;AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI_noWikiID;0.259978378;DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283;0.782645753
