,text_id,intra_textual_variance,stepwise_distance,outlier_score,overlap_score
0,GRANDISON_DER_ZWEYTE_noWikiID,21.385387485915906,47.36115605120619,0.54010767,1.0
1,DIE_HOCHZEIT_DES_MOENCHS_Q1213463,21.91258439371185,48.47470149280319,0.6769178,1.0
2,MEINE_KINDERJAHRE_Q1918015,19.084986487341258,41.86271211195424,2.9802322e-08,1.0
3,STUFENJAHRE_EINES_GLUECKLICHEN_noWikiID,18.542734240549493,39.8888894370949,0.4145859,0.9973045822102425
4,LEIB_WEIHNACHTSKUCHEN_UND_SEIN_KIND_noWikiID,18.522708365515655,41.67780311536539,2.9802322e-08,1.0
5,WIE_WUNDERBAR_noWikiID,28.174557540790282,70.67649835852558,1.7832775,1.0
6,DAS_ERDBEBEN_IN_CHILI_Q1167748,25.312305391375205,55.827214489294626,2.9802322e-08,1.0
7,DES_VETTERS_ECKFENSTER_Q979343,21.785441894595543,48.58163435817601,4.2146848e-08,1.0
8,ISEGRIMM_noWikiID,19.435005909290684,42.3024414346353,2.9802322e-08,1.0
9,DER_TOD_GEORGS_noWikiID,24.32840195839603,53.3233212269795,5.1619136e-08,1.0
10,DER_HEXENMEISTER_noWikiID,21.87024832322939,49.32041200506156,4.2146848e-08,1.0
11,FRAU_BEATE_UND_IHR_SOHN_Q1451452,20.63643326225519,44.69160810887551,5.1619136e-08,0.984375
12,ZUR_CHRONIK_VON_GRIESHUUS_noWikiID,19.999334834772753,45.64902988210415,0.570242,1.0
13,ASPASIA_noWikiID,20.985292566633074,45.03655348659672,0.51790136,1.0
14,WILHELM_MEISTERS_WANDERJAHRE_Q478344,18.46875081771348,39.92074051655701,2.9802322e-08,1.0
15,DER_TOLLE_INVALIDE_AUF_DEM_FORT_RATONNEAU_Q1199666,21.35704816672498,47.985969950276875,2.9802322e-08,1.0
16,POLE_POPPENSPAELER_Q1760267,18.464307566381134,42.61996415924564,0.5854168,1.0
17,ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE_noWikiID,24.576400003158746,53.35305139595727,4.2146848e-08,0.9885714285714285
18,DIE_ENTFUEHRUNG_noWikiID,22.17066445995891,50.74252750110251,4.2146848e-08,1.0
19,DER_SADDUZAEER_VON_AMSTERDAM_noWikiID,23.64908698054645,50.0455668494289,0.7855123,1.0
20,REISENOVELLEN_noWikiID,20.44878091792527,44.478746250076924,2.1073424e-08,0.9947916666666666
21,GELD_UND_GEIST_noWikiID,24.12433502635578,53.77687543016851,2.9802322e-08,1.0
22,DER_LANDPREDIGER_Q1195163,22.65912991766512,49.69705818007989,2.9802322e-08,1.0
23,LIED_DER_PARZEN_noWikiID,19.04492399110509,41.02924706519229,0.44061476,1.0
24,DIE_FRAU_PROFESSORIN_noWikiID,20.147605512681668,44.84436164040677,2.9802322e-08,1.0
25,KRAMBAMBULI_(ERZAEHLUNG)_Q1385007,20.56802685621674,45.25994662097023,1.0404254,1.0
26,DER_AMERIKAMUEDE_noWikiID,21.318316804704658,45.491166880077685,0.4556081,1.0
27,DIE_KINDER_VON_FINKENRODE_Q1213860,20.371037337498493,45.485544350666906,0.63871115,1.0
28,AUS_EINER_FAMILIE_noWikiID,18.932342890393492,44.32354611401321,5.1619136e-08,1.0
29,GUTMANNS_REISEN_Q1557236,26.751088784771195,59.98527282353309,7.884953e-08,1.0
30,RITTMEISTER_BRAND_noWikiID,16.55405041097961,36.161529756948035,2.1073424e-08,0.9940828402366864
31,FRAU_BERTHA_GARLAN_Q1451457,18.46932250885418,41.00136947175002,2.9802322e-08,0.9914529914529915
32,HEIDI_(ROMAN)_Q271697,20.094303252485275,44.83973884923964,2.9802322e-08,1.0
33,DAS_STEINERNE_HERZ_noWikiID,22.69882145213759,50.820280163220545,5.9604645e-08,1.0
34,DER_ARME_SPIELMANN_Q1198306,21.650311573746315,48.94853195601379,5.1619136e-08,1.0
35,TRAGIK_DES_LEBENS_noWikiID,20.347029433343536,46.09979890524383,2.9802322e-08,1.0
36,DER_BESUCH_noWikiID,20.0215637678562,45.2842024573763,2.9802322e-08,1.0
37,DIE_STEINKLOPFER_Q1216451,21.346484688435734,46.72575946087212,0.616575,1.0
38,SCHWEIGEN_noWikiID,17.423497676608303,38.23518916013479,0.56591266,1.0
39,NEUE_IDYLLEN_noWikiID,30.617210597621366,67.97727928517136,4.2146848e-08,1.0
40,DER_GENIUS_noWikiID,20.723663716082466,44.59420739280349,2.1073424e-08,1.0
41,DAS_FRAEULEIN_VON_SCUDERI_Q358642,23.58393939749381,52.4396358165087,0.93634695,1.0
42,DES_DEUTSCHEN_SPIESSERS_WUNDERHORN_noWikiID,26.5445191006684,61.39982305215079,4.2146848e-08,1.0
43,DER_VERBRECHER_AUS_VERLORENER_EHRE_Q1197800,25.77284842060874,56.10766141857462,5.1619136e-08,1.0
44,TOTENMESSE_noWikiID,25.59225923329581,55.807605254996396,2.9802322e-08,1.0
45,AMAZONENSCHLACHT_noWikiID,19.046039632202753,42.45130993045923,0.7230877,1.0
46,TUBUTSCH_Q23793189,17.079244150864625,37.83794678957062,2.9802322e-08,1.0
47,VERWORRENES_LEBEN_noWikiID,22.158528427257824,49.41803054251742,0.5514823,1.0
48,DAS_RECHT_DER_MUTTER_noWikiID,22.020877936618703,47.61130740958595,0.3810522,1.0
49,NEUE_GESCHICHTEN_AUS_DEM_GHETTO_noWikiID,17.71719966522441,38.73378732909935,2.1073424e-08,1.0
50,TAMBI_noWikiID,20.024478061584034,44.75031751843998,0.69857484,1.0
51,DER_FAUST_DER_MORGENLAENDER_noWikiID,22.088311375292836,46.96277600202008,2.9802322e-08,1.0
52,DIE_ZWEITE_FRAU_noWikiID,18.652840741318325,40.43989893788089,2.1073424e-08,1.0
53,DIE_WIEDERTAEUFER_noWikiID,21.07947037864765,47.51435373004066,5.1619136e-08,1.0
54,FRANZ_STERNBALDS_WANDERUNGEN_Q1449176,20.902063508581875,44.79637215514775,3.6500243e-08,0.9914893617021276
55,TITAN_(JEAN_PAUL)_Q492384,18.29042125703525,38.7078703655188,2.1073424e-08,0.9916387959866221
56,ARBEIT_noWikiID,19.124831847292477,41.97540681836088,2.1073424e-08,1.0
57,ZUERICHER_NOVELLEN_Q248678,18.928330272134346,41.12928753782849,0.4724679,0.9959016393442623
58,FRIDOLIN_UND_SEIN_GLUECK_noWikiID,19.462205591441418,43.40727055690041,2.9802322e-08,1.0
59,TAGEBUCH_EINES_ARMEN_FRAEULEINS_noWikiID,17.147937975834342,38.00049635600685,0.64097923,0.9893617021276596
60,DIE_RICHTERIN_(NOVELLE)_Q1215781,21.528153237920563,48.624223830650145,0.7198822,1.0
61,EIN_KAMPF_UM_ROM_Q636812,20.965218804394816,45.089162956242845,2.9802322e-08,0.9980657640232108
62,HANS_UND_HEINZ_KIRCH_Q1489200,19.024431641048018,42.850966022330304,2.9802322e-08,1.0
63,NOVELLEN_AUS_OESTERREICH_noWikiID,18.524592970271147,40.217015531956164,2.9802322e-08,0.994579945799458
64,DER_BLONDE_ECKBERT_Q1198407,23.21029427510001,50.87066501151106,7.3000486e-08,1.0
65,DIE_FAMILIE_noWikiID,23.18113319770555,52.472324104624015,4.2146848e-08,0.994535519125683
66,DER_WEHRWOLF_noWikiID,20.92432667350358,46.81982349183374,2.9802322e-08,1.0
67,DRAUSSEN_IM_HEIDEDORF_Q84314019,18.912021566455554,42.12108527216368,0.62638354,1.0
68,LEBEN_DES_QUINTUS_FIXLEIN_Q1810877,22.370068047101487,48.1402198837835,0.38563973,1.0
69,SERAPHINE_noWikiID,19.519736669637318,41.8102034744848,3.6500243e-08,1.0
70,DIE_DREI_GERECHTEN_KAMMMACHER_Q1218123,25.878757232130305,56.191168994994115,4.2146848e-08,1.0
71,BEATRICE_noWikiID,19.13090478535422,41.9930584669068,0.56391263,1.0
72,DER_SCHUEDDERUMP_Q1196819,19.027364300407598,41.37600913477022,0.41940692,0.9961389961389961
73,DER_GOTTSUCHER_Q55978264,21.85300692835275,47.47204176387909,0.47219545,0.9931972789115646
74,ARIEL'S_OFFENBARUNGEN_noWikiID,28.2011222989717,62.196909938533565,1.024985,1.0
75,DER_FINDLING_noWikiID,22.846217422007694,52.465103068907794,7.3000486e-08,1.0
76,DIE_SCHWARZE_GALEERE_noWikiID,25.712091742428747,58.581298858600235,2.9802322e-08,1.0
77,DER_DRAEUMLING_Q1193032,18.90725301282271,41.200481424729155,2.1073424e-08,1.0
78,LEBEN_UND_TATEN_DES_BERUEHMTEN_RITTERS_SCHNAPPHAHNSKI_Q15825464,21.01344057109548,45.98164729115807,0.572972,1.0
79,DAS_ALTE_HAUS_noWikiID,19.942272889809363,44.42036847228633,0.729795,1.0
80,SANKT_THOMAS_(NOVELLE)_Q1499960,23.465447461818815,53.59720276767559,4.2146848e-08,1.0
81,ROMAN_AUS_DER_DECADENCE_noWikiID,19.189230965141824,41.8756175580327,2.9802322e-08,1.0
82,DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID,18.543499606265573,40.372410156998036,2.1073424e-08,1.0
83,MARTIN_SALANDER_Q1904882,18.08160501752749,39.49062899272896,2.1073424e-08,1.0
84,BELPHEGOR_noWikiID,23.756224363889014,50.66243656586712,0.68769103,1.0
85,DIE_WASSERNOT_IM_EMMENTAL_noWikiID,28.60035584856727,61.91632911994545,2.9802322e-08,1.0
86,DER_PRINZ_VON_THEBEN_noWikiID,27.497337184153533,61.41549138059171,5.1619136e-08,1.0
87,BARBAROSSA_noWikiID,19.729584393671878,43.51848213401148,2.9802322e-08,1.0
88,DER_LANDVOGT_VON_GREIFENSEE_Q1195171,20.23485286486785,44.414292704148835,5.9604645e-08,0.9852941176470589
89,DER_UEBERGANG_noWikiID,19.23302816251494,41.410108052728184,0.48122215,1.0
90,JULCHEN_GRUENTHAL_noWikiID,18.598747295290828,40.49328299570688,2.9802322e-08,1.0
91,FLORENTIN_noWikiID,21.49362608766137,46.697796841927065,0.36505756,1.0
92,"WIE_FRAUEN_WERDEN._WERDE,_DIE_DU_BIST_noWikiID",22.22281161053566,48.91458771198723,0.7202642,1.0
93,DIE_AKTEN_DES_VOGELSANGS_Q1210969,20.26728467129461,45.41181283144989,0.4740346,1.0
94,DAS_KREUZ_IM_VENN_noWikiID,19.858484532459762,44.01291632215339,4.2146848e-08,1.0
95,DER_ZWEIKAMPF_noWikiID,24.409253521483965,53.29046274657792,5.1619136e-08,1.0
96,EIN_FEST_AUF_HADERSLEVHUUS_noWikiID,19.473919982366564,43.37102240358085,0.570242,1.0
97,ABDALLAH_noWikiID,22.375862570382953,48.7395304537651,0.8150417,1.0
98,ADDRICH_IM_MOOS_noWikiID,19.373103149210547,41.6811858247468,0.37693566,1.0
99,DAS_VERLASSENE_HAUS_noWikiID,25.27594210623679,57.613820321040556,0.7615301,1.0
100,SCHACHTEL_MIT_DER_FRIEDENSPUPPE_noWikiID,21.557174072489456,47.36611173819721,2.9802322e-08,1.0
101,DIE_EPIGONEN_noWikiID,18.92019141450225,40.459999379435715,0.3248373,0.9912087912087912
102,REICHSGRAEFIN_GISELA_noWikiID,17.65994135374251,38.63773403191108,2.1073424e-08,1.0
103,ESCH_ODER_DIE_ANARCHIE_noWikiID,20.125704240288854,43.422166979697884,3.6500243e-08,1.0
104,DIE_LEIDEN_DES_JUNGEN_WERTHERS_Q151883,21.225666561242186,45.451217444370194,2.1073424e-08,1.0
105,DER_ZAUBERRING_noWikiID,20.06370769808465,43.124071553878935,2.1073424e-08,0.9966329966329966
106,PLAUTUS_IM_NONNENKLOSTER_Q1772718,20.72777840149166,47.48302182309625,2.9802322e-08,1.0
107,ANDROGYNE_noWikiID,27.70094766209624,61.198096552657574,0.95364225,1.0
108,HOLLAENDISCHE_LIEBHABEREIEN_noWikiID,19.522775971614518,42.17805293973608,2.1073424e-08,1.0
109,DER_SANDMANN_(HOFFMANN)_Q798227,24.833985432725193,55.474654614418924,5.1619136e-08,1.0
110,DIE_BARONIN_noWikiID,21.748529221693424,47.00625737630939,4.2146848e-08,0.9711538461538461
