,Year,mean,std
0,-50,0.6697062158793752,0.14487808740219282
1,-49,0.6730012070422393,0.14591823774081056
2,-48,0.6768974600089119,0.14563512337892903
3,-47,0.6794977696974978,0.1447901055688109
4,-46,0.68157879254759,0.14522601546417294
5,-45,0.6857046869165994,0.143327917683531
6,-44,0.6893421579922695,0.14178721778629363
7,-43,0.6944612335385612,0.1384076711107722
8,-42,0.6972382209086205,0.13635323194625268
9,-41,0.700089496134685,0.13512005546871161
10,-40,0.7022091988686358,0.1345616862088446
11,-39,0.7071796073598094,0.13071489039741577
12,-38,0.7104913883788494,0.12716328531124393
13,-37,0.7129344808666952,0.12635709824355731
14,-36,0.715805013219153,0.12754534539998394
15,-35,0.7176308447806796,0.12513437524495036
16,-34,0.717033883870965,0.12597034024965856
17,-33,0.717963105475447,0.12794821990864647
18,-32,0.7209897973736044,0.12457891405400875
19,-31,0.7238399897362384,0.1236743633352558
20,-30,0.7251479000093126,0.12313930983446585
21,-29,0.725270926451416,0.12439250222765351
22,-28,0.7273410827039112,0.12266650394210052
23,-27,0.7287971170905133,0.12084510612883062
24,-26,0.7309369947686241,0.118466542224668
25,-25,0.733097209526302,0.11895746140132864
26,-24,0.7358079746666398,0.11998688231278033
27,-23,0.7374519883823933,0.12072488279565147
28,-22,0.7374340004900793,0.12642938439090037
29,-21,0.7405505201241068,0.12131265022319347
30,-20,0.7423551776010483,0.12114403706567323
31,-19,0.7437666367860458,0.1221371729267177
32,-18,0.7459140945473899,0.12085536388758528
33,-17,0.7497610557201354,0.11996882009991759
34,-16,0.7513427276684022,0.12058105457967412
35,-15,0.7547690565658497,0.1179582930568248
36,-14,0.7565772086858791,0.11798064554227673
37,-13,0.7598753344838447,0.1173590563109424
38,-12,0.7626364524431333,0.1166819910871805
39,-11,0.7646716669672673,0.11787345686549106
40,-10,0.7672414952803425,0.11653484257930626
41,-9,0.7698744233659665,0.11493608165133677
42,-8,0.7729598994111534,0.114835510806703
43,-7,0.7755545789733609,0.11446314741377095
44,-6,0.7786492519358078,0.11235847264887354
45,-5,0.7821562213263304,0.11187906747703756
46,-4,0.7971807972574501,0.10705297499063744
47,-3,0.798057531998955,0.10838414217768774
48,-2,0.7996172425039527,0.10805072225167098
49,-1,0.8018195130432273,0.10476597124241929
50,0,0.8025839579351497,0.10434487246336244
51,1,0.804339771140258,0.10219819026224503
52,2,0.8049384168642263,0.09908286001628383
53,3,0.8039950740684967,0.09940146633207013
54,4,0.8030019118837164,0.10006057446145032
55,5,0.8021181292327617,0.10114582020563315
56,6,0.7900582820964542,0.10150371536141975
57,7,0.7874303992591983,0.10265437330946307
58,8,0.7852752712492012,0.104047311789475
59,9,0.783469455353511,0.1046819685480689
60,10,0.780768195468064,0.10520641290067631
61,11,0.7800142330783936,0.10584261669090876
62,12,0.7777658084169223,0.10706962164965383
63,13,0.7768879974843954,0.10453285747058531
64,14,0.7756554496496011,0.103702653207225
65,15,0.773451808165503,0.10560095973018402
66,16,0.7741479535197087,0.10303298867101675
67,17,0.7720978515988396,0.10432194756221234
68,18,0.7727898424111161,0.10176549262566316
69,19,0.7719901229535222,0.09968878080246345
70,20,0.7709888498386924,0.09995374840725978
71,21,0.7713107787906492,0.09930462239543032
72,22,0.7694732860961228,0.09916111785818503
73,23,0.7664684756047047,0.10205775513007166
74,24,0.7633915448390054,0.10461798275018909
75,25,0.7619987826075274,0.10343892209484705
76,26,0.7596757816438182,0.10338464603806928
77,27,0.7572740021749028,0.10399440635921446
78,28,0.7545555821473712,0.10599184453459247
79,29,0.7530866577091435,0.10790617530822334
80,30,0.7526838250703669,0.10881979482346735
81,31,0.7515320974397068,0.10947052417788568
82,32,0.7510786819734121,0.10993529678802026
83,33,0.7500412277527743,0.11034493750675088
84,34,0.7505225647219612,0.10950470413066479
85,35,0.7504922519899184,0.10770353779673204
86,36,0.7487740627893669,0.1078342636607557
87,37,0.7495183730917047,0.10720846046385665
88,38,0.746042800376082,0.10832872392138115
89,39,0.7440508777908139,0.1090093919982439
90,40,0.7430214486577076,0.11080410941572137
91,41,0.741844842822211,0.11182500135290561
92,42,0.7410904813551761,0.11233842361984574
93,43,0.7401224294168561,0.11187270813302147
94,44,0.7388831289115824,0.1116313484668951
95,45,0.7369393944315351,0.11372820557943375
96,46,0.7354873481301603,0.11457372759891457
97,47,0.7342869223878714,0.11325581256582593
98,48,0.7316812136398342,0.11418966913434893
99,49,0.7324130450210424,0.11244174590706921
100,50,0.7310505654190375,0.1133923890361497
