louvain;id_A;betweenness;Source
0;1;35838;HENRY_KEARY_Q5724242
3;10;3629884;AGNES_MARY_FRANCES_DUCLAUX_Q517162
25;100;14346;PETER_GILES_noWikiID
22;1000;0;SHERIDAN_LE_FANU_Q326467
34;1001;0;MICHAEL_ROBERTS_(WRITER)_Q6833912
34;1002;35848;NEW_LINES_noWikiID
20;1003;0;THE_MONTHLY_PACKET_noWikiID
20;1004;7174;DAILY_NEWS_noWikiID
15;1005;0;MEUNIER_noWikiID
15;1006;14346;FRANKLIN_BLAKE_noWikiID
55;1007;78778;A_STRUGGLE_FOR_FAME_noWikiID
55;1008;7174;THE_NATURAL_DAUGHTER_Q1219062
22;1009;57280;THE_CORNHILL_MAGAZINE_noWikiID
27;101;0;JOHN_BANIM_Q460546
22;1010;14346;HENRY_COLBURN_Q2846305
22;1011;21516;ATHENÆUM_noWikiID
12;1012;0;SANDRA_DAY_O'CONNOR_Q11132
12;1013;7174;CHARLES_BROCKDEN_BROWN_Q468280
56;1014;121502;BELLOW_noWikiID
56;1015;327482;LUDENDORFF_noWikiID
56;1016;92996;THE_GIGLI_CONCERT_Q7736432
56;1017;7174;STEPHEN_HERO_Q2070762
56;1018;0;PHILLIPS_noWikiID
39;1019;57328;JUPITER_noWikiID
27;102;57326;ENNUI_(SONNET)_Q5379242
39;1020;0;FAREWELL_noWikiID
40;1021;0;ERNEST_GELLNER_Q170078
40;1022;14346;J._G._A._POCOCK_noWikiID
60;1023;100170;DESAI_noWikiID
60;1024;114334;WATERS_noWikiID
60;1025;0;THE_ARRIVANTS_noWikiID
60;1026;21516;PARADE'S_END_noWikiID
48;1027;0;FERGUS_noWikiID
48;1028;14346;MACLEOD_noWikiID
15;1029;0;OSGAR_Q7106516
28;103;78772;TALES_FROM_SHAKESPEARE_Q589197
15;1030;0;VALERIE_noWikiID
41;1031;0;BRECHT_noWikiID
52;1032;7174;JÜRGEN_HABERMAS_noWikiID
52;1033;14344;MICHEL_FOUCAULT_noWikiID
52;1034;0;HABERMAS_noWikiID
55;1035;35846;MICHAEL_SCOTT_(GOLFER)_Q1989682
55;1036;0;NAN_SHEPHERD_Q13511896
55;1037;0;BARRY_GIBB_Q296872
32;1038;7174;JOHN_THORNTON_(PHILANTHROPIST)_Q6260749
6;1039;0;ELIZABETH_GASKELL_Q229226
28;104;21514;MARY_LAMB_Q276126
6;1040;7174;MARY_BARTON_Q2607078
14;1041;0;NÉILL_noWikiID
14;1042;14346;DOMHNALL_MAC_RAGHNAILL_Q3036055
13;1043;0;DANTE_ALIGHIERI_Q1067
13;1044;85846;TORQUATO_TASSO_Q168962
34;1045;42984;ROBERT_CONQUEST_Q379628
34;1046;64452;DAY_LEWIS_noWikiID
40;1047;0;ROLLESTON_noWikiID
40;1048;21514;WILLIAM_LARMINIE_Q8014322
61;1049;14346;HARTLEY_noWikiID
28;105;214084;DAVID_HERD_(ANTHOLOGIST)_Q5234937
61;1050;235430;THOMAS_REID_(HUMANIST)_Q7793464
61;1051;0;BARUCH_SPINOZA_Q35802
61;1052;0;MANDEVILLE_noWikiID
32;1053;0;JIM_BOLGER_Q139785
32;1054;128586;THE_JOURNEY_HOME_noWikiID
13;1055;7174;THE_DESERTED_VILLAGE_Q16385462
13;1056;14344;THE_VILLAGE_noWikiID
13;1057;0;OLIVER_GOLDSMITH_Q236236
13;1058;0;JOHN_DONNE_Q140412
13;1059;7174;WATTS_noWikiID
28;106;0;JANE_WILDE_Q272303
18;1060;14344;COMMON_SENSE_Q843940
18;1061;128776;JOHN_MITCHEL_Q3247240
18;1062;7174;RIGHTS_OF_MAN_Q979108
30;1063;14344;MARY_LAVIN_Q3296204
30;1064;21510;STAN_BARSTOW_noWikiID
30;1065;7174;FRANK_O'CONNOR_noWikiID
10;1066;0;BATE_noWikiID
54;1067;0;KATHLEEN_COYLE_Q20680241
54;1068;7174;PAMELA_HINKSON_Q7129172
49;1069;0;FAULKNER_noWikiID
28;107;0;ROGER_BOYLE_1ST_EARL_OF_ORRERY_Q1345535
49;1070;7174;RICHARD_ELLMANN_Q1233576
22;1071;0;THE_LONDON_MAGAZINE_noWikiID
22;1072;0;ANALYTICAL_REVIEW_noWikiID
22;1073;0;THE_SPECTATOR_noWikiID
54;1074;43002;FILSON_YOUNG_Q5449215
54;1075;14346;THE_INFORMER_noWikiID
54;1076;14344;LADY_CONSTANCE_MALLESON_Q530647
54;1077;1153652;MARGUERITE_GARDINER_COUNTESS_OF_BLESSINGTON_Q459501
54;1078;64422;THE_HEIR_OF_REDCLYFFE_Q7739314
54;1079;0;THE_MAYOR_OF_CASTERBRIDGE_Q2343169
28;108;28672;SAMUEL_LOVER_Q3946632
54;1080;14344;JACK_SHEPPARD_noWikiID
54;1081;7174;CATHERINE_LOUISA_PIRKIS_Q5052790
54;1082;7174;THE_FEMALE_DETECTIVE_noWikiID
54;1083;21514;SHILLING_MAGAZINE_noWikiID
54;1084;0;THE_SECRET_GARDEN_Q472194
54;1085;14346;HUGH_KELLY_(POET)_Q3142272
54;1086;21514;LOUISA_MAY_ALCOTT_noWikiID
54;1087;0;HESBA_STRETTON_Q4443905
54;1088;0;FRANCES_HODGSON_BURNETT_Q276028
53;1089;7174;BRITISH_CRITIC_noWikiID
29;109;0;THE_SPIRIT_OF_THE_AGE_Q7765949
53;1090;64462;ELIZABETH_MEEKE_Q5458933
53;1091;0;EVANS_noWikiID
14;1092;199754;LIAM_Ó_RINN_Q19876123
14;1093;114434;LIAM_S._GÓGAN_noWikiID
14;1094;206422;WELDON_noWikiID
14;1095;0;SGÉALTA_EILE_noWikiID
57;1096;0;TIMOTHY_ABBOTT_CONRAD_Q2623589
57;1097;14346;CONRAD_noWikiID
49;1098;0;DECLAN_KIBERD_Q5249351
49;1099;64468;CATHERINE_GALLAGHER_Q126209
3;11;14346;MARY_JONES_(ACTRESS)_Q19560894
29;110;171244;MY_LEFT_FOOT_(BOOK)_Q12811892
45;1100;7174;BARRETT_BROWNING_noWikiID
45;1101;0;AURORA_LEIGH_Q3629872
45;1102;14344;ROBERT_BARRETT_BROWNING_Q2514899
23;1103;7174;SOPHIA_OF_HANOVER_Q57224
23;1104;156984;WILLIAM_III_OF_THE_NETHERLANDS_Q125649
23;1105;0;EDWARD_THE_CONFESSOR_Q130005
46;1106;14346;PRINCESS_DIANA_Q9685
46;1107;0;A_WOMAN_OF_NO_IMPORTANCE_Q203585
46;1108;0;RUHOLLAH_KHOMEINI_Q38823
5;1109;21510;ARMS_AND_THE_MAN_Q2646905
30;111;0;SIMEON_SOLOMON_Q732617
5;1110;0;GHOSTS_(PLAY)_Q1434818
41;1111;0;THE_FEMALE_TATLER_noWikiID
52;1112;114422;CRITIQUE_OF_JUDGMENT_noWikiID
57;1113;0;ANDREW_MOTION_noWikiID
57;1114;93014;TOM_RAWORTH_Q7817338
54;1115;0;AFTER_DARK_noWikiID
27;1116;14344;CHARLES_MATURIN_Q561027
27;1117;7174;SYDNEY_LADY_MORGAN_Q459275
46;1118;0;JOHN_WALSH_(PRINTER)_Q1702092
46;1119;0;PERRY_ANDERSON_Q456392
30;112;7174;RICHARD_LE_GALLIENNE_Q545544
46;1120;0;SAMUEL_HEARNE_Q715285
56;1121;0;CYRIL_CONNOLLY_Q2335415
56;1122;35846;WORK_IN_PROGRESS_(BOOK)_Q28134463
3;1123;7174;CAROL_ANN_DUFFY_noWikiID
3;1124;0;KAFKA_noWikiID
50;1125;85846;THE_MIMIC_MEN_Q16387020
50;1126;514750;THE_RAJ_QUARTET_noWikiID
50;1127;0;PATRICK_WHITE_noWikiID
53;1128;0;ALASDAIR_MAC_MHAIGHSTIR_ALASDAIR_Q4708451
53;1129;0;WHYTE_noWikiID
31;113;0;THE_SEA_THE_SEA_Q3794562
1;1130;0;J._H._PRYNNE_Q6057287
18;1131;28678;THOMAS_JEFFERSON_noWikiID
18;1132;0;GIUSEPPE_MAZZINI_Q187336
10;1133;21514;JOHN_MARSHALL_Q310829
10;1134;28672;THE_GREAT_EXHIBITION_noWikiID
10;1135;7174;SOL_(MUSICIAN)_Q7555482
10;1136;0;SIRENS_noWikiID
53;1137;0;THE_BOYNE_WATER_noWikiID
53;1138;0;DOYLE_noWikiID
6;1139;0;JUSTIN_MCCARTHY_(HURLER)_Q6317877
31;114;7174;THE_RETURN_OF_THE_NATIVE_Q141568
6;1140;14346;JOHN_WILMOT_2ND_EARL_OF_ROCHESTER_Q358912
53;1141;7174;MARY_KINGSLEY_Q235525
11;1142;14344;LADY_GREGORY_Q239540
11;1143;21510;EDWARD_MARTYN_Q1292960
11;1144;7174;JOHN_MILLINGTON_SYNGE_Q213447
8;1145;14344;THOMAS_HARDY_noWikiID
8;1146;57328;FELIX_HOLT_THE_RADICAL_Q5442230
8;1147;7174;D._ELMO_HARDY_Q5203576
6;1148;0;THE_WAY_OF_ALL_FLESH_Q255074
6;1149;35838;GEORGE_SAND_Q3816
7;115;7174;PETER_ACKROYD_Q319169
0;1150;7174;TWELFTH_NIGHT_Q221211
0;1151;751564;THE_CONQUEST_OF_GRANADA_Q3207748
0;1152;0;HAMLET_Q41567
61;1153;7174;THOMAS_HOBBES_Q37621
61;1154;0;ADAM_SMITH_(WASHINGTON_POLITICIAN)_Q350916
5;1155;7174;THE_BEE_noWikiID
5;1156;28682;PRINGLE_noWikiID
5;1157;0;LAMB_noWikiID
36;1158;0;W._S._GRAHAM_Q7945967
36;1159;7174;EDWIN_MORGAN_noWikiID
7;116;35842;GRAHAM_SWIFT_Q437718
11;1160;0;ROBERT_CRAWFORD_(SCOTTISH_POET)_Q7343182
11;1161;7174;JOHN_ROBERT_SEELEY_Q3182374
35;1162;0;AMY_LEVY_Q275367
33;1163;1378216;ANSON_RAINEY_Q3491605
33;1164;0;LLOYD_(SINGER)_Q931864
18;1165;0;ROMOLA_noWikiID
7;1166;0;GAYATRI_SPIVAK_noWikiID
7;1167;21516;ORIENTALISM_(BOOK)_Q1574967
15;1168;0;CYNTHIA_LENNON_Q253192
3;1169;0;JOEP_LEERSSEN_noWikiID
7;117;0;JULIAN_BARNES_Q295431
3;1170;856082;DAVID_LLOYD_noWikiID
50;1171;0;KAMAU_BRATHWAITE_Q1722859
21;1172;14344;RELIQUES_OF_ANCIENT_ENGLISH_POETRY_Q2142806
21;1173;7174;PERCY_noWikiID
21;1174;21510;THOMAS_PERCY_(BISHOP_OF_DROMORE)_Q712930
20;1175;7174;BLACKWOOD'S_EDINBURGH_MAGAZINE_noWikiID
20;1176;0;BLACKWOOD'S_noWikiID
24;1177;0;RACHEL_FÉLIX_Q267985
50;1178;21516;IAN_MCEWAN_noWikiID
50;1179;28672;KAZUO_ISHIGURO_noWikiID
