louvain;mean_score;count;label
0;20852.6087;138;"Twelfth Night; Hamlet; Poems of Ossian; Wordsworth; P. B. Shelley; Don Juan (Poem); The Cenci; Novalis; Prometheus Unbound; Keats; Hyperion; Schiller; Childe Harold's Pilgrimage; Robert Browning; Tennyson; Hazlitt; "
1;42631.61702;47;"Goethe; Werther; Christina Rossetti; Cervantes; Don Quixote; "
2;28593.23529;34;"Florence Marryat; Book of Ruth; The Recess; Sophie Lee, Eliza Parsons; Clara Reeve; Pride and Prejudice; et al.; David Simple; Oroonoko; Clarissa; Samual Richardson"
3;93388.96296;81;Laetitia Pilkington
4;142217.7255;51;
5;120680.3913;46;
6;39102.88889;72;19 c
7;109850.1887;53;"Engels; Marx; The Remains of the Day; Gilbert; Showalter; Julian Barnes; Gayatri Spivak; Orientalism"
8;52868.33803;71;"Hardy; Felix Holt; Forster; james; Lawrence; Daniel Deronda; "
9;133879.6604;53;
10;86361.95062;81;some royalty
11;116817.1148;61;
12;32920.29851;67;
13;27731.47826;69;"Dante; Torquato Tasso; Da Vinci; Homer; Virgil; Edmund Spenser; Ariosto; Chaucer; Pope; Dryden; Milton; Fletcher; Horace; Aneid; The Canterbury Tales; Ars Poetica"
14;88381.46032;63;
15;21547.89091;55;
16;57829.59184;49;
17;18397.31429;35;
18;33035.07042;71;
19;535460.7273;77;
20;21421.9322;59;periodicals
21;33894.74576;59;
22;46079.7619;84;"Mudie; periodicals"
23;46957.51613;62;royalty
24;127255;46;
25;178119.1364;44;
26;173997.0746;67;
27;35333.73171;82;
28;18694.64516;31;
29;19443.2;25;
30;110835.2308;52;
31;18830.02899;69;
32;51095;76;
33;90401.72727;66;
34;30135.22807;57;
35;41824.86207;58;
36;25424.15385;52;"C. S. Lewis; Tolkien; "
37;33513.07692;39;Virginia Woolf
38;39978.32653;49;
39;22567.375;32;
40;225032;58;
41;22420.7907;43;
42;30478.16216;37;"On the Origins of Species; Charles Darwin; The Descent of Man"
43;120247.2069;58;
44;74304.89231;65;
45;26611.75758;33;Background on Victorianism
46;35573.47619;84;
47;37982.27027;37;novels and authors
48;72690.54795;73;"Satanic Verses; Midnight's Children"
49;22196;81;citations
50;35914.24324;74;post 1914
51;28170.35714;56;
52;26365.05455;55;critical theory
53;54626.20513;78;
54;30938.61111;72;late 19th c
55;24592.35556;45;
56;21442.42553;47;
57;31615.93333;60;
58;22275.48276;58;
59;133418.209;67;
60;24531.32075;53;
61;19779.58824;34;"Shaftesbury; Locke; Berkeley; Burke; Herder; Bacon; The Sublime and Beautiful; Leibniz; Bayle; Adam Smith; Spinoza"
