Source,Target,Weight
PETER_ACKROYD_Q319169,GRAHAM_SWIFT_Q437718,0.9248766303062439
PETER_ACKROYD_Q319169,JULIAN_BARNES_Q295431,0.9222971796989441
THE_LAST_SEPTEMBER_Q1199395,HUGO_HAMILTON_(WRITER)_Q728525,0.9268159866333008
THE_LAST_SEPTEMBER_Q1199395,THE_HEAT_OF_THE_DAY_Q7739239,0.9144951701164246
THE_LAST_SEPTEMBER_Q1199395,CAL_Q1026116,0.8794541954994202
THE_LAST_SEPTEMBER_Q1199395,MOLLY_KEANE_Q4958431,0.8653866052627563
RETAMAR_noWikiID,CHINUA_ACHEBE_noWikiID,0.8883671760559082
TYNAN_noWikiID,DAVID_MASSON_noWikiID,0.9182255864143372
TYNAN_noWikiID,CLARKE_noWikiID,0.8784042596817017
ALFRED_MILNER_1ST_VISCOUNT_MILNER_Q356361,ROGER_LUCKHURST_Q22277144,0.9516383409500122
ALFRED_MILNER_1ST_VISCOUNT_MILNER_Q356361,TATLIN_noWikiID,0.9471254348754883
WILLIAM_CARLETON_Q1554038,SAMUEL_FERGUSON_Q5728252,0.9235512614250183
JAMES_BOSWELL_Q335060,LIFE_OF_SAMUEL_JOHNSON_Q1218644,0.8926479816436768
JAMES_BOSWELL_Q335060,JOHNSON_(COMPOSER)_Q3523016,0.8796166777610779
NOCTES_AMBROSIANAE_Q7046415,STRAND_noWikiID,0.9505035281181335
NOCTES_AMBROSIANAE_Q7046415,JOHN_WILSON_(SCOTTISH_WRITER)_Q6264502,0.9429482817649841
NOCTES_AMBROSIANAE_Q7046415,OUR_VILLAGE_Q7111226,0.9073575139045715
HARTNETT_noWikiID,ANDY_PATMORE_Q98071323,0.9486929774284363
THE_SLEEPER_AWAKES_Q650949,THE_INVISIBLE_MAN_Q1539509,0.9821224212646484
THE_SLEEPER_AWAKES_Q650949,THE_ISLAND_OF_DOCTOR_MOREAU_Q718268,0.9580873847007751
THE_SLEEPER_AWAKES_Q650949,VRIL_Q510699,0.9470129609107971
THE_SLEEPER_AWAKES_Q650949,SHE:_A_HISTORY_OF_ADVENTURE_Q640513,0.9191442131996155
CADHAIN_noWikiID,MICHEÁL_Ó_noWikiID,0.9439199566841125
WOMAN'S_JOURNAL_noWikiID,THE_ENGLISHWOMAN'S_REVIEW_noWikiID,0.9683310389518738
WOMAN'S_JOURNAL_noWikiID,ARTHUR_C._CLARKE_noWikiID,0.9599913358688354
THE_LUCKEY_CHANCE_Q55635364,ROWDEN_noWikiID,0.9552496671676636
THE_LUCKEY_CHANCE_Q55635364,COLEMAN_noWikiID,0.9535386562347412
EDWARD_IV_OF_ENGLAND_Q160341,RICHARD_III_OF_ENGLAND_Q133028,0.9539392590522766
EDWARD_IV_OF_ENGLAND_Q160341,HAROLD_GODWINSON_Q159597,0.9518394470214844
EDWARD_IV_OF_ENGLAND_Q160341,GEORGE_IV_Q130586,0.9444965720176697
RIENZI_noWikiID,JAMES_JUSTINIAN_MORIER_Q1680654,0.959387481212616
RIENZI_noWikiID,THE_LAST_DAYS_OF_POMPEII_Q1218985,0.956719696521759
RIENZI_noWikiID,HALE_WHITE_Q604661,0.9101659059524536
GEORGE_W._M._REYNOLDS_Q3102010,WILLIAM_HARRISON_AINSWORTH_Q518359,0.9515975117683411
GEORGE_W._M._REYNOLDS_Q3102010,THE_MYSTERIES_OF_LONDON_Q7752831,0.9490617513656616
GEORGE_W._M._REYNOLDS_Q3102010,HALL_CAINE_Q2331144,0.9410890936851501
GEORGE_W._M._REYNOLDS_Q3102010,ARTHUR_CONAN_DOYLE_noWikiID,0.9221044182777405
GEORGE_W._M._REYNOLDS_Q3102010,CONAN_DOYLE_(RUGBY_UNION)_Q5158110,0.8709421157836914
DEREK_MAHON_noWikiID,TOM_PAULIN_Q9358515,0.9635798931121826
DEREK_MAHON_noWikiID,PAUL_MULDOON_noWikiID,0.9579415321350098
ENDYMION_(POEM)_Q2083848,CHRISTABEL_noWikiID,0.9245465993881226
ENDYMION_(POEM)_Q2083848,DEJECTION:_AN_ODE_noWikiID,0.9223430752754211
WILLIAM_HARVEY_Q93128,WILLIAM_HEINEMANN_Q8011829,0.9509945511817932
JACOB'S_ROOM_Q1677745,TO_THE_LIGHTHOUSE_Q478016,0.9029513001441956
JACOB'S_ROOM_Q1677745,MARY_OLIVIER_noWikiID,0.8834370970726013
JACOB'S_ROOM_Q1677745,PILGRIMAGE_Q30610271,0.8807101249694824
JEAN_BAUDRILLARD_Q182847,FRANK_KERMODE_noWikiID,0.95489102602005
JEAN_BAUDRILLARD_Q182847,ADORNO_noWikiID,0.9352099299430847
MULK_RAJ_ANAND_Q732434,G._V._DESANI_Q1565590,0.9498819708824158
MULK_RAJ_ANAND_Q732434,UNA_MARSON_Q7882122,0.9489488005638123
GEORGE_PHILLIPS_MANNERS_Q5543397,ERIC_GRIFFITHS_Q925761,0.9622724652290344
GEORGE_PHILLIPS_MANNERS_Q5543397,THE_BLAZING_WORLD_Q1082871,0.953352689743042
HÉLOÏSE_Q5656,FURLONG_noWikiID,0.9623068571090698
HÉLOÏSE_Q5656,MARY:_A_FICTION_Q2900963,0.9608839750289917
HÉLOÏSE_Q5656,ALICE_B._TOKLAS_Q179122,0.9545007348060608
JAMES_CLARENCE_MANGAN_Q1680164,THOMAS_MOORE_Q315346,0.8865833878517151
O'GRADY_noWikiID,R._S._THOMAS_Q725745,0.9537884593009949
HIFFERNAN_noWikiID,R._S._THOMAS_Q725745,0.9647118449211121
HIFFERNAN_noWikiID,ALAN_BLOOM_Q4706195,0.9176986813545227
MAGINN_noWikiID,WILLIAM_JOHNSON_FOX_Q1755603,0.9454496502876282
HENRY_noWikiID,LIFE_noWikiID,0.9331780672073364
BENTHAM_noWikiID,T._J._MATHIAS_noWikiID,0.9578813314437866
ANTHONY_OLIPHANT_Q4773225,DAVID_MASSON_noWikiID,0.8972089290618896
ANTHONY_OLIPHANT_Q4773225,THE_RAMBLER_noWikiID,0.8948802947998047
ANTHONY_OLIPHANT_Q4773225,OLIPHANT_noWikiID,0.8570444583892822
CHARLES_KEAN_Q725355,THOMAS_KILLIGREW_Q490824,0.9592843651771545
CHARLES_KEAN_Q725355,EFFIE_BANCROFT_Q5347463,0.9459651708602905
