title;wikiname;Binz_1790;Binz_1812;Armbruster_1813;Bachmann_1851;Gerold_1859;Last_1901;sum_libraries;binary;best_match_circl;circl
aristipp und einige seiner zeitgenossen;ARISTIPP_UND_EINIGE_SEINER_ZEITGENOSSEN;0;1;0;1;1;1;4;1;aristipp und einige seiner zeitgenossen;1
armut, reichtum, schuld und buße der gräfin dolores;ARMUT,_REICHTUM,_SCHULD_UND_BUSSE_DER_GRAEFIN_DOLORES;0;0;0;0;1;0;1;1;armut, reichtum, schuld und buße der gräfin dolores;1
asiatische banise;ASIATISCHE_BANISE;1;0;0;0;0;0;1;1;asiatische banise;1
aspasia;ASPASIA;0;0;0;0;0;1;1;1;aspasia;1
NA;AUCH_EINER;0;0;0;0;0;0;0;0;NA;NA
auf dem staatshof;AUF_DEM_STAATSHOF;0;0;0;0;0;1;1;1;auf dem staatshof;1
NA;AUF_DER_UNIVERSITAET;0;0;0;0;0;0;0;0;NA;NA
auf der wegwacht;AUF_DER_WEGWACHT;0;0;0;0;0;0;0;0;auf der wegwacht;1
NA;AUF_ZWEI_PLANETEN;0;0;0;0;0;0;0;0;NA;NA
aus dem böhmerwalde;AUS_DEM_BOEHMERWALDE;0;0;0;0;1;0;1;1;aus dem böhmerwalde;1
aus dem leben einer frau;AUS_DEM_LEBEN_EINER_FRAU;0;0;0;0;0;0;0;0;aus dem leben einer frau;1
aus dem leben eines taugenichts;AUS_DEM_LEBEN_EINES_TAUGENICHTS;0;0;0;0;0;1;1;1;aus dem leben eines taugenichts;1
aus den memoiren des herrn schnabelewopski;AUS_DEN_MEMOIREN_DES_HERRN_SCHNABELEWOPSKI;0;0;0;0;0;0;0;0;aus den memoiren des herrn schnabelewopski;1
NA;AUS_DER_CHRONIKA_EINES_FAHRENDEN_SCHUELERS;0;0;0;0;0;0;0;0;NA;NA
NA;AUS_EINER_FAMILIE;0;0;0;0;0;0;0;0;NA;NA
aus guter familie;AUS_GUTER_FAMILIE;0;0;0;0;0;1;1;1;aus guter familie;1
aus meinem leben. dichtung und wahrheit;AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT;0;1;0;1;0;0;2;1;NA;NA
NA;AUS_TROTZKOPFS_EHE;0;0;0;0;0;0;0;0;NA;NA
auswahl aus des teufels papieren;AUSWAHL_AUS_DES_TEUFELS_PAPIEREN;0;0;0;1;0;0;1;1;auswahl aus des teufels papieren;1
bahnwärter thiel;BAHNWAERTER_THIEL;0;0;0;0;0;1;1;1;bahnwärter thiel;1
NA;BARBAROSSA;0;0;0;0;0;0;0;0;NA;NA
beatrice;BEATRICE;0;0;0;0;0;1;1;1;beatrice;1
bebuquin oder die dilettanten des wunders;BEBUQUIN;0;0;0;0;0;0;0;0;bebuquin oder die dilettanten des wunders;1
belphegor;BELPHEGOR;1;1;0;0;0;0;2;1;belphegor;1
NA;BILDER_UND_GESCHICHTEN_AUS_SCHWABEN;0;0;0;0;0;0;0;0;NA;NA
NA;BLUMEN;0;0;0;0;0;0;0;0;NA;NA
bozena;BOZENA;0;0;0;0;0;0;0;0;bozena;1
briefe einers narren und einer närrin;BRIEFE_EINES_NARREN_UND_EINER_NAERRIN;0;0;0;1;1;0;2;1;briefe einers narren und einer närrin;1
brigitta;BRIGITTA_(STIFTER);0;0;0;1;1;1;3;1;brigitta;1
die buddenbrooks;BUDDENBROOKS;0;0;0;0;0;0;0;0;die buddenbrooks;1
NA;BULEMANNS_HAUS;0;0;0;0;0;0;0;0;NA;NA
NA;BUNTE_STEINE;0;0;0;0;0;0;0;0;NA;NA
cécile;CÉCILE;1;0;0;0;0;1;2;1;NA;NA
cabanis;CABANIS;0;0;0;1;1;0;2;1;cabanis;1
NA;CARSTEN_CURATOR;0;0;0;0;0;0;0;0;NA;NA
NA;CHRISTA_RUHLAND;0;0;0;0;0;0;0;0;NA;NA
clementine;CLEMENTINE;0;0;0;0;1;0;1;1;NA;NA
daphnis;DAPHNIS;0;1;1;0;1;0;3;1;daphnis;1
das alte haus;DAS_ALTE_HAUS;0;0;0;0;0;1;1;1;NA;NA
das amulett;DAS_AMULETT;0;0;0;0;0;1;1;1;das amulett;1
das blüthenalter der empfindung;DAS_BLUETHENALTER_DER_EMPFINDUNG;0;0;0;0;0;0;0;0;das blüthenalter der empfindung;1
NA;DAS_BUCH_LE_GRAND;0;0;0;0;0;0;0;0;NA;NA
NA;DAS_DUELL;0;0;0;0;0;0;0;0;NA;NA
das erdbeben von chili;DAS_ERDBEBEN_IN_CHILI;0;0;0;1;0;0;1;1;das erdbeben von chili;1
das erdbeermareili;DAS_ERDBEERIMAREILI;0;0;0;0;0;0;0;0;das erdbeermareili;1
NA;DAS_FRAEULEIN_VON_SCUDERI;0;0;0;0;0;0;0;0;NA;NA
das geheimnis der alten mamsell;DAS_GEHEIMNIS_DER_ALTEN_MAMSELL;0;0;0;0;0;1;1;1;NA;NA
NA;DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS;0;0;0;0;0;0;0;0;NA;NA
das gemeindekind;DAS_GEMEINDEKIND;0;0;0;0;0;1;1;1;das gemeindekind;1
das gespenst;DAS_GESPENST;0;0;1;0;1;0;2;1;NA;NA
NA;DAS_GLUECK;0;0;0;0;0;0;0;0;NA;NA
das goldmacherdorf;DAS_GOLDMACHERDORF;0;0;0;1;1;0;2;1;das goldmacherdorf;1
NA;DAS_HEIMWEH;0;0;0;0;0;0;0;0;NA;NA
hexameron von rosenhain;DAS_HEXAMERON_VON_ROSENHAIN;0;1;0;0;1;0;2;1;hexameron von rosenhain;1
NA;DAS_HOELZERNE_BEIN;0;0;0;0;0;0;0;0;NA;NA
NA;DAS_JUDENGRAB;0;0;0;0;0;0;0;0;NA;NA
das junge europa;DAS_JUNGE_EUROPA;0;0;0;0;0;1;1;1;das junge europa;1
NA;DAS_KAJUETENBUCH;0;0;0;0;0;0;0;0;NA;NA
das kloster von sendomir;DAS_KLOSTER_BEI_SENDOMIR;0;0;0;0;0;0;0;0;das kloster von sendomir;1
NA;DAS_KREUZ_IM_VENN;0;0;0;0;0;0;0;0;NA;NA
das leben der hochgräfin gritta von rattenzuhausbeiuns;DAS_LEBEN_DER_HOCHGRAEFIN_GRITTA_VON_RATTENZUHAUSBEIUNS;0;0;0;0;0;0;0;0;das leben der hochgräfin gritta von rattenzuhausbeiuns;1
das leben und die meinung des herrn magister sebaldus nothanker;DAS_LEBEN_UND_DIE_MEINUNGEN_DES_HERRN_MAGISTER_SEBALDUS_NOTHANKER;1;0;0;0;0;0;1;1;das leben und die meinung des herrn magister sebaldus nothanker;1
die leiden eines knaben;DAS_LEIDEN_EINES_KNABEN;0;0;0;0;0;1;1;1;die leiden eines knaben;1
NA;DAS_MAEDCHEN_VON_TREPPI;0;0;0;0;0;0;0;0;NA;NA
das märchen der 672. nacht;DAS_MAERCHEN_DER_672._NACHT;0;0;0;0;0;0;0;0;das märchen der 672. nacht;1
marmorbild;DAS_MARMORBILD;0;0;0;0;0;0;0;0;marmorbild;1
das naturforscherschiff;DAS_NATURFORSCHERSCHIFF;0;0;0;0;0;1;1;1;das naturforscherschiff;1
das nuß-kernen;DAS_NUSS-KERNEN;0;0;0;0;0;0;0;0;das nuß-kernen;1
odfeld;DAS_ODFELD;0;0;0;0;0;1;1;1;odfeld;1
das recht der mutter;DAS_RECHT_DER_MUTTER;0;0;0;0;0;1;1;1;das recht der mutter;1
das sanctus;DAS_SANCTUS;0;0;0;1;1;0;2;1;das sanctus;1
das schädliche;DAS_SCHAEDLICHE;0;0;0;0;0;1;1;1;das schädliche;1
NA;DAS_SCHATZHAUS_DES_KOENIGS;0;0;0;0;0;0;0;0;NA;NA
NA;DAS_SCHLOSS_DUERANDE;0;0;0;0;0;0;0;0;NA;NA
das schweigen im walde;DAS_SCHWEIGEN_IM_WALDE;0;0;0;0;0;1;1;1;NA;NA
das steinerne herz;DAS_STEINERNE_HERZ;0;0;0;1;1;0;2;1;das steinerne herz;1
das stuttgarter hutzelmännlein;DAS_STUTTGARTER_HUTZELMAENNLEIN;0;0;0;0;0;0;0;0;das stuttgarter hutzelmännlein;1
NA;DAS_URTEIL_(KAFKA);0;0;0;0;0;0;0;0;NA;NA
NA;DAS_VERLASSENE_HAUS;0;0;0;0;0;0;0;0;NA;NA
NA;DAS_VERLORENE_LACHEN;0;0;0;0;0;0;0;0;NA;NA
das vermaechtnis des inka;DAS_VERMAECHTNIS_DES_INKA;0;0;0;0;0;1;1;1;NA;NA
das waldröschen;DAS_WALDROESCHEN;0;0;0;0;0;0;0;0;das waldröschen;1
das weiberdorf;DAS_WEIBERDORF;0;0;0;0;0;1;1;1;das weiberdorf;1
das zauberschloss;DAS_ZAUBERSCHLOSS;0;0;0;1;0;0;1;1;NA;NA
de profundis;DE_PROFUNDIS;0;0;0;0;0;1;1;1;de profundis;1
NA;DEN_STEIN_DER_WEISEN;0;0;0;0;0;0;0;0;NA;NA
der alte vom berge;DER_ALTE_VOM_BERGE;0;0;0;1;1;0;2;1;NA;NA
der amerikamüde;DER_AMERIKAMUEDE;0;0;0;0;1;1;2;1;der amerikamüde;1
der amtmann von hohenweiler;DER_AMTMANN_VON_HOHENWEILER;0;1;0;0;0;0;1;1;der amtmann von hohenweiler;1
NA;DER_APOSTEL_(HAUPTMANN);0;0;0;0;0;0;0;0;NA;NA
der arme spielmann;DER_ARME_SPIELMANN;0;0;0;0;0;0;0;0;der arme spielmann;1
aufruhr in den cevennen;DER_AUFRUHR_IN_DEN_CEVENNEN;0;0;0;0;0;0;0;0;aufruhr in den cevennen;1
der bauernspiegel;DER_BAUERNSPIEGEL;0;0;0;1;0;0;1;1;der bauernspiegel;1
NA;DER_BESUCH;0;0;0;0;0;0;0;0;NA;NA
der blonde eckbert;DER_BLONDE_ECKBERT;0;0;0;1;0;0;1;1;der blonde eckbert;1
der büttnerbauer;DER_BUETTNERBAUER;0;0;0;0;0;1;1;1;der büttnerbauer;1
der condor;DER_CONDOR;0;0;0;1;0;0;1;1;der condor;1
NA;DER_DRAEUMLING;0;0;0;0;0;0;0;0;NA;NA
NA;DER_EINSAME;0;0;0;0;0;0;0;0;NA;NA
der falsche woldemar;DER_FALSCHE_WOLDEMAR;0;0;0;1;1;0;2;1;der falsche woldemar;1
der faust der morgenländer;DER_FAUST_DER_MORGENLAENDER;0;0;0;1;1;0;2;1;der faust der morgenländer;1
der findling;DER_FINDLING;0;1;0;1;0;0;2;1;der findling;1
der freihof von aarau;DER_FREIHOF_VON_AARAU;0;0;0;1;0;0;1;1;der freihof von aarau;1
NA;DER_FROMME_SPRUCH;0;0;0;0;0;0;0;0;NA;NA
NA;DER_GEHUELFE;0;0;0;0;0;0;0;0;NA;NA
der geisterseher;DER_GEISTERSEHER;0;1;1;1;1;0;4;1;der geisterseher;1
der genius. aus den papieren des marquis c* von g*;DER_GENIUS;0;0;0;0;0;0;0;0;der genius. aus den papieren des marquis c* von g*;1
der goldne spiegel;DER_GOLDNE_SPIEGEL;1;1;1;1;1;1;6;1;der goldne spiegel;1
der goldene topf;DER_GOLDNE_TOPF;0;0;0;1;1;1;3;1;der goldene topf;1
der gottsucher;DER_GOTTSUCHER;0;0;0;0;0;1;1;1;NA;NA
der grüne heinrich;DER_GRUENE_HEINRICH;0;0;0;0;1;1;2;1;der grüne heinrich;1
der heilige;DER_HEILIGE;0;0;0;0;0;1;1;1;der heilige;1
der heizer;DER_HEIZER;0;0;0;0;0;0;0;0;der heizer;1
der herr etatsrat;DER_HERR_ETATSRAT;0;0;0;0;0;1;1;1;der herr etatsrat;1
NA;DER_HEXENMEISTER;0;0;0;0;0;0;0;0;NA;NA
NA;DER_HEXENSABBAT;0;0;0;0;0;0;0;0;NA;NA
der hochwald;DER_HOCHWALD;0;0;0;1;1;1;3;1;der hochwald;1
der hungerpastor;DER_HUNGERPASTOR;0;0;0;0;0;1;1;1;der hungerpastor;1
der im irr-garten der liebe herum taumelnde cavalier;DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER;1;0;0;0;0;0;1;1;der im irr-garten der liebe herum taumelnde cavalier;1
der junge tischlermeister;DER_JUNGE_TISCHLERMEISTER;0;0;0;1;1;0;2;1;der junge tischlermeister;1
NA;DER_JUNKER_VON_DENOW;0;0;0;0;0;0;0;0;NA;NA
NA;DER_KLEINE_HAEWELMANN;0;0;0;0;0;0;0;0;NA;NA
der könig der bernina;DER_KOENIG_DER_BERNINA;0;0;0;0;0;1;1;1;der könig der bernina;1
der landprediger;DER_LANDPREDIGER;0;0;0;0;0;0;0;0;der landprediger;1
der landvogt von greifensee;DER_LANDVOGT_VON_GREIFENSEE;0;0;0;0;0;1;1;1;der landvogt von greifensee;1
NA;DER_MAGNETISEUR_(E._T._A._HOFFMANN);0;0;0;0;0;0;0;0;NA;NA
NA;DER_MAJOR;0;0;0;0;0;0;0;0;NA;NA
der nachsommer;DER_NACHSOMMER;0;0;0;0;1;1;2;1;der nachsommer;1
NA;DER_POJAZ;0;0;0;0;0;0;0;0;NA;NA
NA;DER_POSTEN_DER_FRAU;0;0;0;0;0;0;0;0;NA;NA
der prinz von theben;DER_PRINZ_VON_THEBEN;0;0;0;0;0;0;0;0;der prinz von theben;1
NA;DER_PSYCHOLOGE;0;0;0;0;0;0;0;0;NA;NA
der rabbi von bacharach;DER_RABBI_VON_BACHERACH;0;0;0;0;0;0;0;0;der rabbi von bacharach;1
der rangierbahnhof;DER_RANGIERBAHNHOF;0;0;0;0;0;1;1;1;der rangierbahnhof;1
NA;DER_RAUBGRAF;0;0;0;0;0;0;0;0;NA;NA
NA;DER_REBELL;0;0;0;0;0;0;0;0;NA;NA
der redliche mann am hofe;DER_REDLICHE_MANN_AM_HOFE;0;0;0;0;0;0;0;0;der redliche mann am hofe;1
der roland von berlin;DER_ROLAND_VON_BERLIN;0;0;0;1;1;0;2;1;der roland von berlin;1
runenberg;DER_RUNENBERG;0;0;0;1;0;0;1;1;runenberg;1
die sadduzäer von amsterdam;DER_SADDUZAEER_VON_AMSTERDAM;0;0;0;0;0;0;0;0;die sadduzäer von amsterdam;1
der sandmann;DER_SANDMANN_(HOFFMANN);0;0;0;1;1;0;2;1;der sandmann;1
der satyr mopus;DER_SATYR_MOPSUS;0;0;0;0;0;0;0;0;der satyr mopus;1
NA;DER_SCHATZ;0;0;0;0;0;0;0;0;NA;NA
der schatz im silbersee;DER_SCHATZ_IM_SILBERSEE;0;0;0;0;0;1;1;1;NA;NA
der schimmelreiter;DER_SCHIMMELREITER;0;0;0;0;0;1;1;1;der schimmelreiter;1
der schmied seine glücks;DER_SCHMIED_SEINES_GLUECKS;0;0;0;0;1;1;2;1;der schmied seine glücks;1
der schüdderump;DER_SCHUEDDERUMP;0;0;0;0;0;1;1;1;der schüdderump;1
der schuss von der kanzel;DER_SCHUSS_VON_DER_KANZEL;0;0;0;0;0;1;1;1;der schuss von der kanzel;1
der schweizerische robinson oder der schiffbrüchige schweizer prediger und seine familie;DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE;0;0;0;0;0;0;0;0;der schweizerische robinson oder der schiffbrüchige schweizer prediger und seine familie;1
der selbstmoerder;DER_SELBSTMOERDER;0;0;0;1;0;0;1;1;NA;NA
der sonnenwirt;DER_SONNENWIRT;0;0;0;0;1;0;1;1;der sonnenwirt;1
stechlin;DER_STECHLIN_(ROMAN);0;0;0;0;0;1;1;1;stechlin;1
der sternsteinhof;DER_STERNSTEINHOF;0;0;0;0;0;1;1;1;der sternsteinhof;1
der tod abels;DER_TOD_ABELS;1;1;1;0;1;0;4;1;der tod abels;1
der tod georgs;DER_TOD_GEORGS;0;0;0;0;0;1;1;1;der tod georgs;1
NA;DER_TOLLE_INVALIDE_AUF_DEM_FORT_RATONNEAU;0;0;0;0;0;0;0;0;NA;NA
NA;DER_TORSO;0;0;0;0;0;0;0;0;NA;NA
