wikiname;variations;author;author_firstname;wikiID;freq;repo_title;repoID;pub_year;genre;text_source;normalised_title;best_match_student_eds;student_edition;score_student_eds;author_complete;best_match_works;works;score_works
ABDALLAH;['Abdallah'];Tieck;Ludwig;noWikiID;1;Abdallah;../../tieck/abdallah/abdallah.html;1792;narration;Gutenberg-DE;abdallah;prinzessin brambilla;0;60;ludwig tieck; tieck, ludwig;1;91.2
ABU_TELFAN;['Abu Telfan', 'Abu- Telfan'];Raabe;Wilhelm;Q335418;14;Abu Telfan;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Abu_Telfan.xml;1867;novel;textgrid;abu telfan;stella;0;60;wilhelm raabe;raabe, wilhelm;1;91.48148148
ADAMS_ERSTES_ERWACHEN_UND_ERSTE_SEELIGE_NAECHTE;['Adams erstes Erwachen und erste seelige NÃ¤chte'];Müller;Friedrich;noWikiID;5;;http://www.zeno.org/Literatur/M/M%C3%BCller,+Friedrich+(Maler+M%C3%BCller)/Gedichte/Gedichte/Adams+erstes+Erwachen+und+erste+selige+N%C3%A4chte/Adams+Erwachen+im+Paradiese;1778;;zeno;adams erstes erwachen und erste seelige naechte;leonce und lena;0;85.5;friedrich müller;leyen, friedrich von der;0;85.5
ADDRICH_IM_MOOS;['Addrich im Moos'];Zschokke;Heinrich;noWikiID;2;Addrich im Moos;../../zschokke/addrich/addrich.html;1825;;Gutenberg-DE;addrich im moos;pietisterey im fischbein-rocke;0;85.5;heinrich zschokke;wagner, heinrich mitwirkender];0;85.5
ADELE;['Adele'];Lewald;Fanny;noWikiID;1;Adele;../../lewald/adele/adele.html;1841;novel;Gutenberg-DE;adele;dr. katzenbergers badereise;0;72;fanny lewald;feldtmann, waldtraut;0;60
AESTHETISCHE_FELDZUEGE;['Aesthetische FeldzÃ¼ge'];Wienbarg;Ludolf;noWikiID;5;Aesthetische FeldzÃ¼ge;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Wienbarg_Ludolf_Aesthetische_FeldzÃ¼ge.xml;1834;;textgrid;aesthetische feldzuege;über die ästhetische erziehung des menschen;0;61.36363636;ludolf wienbarg;wien>;0;72
AGATHODAEMON;['AgathodÃ¤mon'];Wieland;Christoph Martin;noWikiID;5;AgathodÃ¤mon;../../wieland/agathod/agathodm.html;1799;;Gutenberg-DE;agathodaemon;egmont;0;72;christoph martin wieland;wieland, christoph martin;1;93.06122449
AGNES_VON_LILIEN;['Agnes von Lilien'];Wolzogen;Caroline von;Q105642294;1;;http://www.zeno.org/Literatur/M/Wolzogen,+Caroline+von/Roman/Agnes+von+Lilien;1798;novel;zeno;agnes von lilien;von der pampelmuse geküßt;0;85.5;caroline von wolzogen;von deutz>;0;85.5
AHNUNG_UND_GEGENWART;['Ahnung und Gegenwart'];Eichendorff;Joseph von;Q402329;29;;../../Eichendorff/ahnung/ahnung.html;1815;(['developmental novel'], ['novel']);Gutenberg-DE;ahnung und gegenwart;ahnung und gegenwart;1;100;joseph von eichendorff;eichendorff, joseph von;1;92.88888889
ALSO_SPRACH_ZARATHUSTRA;['Also sprach Zarathustra'];Nietzsche;Friedrich;Q199774;1;;http://www.zeno.org/Philosophie/M/Nietzsche,+Friedrich/Also+sprach+Zarathustra;1883;(['philosophical novel'], []);zeno;also sprach zarathustra;stella;0;54;friedrich nietzsche;klinger, friedrich maximilian von;0;85.5
ALTE_NESTER;['Alte Nester'];Raabe;Wilhelm;Q436036;3;;../../raabe/altenest/altenest.html;1880;([], ['novel']);Gutenberg-DE;alte nester;blütenlese;0;66.66666667;wilhelm raabe;raabe, wilhelm;1;91.48148148
ALTERSHAUSEN;['Altershausen'];Raabe;Wilhelm;noWikiID;1;Altershausen;../../raabe/altershs/altershs.html;1902;novel;Gutenberg-DE;altershausen;in meinem elternhaus;0;68.57142857;wilhelm raabe;raabe, wilhelm;1;91.48148148
