Source,Target,Weight
PONCE_DE_LEON_(BRENTANO)_Q2103486,GUSTAV_WASA_(BRENTANO)_Q1556511,0.9686636328697205
PONCE_DE_LEON_(BRENTANO)_Q2103486,GODWI_Q1533941,0.9426103830337524
PONCE_DE_LEON_(BRENTANO)_Q2103486,HALLE_UND_JERUSALEM._STUDENTENSPIEL_UND_PILGERABENTEUER_Q52770625,0.9417848587036133
LENE_noWikiID,TOBIAS_noWikiID,0.956076443195343
LENE_noWikiID,GUSTL_noWikiID,0.9418308734893799
LENE_noWikiID,SOLDATEN_noWikiID,0.9162959456443787
DIE_JAHRESZEITEN_noWikiID,FIGARO_noWikiID,0.9799776077270508
DIE_JAHRESZEITEN_noWikiID,HÄUFI_noWikiID,0.9765270352363586
LEYER_UND_SCHWERT_noWikiID,IRIS_noWikiID,0.9504040479660034
DAS_LIED_DER_DEUTSCHEN_noWikiID,MANIFEST_DER_KOMMUNISTISCHEN_PARTEI_Q40591,0.9632938504219055
PLANETEN_noWikiID,DER_MENSCH_noWikiID,0.9546105265617371
PLANETEN_noWikiID,ANDREAS_noWikiID,0.9355331659317017
ELEKTRA_(SOPHOKLES)_Q733444,DIE_AHNFRAU_Q1210952,0.9601680040359497
ELEKTRA_(SOPHOKLES)_Q733444,DON_QUIJOTE_Q480,0.9389955401420593
ELEKTRA_(SOPHOKLES)_Q733444,PROMETHEUS_(HYMNE)_Q2112787,0.9326921105384827
DIE_UNENDLICHE_GESCHICHTE_Q463108,DER_TRAUM_noWikiID,0.9721052050590515
DIE_UNENDLICHE_GESCHICHTE_Q463108,EDNAS_noWikiID,0.9651666879653931
DIE_UNENDLICHE_GESCHICHTE_Q463108,MINNA_noWikiID,0.9341056942939758
DER_BEOBACHTER_noWikiID,ZU_RECHT_noWikiID,0.97698974609375
DIE_WAHLVERWANDTSCHAFTEN_Q951198,DER_GEISTERSEHER_Q1193812,0.9728191494941711
