Source,Target,Weight
ILSE_AICHINGER_Q93514,MARY_WORTLEY_MONTAGU_Q235121,0.945658266544342
PONCE_DE_LEON_(BRENTANO)_Q2103486,GUSTAV_WASA_(BRENTANO)_Q1556511,0.9686636328697205
PONCE_DE_LEON_(BRENTANO)_Q2103486,GODWI_Q1533941,0.9426103830337524
PONCE_DE_LEON_(BRENTANO)_Q2103486,HALLE_UND_JERUSALEM._STUDENTENSPIEL_UND_PILGERABENTEUER_Q52770625,0.9417848587036133
WILLIBALD_ALEXIS_Q77312,EDUARD_MÖRIKE_noWikiID,0.9548234343528748
WILLIBALD_ALEXIS_Q77312,RUDOLF_VON_GOTTSCHALL_Q96796,0.9477407932281494
WILLIBALD_ALEXIS_Q77312,DAS_VIERTE_GEBOT_(ANZENGRUBER)_Q1171707,0.9460023641586304
WILLIBALD_ALEXIS_Q77312,GEORG_HERWEGH_Q57945,0.9056095480918884
AISCHYLOS_Q40939,LAZARILLO_DE_TORMES_Q770895,0.9710402488708496
AISCHYLOS_Q40939,EURIPIDES_Q48305,0.9695749282836914
AISCHYLOS_Q40939,DIE_SOLDATEN_noWikiID,0.9579682350158691
DAVID_FRIEDRICH_STRAUSS_Q57219,LOUIS-PHILIPPE_I._Q7771,0.9673956632614136
DAVID_FRIEDRICH_STRAUSS_Q57219,JOHANNES_CALVIN_Q37577,0.9596329927444458
DAVID_FRIEDRICH_STRAUSS_Q57219,WILHELM_LIEBKNECHT_Q20127,0.9591714143753052
FÄHNDERS_noWikiID,PAUL_SOLLMANN_Q94788179,0.9634075164794922
FÄHNDERS_noWikiID,VAN_DEN_BERG_noWikiID,0.9592821598052979
FÄHNDERS_noWikiID,SOZIALGESCHICHTE_noWikiID,0.9517897367477417
HELGA_noWikiID,LILLI_noWikiID,0.9759376049041748
HELGA_noWikiID,WALLYS_noWikiID,0.972919225692749
HELGA_noWikiID,GEYERS_noWikiID,0.9683255553245544
HELGA_noWikiID,CORNELLE_noWikiID,0.9645723104476929
HELGA_noWikiID,ACOSTA_noWikiID,0.9643231630325317
HELGA_noWikiID,HIDEO_MURAI_Q6134680,0.9637340307235718
HELGA_noWikiID,RUDOLF_II._(HRR)_Q150586,0.9492396116256714
HELGA_noWikiID,PAULA_noWikiID,0.9449414014816284
ISABELLA_I._(KASTILIEN)_Q45859,MANFRED_(SIZILIEN)_Q164889,0.9677991271018982
ISABELLA_I._(KASTILIEN)_Q45859,THEODORE_noWikiID,0.9667685627937317
LENE_noWikiID,LEWIN_noWikiID,0.9686607718467712
LENE_noWikiID,SOLDATEN_noWikiID,0.9162959456443787
REIK_noWikiID,PETTENKOFER_noWikiID,0.9727854132652283
REIK_noWikiID,EIN_BRIEF_(HOFMANNSTHAL)_Q1304342,0.9560584425926208
REIK_noWikiID,JAKOBSON_noWikiID,0.9553486108779907
FICHTE_noWikiID,FRIEDRICH_(SCHWEDEN)_Q52932,0.8764817714691162
DIE_JAHRESZEITEN_noWikiID,FIGARO_noWikiID,0.9799776077270508
DIE_JAHRESZEITEN_noWikiID,HÄUFI_noWikiID,0.9765270352363586
DIE_JAHRESZEITEN_noWikiID,SAPPHO_Q17892,0.9742727875709534
JUDITH_BUTLER_noWikiID,SCHNEEMANN_noWikiID,0.9750760793685913
JUDITH_BUTLER_noWikiID,LOUISE_LABÉ_Q237098,0.9645414352416992
LEYER_UND_SCHWERT_noWikiID,IRIS_noWikiID,0.9504040479660034
DAS_LIED_DER_DEUTSCHEN_noWikiID,MANIFEST_DER_KOMMUNISTISCHEN_PARTEI_Q40591,0.9632938504219055
WIELAND_HERZFELDE_noWikiID,JOHN_HEARTFIELD_Q168671,0.9761571884155273
WIELAND_HERZFELDE_noWikiID,FRIEDRICH_WOLF_noWikiID,0.9740331172943115
WIELAND_HERZFELDE_noWikiID,OSKAR_MARIA_GRAF_Q44540,0.9739916920661926
PAUL_MELISSUS_Q882363,JACOB_BALDE_noWikiID,0.9620605111122131
PAUL_MELISSUS_Q882363,ARMINIUS_Q68880,0.9182125926017761
BERTA_LASK_Q98178,DIE_ROTE_FAHNE_noWikiID,0.9772323369979858
BERTA_LASK_Q98178,HANNS_EISLER_noWikiID,0.9762352108955383
PLANETEN_noWikiID,VICTOIRE_VON_SACHSEN-COBURG-SAALFELD_Q58067,0.9653838872909546
FLEISSER_noWikiID,TERGIT_noWikiID,0.9275026917457581
FLEISSER_noWikiID,IRMGARD_KEUN_Q71461,0.919166624546051
ELEKTRA_(SOPHOKLES)_Q733444,DIE_AHNFRAU_Q1210952,0.9601680040359497
ELEKTRA_(SOPHOKLES)_Q733444,DON_QUIJOTE_Q480,0.9389955401420593
ELEKTRA_(SOPHOKLES)_Q733444,PROMETHEUS_(HYMNE)_Q2112787,0.9326921105384827
ELISABETH_(RUSSLAND)_Q130752,FEGEFEUER_IN_INGOLSTADT_Q1401132,0.9370228052139282
FRANÇOIS_DE_MONTMORENCY_Q580292,KARL_KAUTSKY_Q76586,0.9609786868095398
FRANÇOIS_DE_MONTMORENCY_Q580292,EBNER_noWikiID,0.9579789042472839
FRANÇOIS_DE_MONTMORENCY_Q580292,LUISE_HENSEL_noWikiID,0.936972975730896
MARIETTA_OLLY_Q11952193,BEATRICE_noWikiID,0.9590387344360352
DIE_UNENDLICHE_GESCHICHTE_Q463108,DER_TRAUM_noWikiID,0.9721052050590515
DIE_UNENDLICHE_GESCHICHTE_Q463108,EDNAS_noWikiID,0.9651666879653931
DER_BEOBACHTER_noWikiID,ZU_RECHT_noWikiID,0.97698974609375
AMALIE_VON_OLDENBURG_Q60295,LUDWIG_IV._(HRR)_Q57161,0.9599892497062683
ERASMUS_VON_ROTTERDAM_noWikiID,THOMAS_MORUS_Q42544,0.931593656539917
ERASMUS_VON_ROTTERDAM_noWikiID,DER_BLAUE_REITER_noWikiID,0.9289541244506836
DORIS_noWikiID,MONIQUE_SCHWITTER_Q120946,0.9733625650405884
DORIS_noWikiID,DANAE_noWikiID,0.9675337076187134
DORIS_noWikiID,SUSANNE_VON_KLETTENBERG_Q31267,0.9558366537094116
DORIS_noWikiID,MECHTHILD_noWikiID,0.9317464232444763
DIE_WAHLVERWANDTSCHAFTEN_Q951198,DER_GEISTERSEHER_Q1193812,0.9728191494941711
DIE_WAHLVERWANDTSCHAFTEN_Q951198,ITALIENISCHE_REISE_Q455305,0.9678810834884644
DIE_WAHLVERWANDTSCHAFTEN_Q951198,WAGNER_noWikiID,0.9658204913139343
RIEGER_noWikiID,CATO_BONTJES_VAN_BEEK_Q70593,0.9758194088935852
RIEGER_noWikiID,BEATA_STURM_Q813108,0.9753562211990356
CHRISTUS_noWikiID,CHRISTI_noWikiID,0.9227105379104614
CHRISTUS_noWikiID,ADOLPHE_ADAM_Q189544,0.8862084150314331
ZWISCHEN_HIMMEL_UND_ERDE_(ERZÄHLUNG_1856)_Q64733588,DIE_INNERSTE_Q1213605,0.9681432247161865
ZWISCHEN_HIMMEL_UND_ERDE_(ERZÄHLUNG_1856)_Q64733588,WILLIAM_MAKEPEACE_THACKERAY_Q167768,0.9441497325897217
DELPHINE_noWikiID,WILHELMINE_VON_PREUSSEN_(1709–1758)_Q237740,0.9425848722457886
THISBE_noWikiID,PYRAMUS_noWikiID,0.9860158562660217
THISBE_noWikiID,DIE_MUSIK_noWikiID,0.935417115688324
ZUR_TRADITION_noWikiID,V_HASUBEK_noWikiID,0.9701273441314697
SOPHIE_ELISABETH_ZU_MECKLENBURG_Q448131,ADELHEID_POPP_Q34391,0.9638437628746033
DER_HOFMEISTER_Q21213113,DIE_JUGEND_DES_KÖNIGS_HENRI_QUATRE_Q1213682,0.9227293133735657
LACHMANN_noWikiID,DUDENS_noWikiID,0.9609678983688354
LACHMANN_noWikiID,FOUCAULT_noWikiID,0.9572473168373108
EGMONT_(GOETHE)_Q1298242,URFAUST_Q2500544,0.9429885149002075
EGMONT_(GOETHE)_Q1298242,IPHIGENIE_AUF_TAURIS_Q475063,0.9184250235557556
EGMONT_(GOETHE)_Q1298242,TORQUATO_TASSO_(GOETHE)_Q1432001,0.9068326950073242
PETER_SZONDI_Q644548,HERRMANN_noWikiID,0.936014711856842
MURAI_noWikiID,ERWIN_noWikiID,0.9713820815086365
JOOST_VAN_DEN_VONDEL_Q312673,GIOVANNI_BATTISTA_GUARINI_Q542039,0.9709889888763428
GOTTLIEB_WILHELM_RABENER_Q72691,HAGEDORN_noWikiID,0.9580264091491699
ABRAHAM_A_SANCTA_CLARA_noWikiID,JACOB_noWikiID,0.9779675602912903
ABRAHAM_A_SANCTA_CLARA_noWikiID,DIE_VON_noWikiID,0.9767869710922241
ABRAHAM_A_SANCTA_CLARA_noWikiID,DIETRICHSAGE_noWikiID,0.9758027791976929
ABRAHAM_A_SANCTA_CLARA_noWikiID,FÜRSTENSPIEGEL_noWikiID,0.9748003482818604
ABRAHAM_A_SANCTA_CLARA_noWikiID,JEAN_DE_LA_FONTAINE_Q49496,0.9708704352378845
RUDOLF_LEONHARD_noWikiID,KLABUND_Q61263,0.9696061611175537
RUDOLF_LEONHARD_noWikiID,STANISŁAW_PRZYBYSZEWSKI_Q921405,0.9568456411361694
DIE_WERKE_noWikiID,FRIEDERIKE_HELENE_UNGER_Q1457049,0.9719910621643066
DIE_WERKE_noWikiID,PAULA_GROGGER_noWikiID,0.9609775543212891
HEINRICH_CORNELIUS_AGRIPPA_VON_NETTESHEIM_Q76568,ZU_RECHT_noWikiID,0.9735044240951538
JOSUA_OPITZ_Q1645992,GREEN_noWikiID,0.9747238159179688
JOHANN_NIKOLAUS_GÖTZ_Q77275,JOHANN_PETER_UZ_Q69951,0.9826554656028748
JOHANN_NIKOLAUS_GÖTZ_Q77275,ALCESTE_noWikiID,0.9756410717964172
JOHANN_RIST_Q66615,BENJAMIN_NEUKIRCH_Q106309,0.950912594795227
STÜRMER_UND_DRÄNGER_noWikiID,DAS_ALLES_noWikiID,0.9819905161857605
KNAPP_noWikiID,KRAUS_noWikiID,0.9783502817153931
KNAPP_noWikiID,WEHLER_noWikiID,0.9737720489501953
S._FISCHER_noWikiID,HARTLEBEN_noWikiID,0.9717934131622314
DIETRICH_noWikiID,NEIDHART_Q62708,0.9696872234344482
GABRIELE_REICH-GUTJAHR_Q28739667,STEFAN_noWikiID,0.9614407420158386
MAMMY_noWikiID,FERNAND_noWikiID,0.9675917625427246
MAMMY_noWikiID,JULIE_noWikiID,0.940759539604187
FRITZ_noWikiID,CHRISTINA_(SCHWEDEN)_Q52937,0.939339816570282
IN_EINEM_KÜHLEN_GRUNDE_Q1660731,DIE_HUMANISTEN_noWikiID,0.979010283946991
IN_EINEM_KÜHLEN_GRUNDE_Q1660731,LIENERT_noWikiID,0.9745767116546631
KARL_KRUMHARDT_noWikiID,VICTOR_FRANKENSTEIN_noWikiID,0.9820546507835388
KARL_KRUMHARDT_noWikiID,MARIA_noWikiID,0.9687685966491699
WILHELM_MEISTERS_LEHRJAHRE_Q1194031,WILHELM_MEISTER_noWikiID,0.8843410611152649
ROMEO_UND_JULIA_AUF_DEM_DORFE_Q1794670,ABU_TELFAN_Q335418,0.9337148666381836
BRÜDER_GRIMM_noWikiID,CLEMENS_VON_BRENTANO_Q215349,0.9685292840003967
BRÜDER_GRIMM_noWikiID,GÖRRES_noWikiID,0.9678499102592468
PHANTASIEN_ÜBER_DIE_KUNST_noWikiID,PRINZ_ZERBINO_noWikiID,0.9580845236778259
DUDENS_noWikiID,DAS_ERGEBNIS_noWikiID,0.9760386347770691
DUDENS_noWikiID,HANS_HIMMELHOCH_noWikiID,0.9674422740936279
DUDENS_noWikiID,IN_DER_TAT_noWikiID,0.9570561647415161
AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377,BUNTE_STEINE_Q1009887,0.8999689221382141
GABRIELE_noWikiID,KONSTANZE_(ANTIOCHIA)_Q238609,0.9551701545715332
LUDOVICO_DOMENICHI_noWikiID,DIE_ROTE_FAHNE_noWikiID,0.968572735786438
FRIEDRICH_ALEXANDER_VON_RÜDIGER_Q614753,DIE_MARSCHALLIN_noWikiID,0.9525632262229919
