"louvain","louvain group","id"
"2","","DEJECTION:_AN_ODE_noWikiID"
"5","","DICTIONARY_noWikiID"
"2","","DIVINE_COMEDY_Q40185"
"11","","DIVINE_SONGS_noWikiID"
"8","","DOMBEY_AND_SON_Q963659"
"4","","DOMESTIC_MANNERS_noWikiID"
"17","","DON_ALONZO_noWikiID"
"11","","DON_JUAN_(POEM)_Q1245187"
"31","","DON_QUIXOTE_Q480"
"1","","DRACULA_Q41542"
"3","","DREAM_OF_THE_ROOD_Q339763"
"63","","DUBLINERS_noWikiID"
"4","","DÁIBHÍ_Ó_BRUADAIR_noWikiID"
"1","","EARLY_LESSONS_noWikiID"
"8","","EAST_LYNNE_Q5328900"
"0","","EASTER_1916_noWikiID"
"2","","ECLOGUES_Q546203"
"21","","EDEN_noWikiID"
"14","","EDINBURGH_JOURNAL_noWikiID"
"14","","EDINBURGH_MAGAZINE_noWikiID"
"17","","EDITH_noWikiID"
"4","","EGOIST_noWikiID"
"2","","EIGHTEEN_HUNDRED_AND_ELEVEN_Q5349049"
"5","","ELEGIAC_SONNETS_Q30918806"
"11","","ELEGY_noWikiID"
"11","","ELEGY_WRITTEN_IN_A_COUNTRY_CHURCHYARD_Q1936762"
"10","","EMMA_(NOVEL)_Q223880"
"71","","EMMA_noWikiID"
"1","","EMMELINE_Q5373421"
"17","","ENDGAME_(PLAY)_Q1235448"
"11","","ENDYMION_(POEM)_Q2083848"
"9","","ENEADOS_noWikiID"
"89","","ENGLAND_ENGLAND_Q138046"
"0","","ENGLISH_MUSIC_(NOVEL)_Q15052531"
"5","","ENGLISH_REVIEW_noWikiID"
"5","","ENGLISHWOMAN'S_DOMESTIC_MAGAZINE_noWikiID"
"1","","ENNUI_(SONNET)_Q5379242"
"5","","ENQUIRY_CONCERNING_POLITICAL_JUSTICE_Q2094789"
"4","","EPISTEL_TO_WILLIAM_WILBERFORCE_noWikiID"
"11","","EPISTLE_TO_DR._ARBUTHNOT_noWikiID"
"11","","EPISTLE_TO_J._L?????K,_noWikiID"
"4","","EREWHON_Q1350048"
"3","","ESSAY_OF_DRAMATICK_POESIE_Q2903757"
"21","","ESSAY_SUPPLEMENTARY_TO_THE_PREFACE_noWikiID"
"4","","ESSAYS_AND_REVIEWS_Q5399401"
"10","","EVELINA_Q1635110"
