louvain;id_A;betweenness;Source
0;2663;0;MASCHA_KALÉKO_Q215943
0;2718;0;JANE_AUSTEN_Q36322
0;2719;6104;GEORGE_ELIOT_Q131333
0;2790;0;FRAUENTEXTE_noWikiID
0;2899;0;JOHANNA_FRANUL_noWikiID
0;2986;0;ALEV_TEKINAY_Q1656752
0;406;0;CORINNE_OU_L'ITALIE_noWikiID
0;622;294392;SIDONIA_HEDWIG_ZÄUNEMANN_Q92545
0;623;348258;AUF_DIESE_WEISE_noWikiID
0;624;289738;WILHELMINE_VON_HILLERN_Q88281
0;75;0;ELISABETH_(RUSSLAND)_Q130752
0;76;6104;FEGEFEUER_IN_INGOLSTADT_Q1401132
0;781;0;RAHEL_VARNHAGEN_VON_ENSE_Q61793
0;782;42656;HENRIETTE_HERZ_Q63460
0;857;12206;AMA_ATA_AIDOO_Q298224
0;858;163746;HELGA_SCHUBERT_noWikiID
0;859;0;JAKOB_SCHAFFNER_Q124926
0;860;0;DORIS_LESSING_noWikiID
0;941;12204;EMINE_SEVGI_ÖZDAMAR_Q446415
1;1080;12204;JULIUS_WILHELM_ZINCGREF_Q91923
1;1081;6104;GREIFFENBERG_noWikiID
1;1217;0;BERLINER_ABENDBLÄTTER_noWikiID
1;1218;139718;DIE_GRÜNDUNG_PRAGS_Q1213207
1;1304;0;REIGEN_(DRAMA)_Q1414190
1;1305;54840;MEIERBETH'S_GLÜCK_UND_ENDE_noWikiID
1;1316;18300;LUKIAN_VON_SAMOSATA_Q177847
1;1317;12204;KARL_PHILIPP_MORITZ_Q215781
1;1587;36582;DIE_CHRONICA_EINES_FAHRENDEN_SCHÜLERS_Q777681
1;1588;54820;DIE_GESCHICHTE_VOM_BRAVEN_KASPERL_UND_DEM_SCHÖNEN_ANNERL_Q1517619
1;1589;0;FANTASIESTÜCKE_noWikiID
1;1590;0;DAS_FRÄULEIN_VON_SCUDERI_Q358642
1;183;252924;BRÜDER_GRIMM_noWikiID
1;184;294926;CLEMENS_VON_BRENTANO_Q215349
1;185;247064;GÖRRES_noWikiID
1;1877;0;GRIMMS_MÄRCHEN_Q163027
1;1902;6104;BARTHOLD_HEINRICH_BROCKES_Q67054
1;1934;12204;SIGMUND_VON_BIRKEN_Q65501
1;1935;18300;ALBRECHT_DÜRER_Q5580
1;1936;6104;BIRKEN_noWikiID
1;2029;0;DIE_JUDENBUCHE_Q1213685
1;2069;0;DER_RUNENBERG_Q1196568
1;2070;30488;DER_BLONDE_ECKBERT_Q1198407
1;2088;12204;VITTORIA_ACCOROMBONA_Q1403207
