wikiname;syllabi;score_syllabi;freq_y;
TIME_AND_THE_GODS;;;;
TOM_BROWN'S_SCHOOL_DAYS;;;;
TOMMY_AND_GRIZEL;;;;
TONO-BUNGAY;;;;
TREASURE_ISLAND;1;100;2;
TRILBY_(NOVEL);;;;
TWO_LITTLE_SAVAGES;;;;
TWO_ON_A_TOWER;;;;
TYPHOON;;;;
UNCLE_SILAS;;;;
UNDER_THE_GREENWOOD_TREE;;;;
UNDER_WESTERN_EYES_(NOVEL);;;;
UNKNOWN_TO_HISTORY;;;;
VALPERGA;1;100;1;
VANITY_FAIR_(NOVEL);1;90;7;
VARNEY_THE_VAMPIRE;;;;
VATHEK;1;100;4;
VERTUE_REWARDED;;;;
VILLETTE_(NOVEL);1;90;3;
VIVIAN_GREY;;;;
VRIL;;;;
WAVERLEY;1;100;7;
WAYFARERS;;;;
WEIR_OF_HERMISTON;;;;
WESTWARD_HO;;;;
WET_MAGIC;;;;
WHAT_MAISIE_KNEW;;;;
WILD_ANIMALS_I_HAVE_KNOWN;;;;
WILLING_TO_DIE;;;;
WINTER_EVENING_TALES;;;;
WITH_THE_NIGHT_MAIL;;;;
WIVES_AND_DAUGHTERS;1;100;1;
WUTHERING_HEIGHTS;1;100;7;
YEAST;;;;
ZASTROZZI;;;;
ZOE;;;;
ZULEIKA_DOBSON;;;;
