"","author_complete","median"
"127","HORACE_WALPOLE",0.913959841960442
"128","HUGH_KELLY",0.0520374856859669
"129","IAN_MACLAREN",0.0477757206414661
"130","ISABELLA_L._BIRD",0.117501066676145
"131","ISRAEL_ZANGWILL",0.0477757206414661
"132","J._C.__SNAITH",0.049863479389024
"133","J._M.__BARRIE",0.115209491531127
"134","JAMES_HOGG",0.148487553986026
"135","JAMES_JOYCE",0.797979883708377
"136","JAMES_MALCOLM/THOMAS_PECKETT_RYMER/PREST",0.0477757206414661
"137","JAMES_MALCOLM_RYMER",0.0477757206414661
"138","JAMES_MORIER",0.049863479389024
"139","JAMES_STEPHENS",0.0477757206414661
"140","JANE_AUSTEN",0.573104135313384
"141","JANE_BARKER",0.127152048513252
"142","JANE_PORTER",0.132226821715085
"143","JEAN_INGLOW",0.0477757206414661
"144","JOHN/ANNA_LAETITIA_AIKIN/BARBAULD",0.0543008598413405
"145","JOHN_ARBUTHNOT",0.11291791638611
"146","JOHN_BLOUNDELLE-BURTON",0.0477757206414661
"147","JOHN_BUCHAN",0.11291791638611
"148","JOHN_CLELAND",0.049863479389024
"149","JOHN_GALSWORTHY",0.103053169969591
"150","JOHN_GALT",0.148487553986026
"151","JOHN_HENRY_NEWMAN",0.117581260458896
"152","JOHN_NEWBERY",0.0896602762528474
"153","JOHN_RUSKIN",0.122244604531682
"154","JOHN_WILLIAM_POLIDORI",0.313316107488017
"155","JONATHAN_SWIFT",0.152460783736558
"156","JOSEPH/FORD_M._CONRAD/HUEFER",0.049863479389024
"157","JOSEPH_CONRAD",0.216767550055336
"158","JOSEPH_SHERIDAN_LE_FANU",0.11291791638611
"159","JULIA_MANDEVILLE",0.0591085593605752
"160","KATHERINE_CECIL_THURSTON",0.0477757206414661
"161","KENNETH_GRAHAME",0.248779144559925
"162","L.T._MEADE",0.049863479389024
"163","LAURENCE_STERNE",0.185923994154683
"164","LEONARD_WOOLF",0.0477757206414661
"165","LEWIS_CARROLL",0.313316107488017
"166","MARCUS_CLARKE",0.0477757206414661
"167","MARGARET_OLIPHANT",0.0509504825374954
"168","MARIA_EDGEWORTH",0.127152048513252
"169","MARIE_CORELLI",0.0532601376075571
"170","MARK_RUTHERFORD",0.141170686071351
"171","MARK_RUTHERFORDD",0.049863479389024
"172","MARY_ANN_KILNER",0.0477757206414661
"173","MARY_AUGUSTA_WARD",0.0560443484203653
"174","MARY_BRUNTON",0.0621212150847019
"175","MARY_CHOLMONDELEY",0.0543008598413405
"176","MARY_DAVYS",0.049863479389024
"177","MARY_ELIZABETH_BRADDON",0.204901193890185
"178","MARY_HAYS",0.197672587097148
"179","MARY_HOLDSWORTH",0.0477757206414661
"180","MARY_LOUISA_MOLESWORTH",0.0477757206414661
"181","MARY_MARTHA_SHERWOOD",0.0531691727636537
"182","MARY_MOLESWORTH",0.0477757206414661
"183","MARY_RUSSELL_MITFORD",0.0792421570318606
"184","MARY_SHELLEY",0.0477757206414661
"185","MARY_WOLLSTONECRAFT",0.160221548263055
"186","MARY_WOLLSTONECRAFT_SHELLEY",0.985957888404111
"187","MATTHEW_GREGORY_LEWIS",0.398516949286156
"188","MAURICE_BARING",0.0477757206414661
"189","MAX_BEERBOHM",0.049863479389024
"190","MEADOWS__TAYLOR",0.0566567958260902
"191","MORGAN_SYDNEY",0.619558723877394
"192","NEIL_MUNRO",0.0477757206414661
"193","OLAUDAH_EQUIANO",0.132226821715085
"194","OLIVER_GOLDSMITH",0.332981899154278
"195","OSCAR_WILDE",0.142891468333576
"196","OWEN_WISTER",0.323070787610778
"197","P._A.__SHEEHAN",0.0477757206414661
"198","PERCY_BYSSHE_SHELLEY",0.127152048513252
"199","PERCY_GREG",0.0477757206414661
"200","R._D._BLACKMORE",0.135806373618849
"201","R._M.__BALLANTYNE",0.0488196000152451
"202","REGINA_MARIA_ROCHE",0.0729237779448048
"203","RHODA_BROUGHTON",0.0520374856859669
"204","RICHARD_JEFFERIES",0.115209491531127
"205","RICHARD_MARSH",0.122244604531682
"206","ROBERT_BAGE",0.0477757206414661
"207","ROBERT_HICHENS",0.049863479389024
"208","ROBERT_LOUIS/FANNY_VAN_DE_GRIFT_STEVENSON/STEVENSON",0.0543008598413405
"209","ROBERT_LOUIS/LLOYD_STEVENSON/OSBOURNE",0.0477757206414661
"210","ROBERT_LOUIS_STEVENSON",0.11291791638611
"211","ROBERT_PALTOCK",0.0477757206414661
"212","ROBERT_SURTEES",0.117501066676145
"213","ROBERT_TRESSELL",0.141170686071351
"214","ROSA_NOUCHETTE_CAREY",0.0477757206414661
"215","RUDYARD_KIPLING",0.294299317623214
"216","S._R.__CROCKETT",0.0477757206414661
"217","SAMUEL_BUTLER",0.0699415703280632
"218","SAMUEL_JOHNSON",0.668015506032498
"219","SAMUEL_RICHARDSON",0.84402409531542
"220","SAMUEL_RUTHERFORD_CROCKETT",0.0477757206414661
"221","SARAH_FIELDING",0.0566567958260902
"222","SARAH_GRAND",0.0870480138127654
"223","SARAH_SCOTT",0.0520374856859669
"224","STANDISH_O'GRADY",0.0477757206414661
"225","SUSANNA_HSWELL_ROWSON",0.0477757206414661
"226","SUSAN_FERRIER",0.0543008598413405
"227","TERRICK_HAMILTON",0.0477757206414661
"228","THOMAS_AMORY",0.0566567958260902
"229","THOMAS_CARLYLE",0.605736576985184
"230","THOMAS_DAY",0.127152048513252
"231","THOMAS_DE_QUINCEY",0.235374065025714
"232","THOMAS_HARDY",0.313397297582609
"233","THOMAS_HOLCROFT",0.11291791638611
"234","THOMAS_HOLFCROFT",0.122244604531682
"235","THOMAS_HUGHES",0.384640372733741
"236","THOMAS_LELAND",0.0520374856859669
"237","THOMAS_LOVE_PEACOCK",0.049863479389024
"238","THOMAS_MACKENZIE",0.0591085593605752
"239","THOMAS_MAYNE_REID",0.0477757206414661
"240","THOMAS_WATERS",0.049863479389024
"241","TOBIAS_SMOLLETT",0.146710915746886
"242","VERNON_LEE",0.049863479389024
"243","W._H._HUDSON",0.11291791638611
"244","W._J.__ECCOTT",0.0477757206414661
"245","WALTER_BESANT",0.0509504825374954
"246","WALTER_PATER",0.137819801249639
"247","WALTER_SCOTT",0.132226821715085
"248","WARWICK_DEEPING",0.049863479389024
"249","WILKIE_COLLINS",0.285047546124646
"250","WILLIAM_BECKFORD",0.353247063375283
"251","WILLIAM_BLACK",0.11291791638611
"252","WILLIAM_BUTLER_YEATS",0.0509504825374954
"253","WILLIAM_CARLETON",0.0477757206414661
"254","WILLIAM_CHAIGNEAU",0.0591085593605752
"255","WILLIAM_GODWIN",0.376947510279409
"256","WILLIAM_HARRISON_AINSWORTH",0.0488196000152451
"257","WILLIAM_HAZLITT",0.117501066676145
"258","WILLIAM_HENRY_GILES_KINGSTON",0.115209491531127
"259","WILLIAM_HOPE_HODGSON",0.117501066676145
"260","WILLIAM_J.__LOCKE",0.0543008598413405
"261","WILLIAM_LE_QUEUX",0.0477757206414661
"262","WILLIAM_MAKEPEACE_THACKERAY",0.132312141667839
"263","WILLIAM_MORRIS",0.117501066676145
"264","WILLIAM_SOMERSET_MAUGHAM",0.0477757206414661
"265","WILLIAM_WYMARK_JACOBS",0.0499066031637165
