"","canonisation_score","circl_sum","reviews_sum","Text","id","circl_binary","indegree","pagerank","class","reviews_binary"
"525","0.0741722353260478","0","0","TOD_IN_VENEDIG_Q828296","70","0","0","0.15","No Review & No Catalogue","0"
"321","0.0205467828522686","0","0","ELEAGABAL_KUPERUS_noWikiID","71","0","9","0.7227750578703703","No Review & No Catalogue","0"
"185","0.0318106268524673","0","0","DER_UNTERTAN_Q476349","72","0","2","0.26590694444444446","No Review & No Catalogue","0"
"41","0.0221068485323305","1","0","AUS_GUTER_FAMILIE_noWikiID","73","1","2","0.29340208333333334","No Review, Catalogue","0"
"190","0.0560723413501725","0","0","DER_WEG_INS_FREIE_Q700479","74","0","5","0.3865833333333333","No Review & No Catalogue","0"
"357","0.0691979459011065","0","0","GESCHWISTER_TANNER_Q1510146","75","0","7","0.7155026828864455","No Review & No Catalogue","0"
"338","0.259978377605495","1","0","FRAU_BERTHA_GARLAN_Q1451457","76","1","13","1.9556110275547192","No Review, Catalogue","0"
"521","0.0221068485323305","0","0","TAGEBUCH_EINER_VERLORENEN_Q7675198","77","0","8","1.2723257736147726","No Review & No Catalogue","0"
"366","0.0601640846066759","1","0","GROENLAENDISCHE_PROZESSE_noWikiID","78","1","2","0.235","No Review, Catalogue","0"
"493","0.274620702296579","1","0","ROBINSON_DER_JUENGERE_Q42195141","79","1","2","0.3743465638644019","No Review, Catalogue","0"
"565","0.305392408053958","0","0","ZUERICHER_NOVELLEN_Q248678","8","0","6","1.8821717560861568","No Review & No Catalogue","0"
"427","0.0560723413501725","2","1","LEIDEN_UND_FREUDEN_EINES_SCHULMEISTERS_noWikiID","80","1","7","1.7210496693670745","Review & Catalogue","1"
"118","0.0645339993923284","1","0","DER_BAUERNSPIEGEL_noWikiID","81","1","8","4.401570888011859","No Review, Catalogue","0"
"219","0.175635939901511","1","1","DIE_EPIGONEN_noWikiID","82","1","13","4.353302319204284","Review & Catalogue","1"
