"","canonisation_score","louvain","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","indegree","pagerank","class","reviews_binary"
"46","0.0601640846066759","9","0","1","BARBAROSSA_noWikiID","0","0.0036197170765592556","1","0.19999330513593622","Review, No Catalogue","1"
"47","0.0560723413501725","10","1","0","BEATRICE_noWikiID","1","0.003144107464490265","2","0.8265786292954658","No Review, Catalogue","0"
"48","0.289764790109877","4","0","0","BEBUQUIN_Q30134038","0","0.08396363358742107","1","0.38405692614577075","No Review & No Catalogue","0"
"49","0.0794735706665683","0","2","0","BELPHEGOR_noWikiID","1","0.006316048434494024","3","0.34343652902556615","No Review, Catalogue","0"
"50","0.0205467828522686","2","0","0","BILDER_UND_GESCHICHTEN_AUS_SCHWABEN_Q15788617","0","4.2217028557827894E-4","4","1.0995059253648365","No Review & No Catalogue","0"
"51","0.0851189742374057","3","0","0","BLUMEN_noWikiID","0","0.0072452397752281366","0","0.15","No Review & No Catalogue","0"
"52","0.0645339993923284","10","0","0","BOZENA_noWikiID","0","0.004164637077569042","6","1.0769836774544466","No Review & No Catalogue","0"
"53","0.0645339993923284","3","2","1","BRIEFE_EINES_NARREN_UND_EINER_NAERRIN_noWikiID","1","0.004164637077569042","1","0.26761166118497415","Review & Catalogue","1"
"54","0.289764790109877","11","3","0","BRIGITTA_(STIFTER)_Q539511","1","0.08396363358742107","5","0.5606287936701739","No Review, Catalogue","0"
"55","0.144732511897424","1","0","0","BUDDENBROOKS_Q326909","0","0.02094750000013798","5","0.9728844276506974","No Review & No Catalogue","0"
"56","0.0560723413501725","9","0","0","BULEMANNS_HAUS_Q1003556","0","0.003144107464490265","2","0.2995860584221342","No Review & No Catalogue","0"
"57","0.628138424466113","11","0","1","BUNTE_STEINE_Q1009887","0","0.39455788029077077","9","0.8559670855338263","Review, No Catalogue","1"
"58","0.0255818179471078","13","2","1","CABANIS_noWikiID","1","6.544294094789668E-4","9","1.7124309317452164","Review & Catalogue","1"
"59","0.0601640846066759","9","0","0","CARSTEN_CURATOR_Q1045516","0","0.0036197170765592556","10","2.275391379231421","No Review & No Catalogue","0"
"61","0.0205467828522686","14","0","0","CHRISTA_RUHLAND_noWikiID","0","4.2217028557827894E-4","7","1.6350688083013456","No Review & No Catalogue","0"
"62","0.0205467828522686","6","1","0","CLEMENTINE_noWikiID","1","4.2217028557827894E-4","5","0.8867125451134064","No Review, Catalogue","0"
"60","0.305392408053958","12","2","0","CÉCILE_noWikiID","1","0.0932645228969952","13","1.7481920003185925","No Review, Catalogue","0"
"63","0.0237824899093644","4","3","0","DAPHNIS_noWikiID","1","5.656068262890195E-4","5","0.9544063500961997","No Review, Catalogue","0"
"64","0.0205467828522686","14","1","0","DAS_ALTE_HAUS_noWikiID","1","4.2217028557827894E-4","1","0.2691336186549119","No Review, Catalogue","0"
"65","0.518885031764307","2","1","1","DAS_AMULETT_Q1167148","1","0.2692416761890459","4","0.5650570668600138","Review & Catalogue","1"
"66","0.0237824899093644","6","0","1","DAS_BLUETHENALTER_DER_EMPFINDUNG_noWikiID","0","5.656068262890195E-4","1","0.198399320533503","Review, No Catalogue","1"
"67","0.274620702296579","2","0","0","DAS_BUCH_LE_GRAND_noWikiID","0","0.07541653012986625","1","0.19993129508759874","No Review & No Catalogue","0"
"68","0.0560723413501725","13","0","0","DAS_DUELL_noWikiID","0","0.003144107464490265","2","0.38294175528722135","No Review & No Catalogue","0"
"69","0.305392408053958","5","1","1","DAS_ERDBEBEN_IN_CHILI_Q1167748","1","0.0932645228969952","0","0.15","Review & Catalogue","1"
"70","0.0560723413501725","8","0","0","DAS_ERDBEERIMAREILI_noWikiID","0","0.003144107464490265","1","0.1730048741066202","No Review & No Catalogue","0"
"71","0.354934606197489","5","0","0","DAS_FRAEULEIN_VON_SCUDERI_Q358642","0","0.12597857467656662","3","0.2615376382990744","No Review & No Catalogue","0"
"72","0.0221068485323305","10","1","0","DAS_GEHEIMNIS_DER_ALTEN_MAMSELL_noWikiID","1","4.887127520314033E-4","9","1.5101473566754824","No Review, Catalogue","0"
"73","0.0601640846066759","0","0","0","DAS_GEHEIMNISS_DES_KOSMOPOLITEN-ORDENS_noWikiID","0","0.0036197170765592556","0","0.15","No Review & No Catalogue","0"
"74","0.289764790109877","9","1","1","DAS_GEMEINDEKIND_Q1168304","1","0.08396363358742107","6","1.3935467452742016","Review & Catalogue","1"
"75","0.0237824899093644","14","2","0","DAS_GESPENST_noWikiID","1","5.656068262890195E-4","0","0.15","No Review, Catalogue","0"
"76","0.0560723413501725","14","0","0","DAS_GLUECK_Q3209153","0","0.003144107464490265","4","1.0400559505414544","No Review & No Catalogue","0"
