title;wikiname;ALZ;BLU;DL;MGS;sum_reviews;binary;id
der goldne spiegel;DER_GOLDNE_SPIEGEL;0;0;1;0;1;1;NA
NA;DER_GOLDNE_TOPF;0;0;0;0;0;0;NA
NA;DER_GOTTSUCHER;0;0;0;0;0;0;NA
NA;DER_GRUENE_HEINRICH;0;0;1;0;1;1;NA
der heilige;DER_HEILIGE;0;2;0;0;2;1;20311
NA;DER_HEIZER;0;0;0;0;0;0;NA
der herr etatsrat;DER_HERR_ETATSRAT;0;1;0;0;1;1;20474
der hexenmeister;DER_HEXENMEISTER;0;1;0;0;1;1;NA
NA;DER_HEXENSABBAT;0;0;0;0;0;0;NA
NA;DER_HOCHWALD;0;0;0;0;0;0;NA
der hungerpastor;DER_HUNGERPASTOR;0;1;0;0;1;1;20373
der im irr-garten der liebe herum taumelnde cavalier;DER_IM_IRR-GARTEN_DER_LIEBE_HERUM_TAUMELNDE_CAVALIER;0;0;0;1;1;1;NA
der junge tischlermeister;DER_JUNGE_TISCHLERMEISTER;0;1;0;0;1;1;20489
NA;DER_JUNKER_VON_DENOW;0;0;0;0;0;0;NA
NA;DER_KLEINE_HAEWELMANN;0;0;0;0;0;0;NA
NA;DER_KOENIG_DER_BERNINA;0;0;0;0;0;0;NA
NA;DER_LANDPREDIGER;0;0;0;0;0;0;NA
NA;DER_LANDVOGT_VON_GREIFENSEE;0;0;0;0;0;0;NA
NA;DER_MAGNETISEUR_(E._T._A._HOFFMANN);0;0;0;0;0;0;NA
NA;DER_MAJOR;0;0;0;0;0;0;NA
der nachsommer;DER_NACHSOMMER;0;1;0;0;1;1;20463
NA;DER_POJAZ;0;0;0;0;0;0;NA
NA;DER_POSTEN_DER_FRAU;0;0;0;0;0;0;NA
NA;DER_PRINZ_VON_THEBEN;0;0;0;0;0;0;NA
NA;DER_PSYCHOLOGE;0;0;0;0;0;0;NA
NA;DER_RABBI_VON_BACHERACH;0;0;0;0;0;0;NA
der rangierbahnhof;DER_RANGIERBAHNHOF;0;1;0;0;1;1;20034
NA;DER_RAUBGRAF;0;0;0;0;0;0;NA
NA;DER_REBELL;0;0;0;0;0;0;NA
NA;DER_REDLICHE_MANN_AM_HOFE;0;0;0;0;0;0;NA
der roland von berlin;DER_ROLAND_VON_BERLIN;0;0;0;1;1;1;20002
NA;DER_RUNENBERG;0;0;0;0;0;0;NA
NA;DER_SADDUZAEER_VON_AMSTERDAM;0;0;0;0;0;0;NA
der sandmann;DER_SANDMANN_(HOFFMANN);1;0;0;0;1;1;20209
NA;DER_SATYR_MOPSUS;0;0;0;0;0;0;NA
NA;DER_SCHATZ;0;0;0;0;0;0;NA
NA;DER_SCHATZ_IM_SILBERSEE;0;0;0;0;0;0;NA
der schimmelreiter;DER_SCHIMMELREITER;0;1;1;0;2;1;20475
NA;DER_SCHMIED_SEINES_GLUECKS;0;0;0;0;0;0;NA
der schüdderump;DER_SCHUEDDERUMP;0;1;0;0;1;1;20374
NA;DER_SCHUSS_VON_DER_KANZEL;0;0;0;0;0;0;NA
NA;DER_SCHWEIZER_ROBINSON_ODER_DER_SCHWEIZER-PREDIGER_UND_SEINE_FAMILIE;0;0;0;0;0;0;NA
NA;DER_SELBSTMOERDER;0;0;0;0;0;0;NA
der sonnenwirt;DER_SONNENWIRT;0;1;0;0;1;1;20261
stechlin;DER_STECHLIN_(ROMAN);0;1;0;0;1;1;20109
der sternsteinhof;DER_STERNSTEINHOF;0;1;1;0;2;1;20011
NA;DER_TOD_ABELS;0;0;0;0;0;0;NA
NA;DER_TOD_GEORGS;0;0;0;0;0;0;NA
NA;DER_TOLLE_INVALIDE_AUF_DEM_FORT_RATONNEAU;0;0;0;0;0;0;NA
NA;DER_TORSO;0;0;0;0;0;0;NA
NA;DER_TROTZKOPF;0;0;0;0;0;0;NA
NA;DER_UEBERGANG;0;0;1;0;1;1;NA
NA;DER_UNTERTAN;0;0;0;0;0;0;NA
NA;DER_VERBRECHER_AUS_VERLORENER_EHRE;0;0;0;0;0;0;NA
NA;DER_WALDBRUDER;0;0;0;0;0;0;NA
NA;DER_WALDBRUNNEN;0;0;0;0;0;0;NA
NA;DER_WASSERMENSCH;0;0;0;0;0;0;NA
NA;DER_WEG_INS_FREIE;0;0;0;0;0;0;NA
NA;DER_WEHRWOLF;0;0;0;0;0;0;NA
NA;DER_WINTERGARTEN;0;0;0;0;0;0;NA
NA;DER_ZAUBERRING;0;0;0;0;0;0;NA
NA;DER_ZWEIKAMPF;0;0;0;0;0;0;NA
NA;DES_DEUTSCHEN_SPIESSERS_WUNDERHORN;0;0;0;0;0;0;NA
NA;DES_LEBENS_UEBERFLUSS;0;0;0;0;0;0;NA
NA;DES_REICHES_KRONE;0;0;0;0;0;0;NA
NA;DES_VETTERS_ECKFENSTER;0;0;0;0;0;0;NA
NA;DEUTSCHE_PIONIERE;0;0;0;0;0;0;NA
NA;DEUTSCHER_ADEL_(WILHELM_RAABE);0;0;0;0;0;0;NA
dichter und ihre gesellen;DICHTER_UND_IHRE_GESELLEN;1;0;0;1;2;1;20087
NA;DICHTERLEBEN;0;0;0;0;0;0;NA
NA;DIE_ABDERITEN;0;0;0;0;0;0;NA
NA;DIE_ABENTEUER_DER_SYLVESTERNACHT;0;0;0;0;0;0;NA
NA;DIE_ABENTHEUER_DES_DON_SYLVIO_VON_ROSALVA;0;0;0;0;0;0;NA
NA;DIE_AHNEN;0;0;0;0;0;0;NA
NA;DIE_AKTEN_DES_VOGELSANGS;0;0;0;0;0;0;NA
NA;DIE_ANARCHISTEN;0;0;0;0;0;0;NA
NA;DIE_BARONIN;0;0;0;0;0;0;NA
NA;DIE_BEICHTE;0;0;0;0;0;0;NA
NA;DIE_BRAUTNACHT;0;0;0;0;0;0;NA
NA;DIE_CHINESISCHE_MAUER;0;0;0;0;0;0;NA
NA;DIE_CHRONIK_DER_SPERLINGSGASSE;0;0;0;0;0;0;NA
NA;DIE_DREI_GERECHTEN_KAMMMACHER;0;0;0;0;0;0;NA
NA;DIE_DREI_NUESSE;0;0;0;0;0;0;NA
NA;DIE_ELFEN_(LUDWIG_TIECK);0;0;0;0;0;0;NA
NA;DIE_ELIXIERE_DES_TEUFELS;0;0;0;0;0;0;NA
NA;DIE_ENTFUEHRUNG;0;0;0;0;0;0;NA
die epigonen;DIE_EPIGONEN;0;0;0;1;1;1;20220
NA;DIE_ERMORDUNG_EINER_BUTTERBLUME;0;0;0;0;0;0;NA
NA;DIE_EUROPAMUEDEN;0;0;0;0;0;0;NA
NA;DIE_FAMILIE;0;0;0;0;0;0;NA
die familie seldorf;DIE_FAMILIE_SELDORF;0;0;0;1;1;1;20217
NA;DIE_FAMILIE_WOREL;0;0;0;0;0;0;NA
NA;DIE_FERMATE;0;0;0;0;0;0;NA
NA;DIE_FLUSSPIRATEN_DES_MISSISSIPPI;0;0;0;0;0;0;NA
NA;DIE_FRAU_PROFESSORIN;0;0;0;0;0;0;NA
NA;DIE_FREIHERREN_VON_GEMPERLEIN;0;0;0;0;0;0;NA
NA;DIE_FREUNDE_(LUDWIG_TIECK);0;0;0;0;0;0;NA
NA;DIE_GEIER-WALLY_(ROMAN);0;0;0;0;0;0;NA
die geigerin;DIE_GEIGERIN;0;1;0;0;1;1;20402
NA;DIE_GESCHICHTE_DER_ANNA_WASER;0;0;0;0;0;0;NA
NA;DIE_GLUECKLICHE_REISE;0;0;0;0;0;0;NA
NA;DIE_GLUECKSRITTER;0;0;0;0;0;0;NA
NA;DIE_GOETTINNEN_ODER_DIE_DREI_ROMANE_DER_HERZOGIN_VON_ASSY;0;0;0;0;0;0;NA
NA;DIE_GOLDENE_SCHMIEDE;0;0;0;0;0;0;NA
NA;DIE_GUENDERODE;0;0;0;0;0;0;NA
die gute schule;DIE_GUTE_SCHULE;0;1;0;0;1;1;20030
NA;DIE_HANNA;0;0;0;0;0;0;NA
NA;DIE_HEILIGE_CAECILIE_ODER_DIE_GEWALT_DER_MUSIK;0;0;0;0;0;0;NA
die hochzeit des mã¶nchs;DIE_HOCHZEIT_DES_MOENCHS;0;0;1;0;1;1;20312
NA;DIE_HOSEN_DES_HERRN_VON_BREDOW;0;0;0;0;0;0;NA
NA;DIE_INNERSTE;0;0;0;0;0;0;NA
NA;DIE_INSEL_FELSENBURG;0;0;0;0;0;0;NA
NA;DIE_JUDEN_VON_BARNOW;0;0;0;0;0;0;NA
NA;DIE_JUDENBUCHE;0;0;0;0;0;0;NA
NA;DIE_KAESEREI_IN_DER_VEHFREUDE;0;0;0;0;0;0;NA
NA;DIE_KINDER_VON_FINKENRODE;0;0;0;0;0;0;NA
NA;DIE_KLEINE_STADT;0;0;0;0;0;0;NA
NA;DIE_KLUGEN_JUNGFRAUEN;0;0;0;0;0;0;NA
NA;DIE_KOENIGSBRAUT;0;0;0;0;0;0;NA
die kronenwã¤chter;DIE_KRONENWAECHTER;1;0;0;0;1;1;20018
NA;DIE_LEHRLINGE_ZU_SAIS;0;0;0;0;0;0;NA
die leiden des jungen werthers;DIE_LEIDEN_DES_JUNGEN_WERTHERS;0;1;1;1;3;1;NA
NA;DIE_LETZTE_RECKENBURGERIN;0;0;0;0;0;0;NA
NA;DIE_LEUTE_AUS_DEM_WALDE;0;0;0;0;0;0;NA
NA;DIE_LEUTE_VOM_BLAUEN_GUGUCKHAUS;0;0;0;0;0;0;NA
NA;DIE_LEUTE_VON_SELDWYLA;0;0;0;0;0;0;NA
NA;DIE_LIEBENSWUERDIGE_ADALIE;0;0;0;0;0;0;NA
NA;DIE_MAEDCHENFEINDE;0;0;0;0;0;0;NA
NA;DIE_MAJORATSHERREN;0;0;0;0;0;0;NA
NA;DIE_MANDANEN-WAISE;0;0;0;0;0;0;NA
NA;DIE_MARZIPANLIESE;0;0;0;0;0;0;NA
NA;DIE_MEHREREN_WEHMUELLER;0;1;0;1;2;1;NA
die molkenkur;DIE_MOLKENKUR;1;0;0;0;1;1;20174
NA;DIE_NACHBARN;0;0;0;0;0;0;NA
NA;DIE_NAECHTE_TINO_VON_BAGDADS;0;0;0;0;0;0;NA
NA;DIE_NARRENBURG;0;0;0;0;0;0;NA
NA;DIE_NIHILISTEN;0;0;0;0;0;0;NA
NA;DIE_PFRUENDER;0;0;0;0;0;0;NA
die poppenpuhls;DIE_POGGENPUHLS;0;1;1;0;2;1;20111
NA;DIE_RICHTERIN_(NOVELLE);0;0;0;0;0;0;NA
NA;DIE_RITTER_VOM_GEISTE;0;0;0;0;0;0;NA
NA;DIE_ROSE_VON_DISENTIS;0;0;0;0;0;0;NA
die schriften des waldschulmeister;DIE_SCHRIFTEN_DES_WALDSCHULMEISTERS;0;1;0;0;1;1;20398
NA;DIE_SCHWARZE_GALEERE;0;0;0;0;0;0;NA
die schwarze spinne;DIE_SCHWARZE_SPINNE_(NOVELLE);0;0;0;1;1;1;20141
die serapions-brã¼der;DIE_SERAPIONSBRUEDER;0;0;0;1;1;1;20190
die soehne des senators;DIE_SOEHNE_DES_SENATORS;0;0;1;0;1;1;NA
der steinklopfer;DIE_STEINKLOPFER;0;1;0;0;1;1;20406
NA;DIE_TOTEN_SCHWEIGEN;0;0;0;0;0;0;NA
die verlobung in st. domingo;DIE_VERLOBUNG_IN_ST._DOMINGO;1;0;0;0;1;1;20252
NA;DIE_VERLORENE_HANDSCHRIFT;0;0;0;0;0;0;NA
die versuchung des pescara;DIE_VERSUCHUNG_DES_PESCARA;0;2;0;0;2;1;20304
NA;DIE_VERWANDLUNG;0;0;0;0;0;0;NA
NA;DIE_VERWIRRUNGEN_DES_ZOEGLINGS_TOERLESS;0;0;0;0;0;0;NA
die waffen nieder!;DIE_WAFFEN_NIEDER;0;1;0;0;1;1;20482
die wahlverwandtschaften;DIE_WAHLVERWANDTSCHAFTEN;1;1;0;0;2;1;20135
NA;DIE_WASSERNOT_IM_EMMENTAL;0;0;0;0;0;0;NA
NA;DIE_WEISE_VON_LIEBE_UND_TOD_DES_CORNETS_CHRISTOPH_RILKE;0;0;0;0;0;0;NA
NA;DIE_WIEDERTAEUFER;0;0;0;0;0;0;NA
NA;DIE_WISKOTTENS;0;0;0;0;0;0;NA
NA;DIE_ZAUBEREI_IM_HERBSTE;0;0;0;0;0;0;NA
NA;DIE_ZWEITE_FRAU;0;0;0;0;0;0;NA
NA;DIE_ZWOELF_APOSTEL;0;0;0;0;0;0;NA
NA;DIES_BUCH_GEHOERT_DEM_KOENIG;0;0;0;0;0;0;NA
NA;DON_JUAN_VON_KOLOMEA;0;0;0;0;0;0;NA
NA;DORFGAENGE;0;0;0;0;0;0;NA
NA;DRAUSSEN_IM_HEIDEDORF;0;0;0;0;0;0;NA
NA;DREI_FEDERN;0;0;0;0;0;0;NA
NA;DSCHINNISTAN;0;0;0;0;0;0;NA
NA;EDUARD_ALLWILLS_PAPIEREN;0;0;0;0;0;0;NA
NA;EEKENHOF;0;0;0;0;0;0;NA
effi briest;EFFI_BRIEST;0;1;1;0;2;1;20108
NA;EIGENSINN_UND_LAUNE;0;0;0;0;0;0;NA
NA;EIN_ABSCHIED;0;0;0;0;0;0;NA
NA;EIN_BEKENNTNIS;0;0;0;0;0;0;NA
ein brief;EIN_BRIEF_(HOFMANNSTHAL);0;0;1;0;1;1;20212
NA;EIN_DOPPELGAENGER;0;0;0;0;0;0;NA
NA;EIN_FEST_AUF_HADERSLEVHUUS;0;0;0;0;0;0;NA
NA;EIN_GRUENES_BLATT;0;0;0;0;0;0;NA
ein kampf um rom;EIN_KAMPF_UM_ROM;0;1;0;0;1;1;NA
ein kampf ums recht;EIN_KAMPF_UMS_RECHT;0;1;1;0;2;1;20119
NA;EIN_WORT;0;0;0;0;0;0;NA
eine ägyptische königstocher;EINE_AEGYPTISCHE_KOENIGSTOCHTER;0;1;0;0;1;1;20069
NA;EINE_AUSSCHWEIFUNG;0;0;0;0;0;0;NA
NA;EINE_GESCHICHTE_AUS_DEM_BREGENZERWALDE;0;0;0;0;0;0;NA
NA;EINE_MALERARBEIT;0;0;0;0;0;0;NA
NA;EINE_STUNDE_HINTER_MITTERNACHT;0;0;0;0;0;0;NA
ekkehard;EKKEHARD;0;1;0;0;1;1;20425
NA;ELEAGABAL_KUPERUS;0;0;0;0;0;0;NA
elisa oder das weib wie es seyn sollte;ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE;2;0;0;0;2;1;20538
NA;ELLEN_VON_DER_WEIDEN;0;0;0;0;0;0;NA
ellernkipp;ELLERNKLIPP;0;1;1;0;2;1;20105
NA;ELSE_VON_DER_TANNE;0;0;0;0;0;0;NA
NA;ELSI,_DIE_SELTSAME_MAGD;0;0;0;0;0;0;NA
NA;ERINNERUNGEN_VON_LUDOLF_URSLEU;0;0;0;0;0;0;NA
NA;ESCH_ODER_DIE_ANARCHIE;0;0;0;0;0;0;NA
NA;EVREMONT;0;0;0;0;0;0;NA
fausts leben, thaten und hã¶llenfahrt;FAUSTS_LEBEN,_THATEN_UND_HOELLENFAHRT;1;0;0;0;1;1;20256
NA;FELICITAS;0;0;0;0;0;0;NA
NA;FLEGELJAHRE;0;0;0;0;0;0;NA
NA;FLORENTIN;0;0;0;0;0;0;NA
NA;FLORENTINISCHE_NAECHTE;0;0;0;0;0;0;NA
NA;FRAGMENT_EINES_ROMANS;0;0;0;0;0;0;NA
NA;FRANZ_STERNBALDS_WANDERUNGEN;0;0;0;0;0;0;NA
NA;FRAU_BEATE_UND_IHR_SOHN;0;0;0;0;0;0;NA
NA;FRAU_BERTHA_GARLAN;0;0;0;0;0;0;NA
frau jenny treibel;FRAU_JENNY_TREIBEL;0;1;0;0;1;1;20115
NA;FRAU_SORGE;0;0;0;0;0;0;NA
NA;FRAU_VON_SAVERNE;0;0;0;0;0;0;NA
freigeboren;FREIGEBOREN;0;0;1;0;1;1;20444
NA;FREIHEIT_DIE_ICH_MEINE;0;0;0;0;0;0;NA
freuden des jungen werthers;FREUDEN_DES_JUNGEN_WERTHERS;0;1;0;1;2;1;NA
NA;FRIDOLIN_UND_SEIN_GLUECK;0;0;0;0;0;0;NA
NA;FRUEHLING;0;0;0;0;0;0;NA
NA;GABRIELE;0;0;0;0;0;0;NA
NA;GEHEIME_GESCHICHTE_DES_PHILOSOPHEN_PEREGRINUS_PROTEUS;0;0;0;0;0;0;NA
NA;GELD_UND_GEIST;0;0;0;0;0;0;NA
NA;GESCHICHTE_DES_AGATHON;0;0;0;0;0;0;NA
NA;GESCHICHTE_DES_FRAEULEINS_VON_STERNHEIM;0;0;0;0;0;0;NA
NA;GESCHICHTE_EINES_DEUTSCHEN_DER_NEUSTEN_ZEIT;0;0;0;0;0;0;NA
NA;GESCHICHTE_EINES_WIENERKINDES;0;0;0;0;0;0;NA
NA;GESCHICHTE_VOM_BRAVEN_KASPERL_UND_DEM_SCHOENEN_ANNERL;0;0;0;0;0;0;NA
NA;GESCHICHTE_VOM_GALGENMAENNLEIN;0;0;0;0;0;0;NA
