Column;wikiname;variations;wikiID;tag;count
0;A._WEBER;['A. Weber'];noWikiID;WORK_OF_ART;"1"
1;AARGÄU;['Aargäu'];noWikiID;WORK_OF_ART;"1"
2;AARON_DIESER_AARON;['Aaron dieser Aaron'];noWikiID;WORK_OF_ART;"1"
3;ABBATIS_ET_ERUDITAE;['Abbatis et Eruditae'];noWikiID;WORK_OF_ART;"1"
4;ABBAU_DER_ORDNUNGEN_DES_ERZÄHLENS;['Abbau der Ordnungen des Erzählens'];noWikiID;WORK_OF_ART;"1"
5;ABBE_DE_LA_TOUR;['Abbe de la Tour'];noWikiID;WORK_OF_ART;"1"
6;ABBE_DE_PURE;['Abbe de Pure'];noWikiID;WORK_OF_ART;"1"
7;ABBE_FROMAGEAR;['ABBE FROMAGEar'];noWikiID;WORK_OF_ART;"1"
8;ABBE_TERRASSON;['ABBE TERRASSON'];noWikiID;WORK_OF_ART;"1"
9;ABBÉ_DE_SAINT-PIERRE;['Abbé de Saint-Pierre'];noWikiID;WORK_OF_ART;"1"
10;ABC;['Abc'];noWikiID;WORK_OF_ART;"1"
11;ABC_BUCH;['ABC Buch'];noWikiID;WORK_OF_ART;"1"
12;ABDALLAH;['Abdallah'];noWikiID;WORK_OF_ART;"1"
13;ABDUL_ERZERUMS_NEUE_PERSISCHE_BRIEFE;['Abdul Erzerums neue persische Briefe'];noWikiID;WORK_OF_ART;"1"
14;ABEND;['Abend'];noWikiID;WORK_OF_ART;"2"
15;ABENDALBUM;['Abendalbum'];noWikiID;WORK_OF_ART;"1"
16;ABENDALBUM_UND_ZAUBERLAMPE;['Abendalbum und Zauberlampe'];noWikiID;WORK_OF_ART;"2"
17;ABENDLAND;['Abendland'];noWikiID;WORK_OF_ART;"2"
18;ABENDLICHT;['Abendlicht'];noWikiID;WORK_OF_ART;"1"
19;ABENDLIED_(MATTHIAS_CLAUDIUS);['Abendlied', 'Das Abendlied'];Q318900;WORK_OF_ART;"4"
20;ABENDRÖTE;['Abendröte'];noWikiID;WORK_OF_ART;"1"
21;ABENDS;['Abends'];noWikiID;WORK_OF_ART;"2"
22;ABENDSCHEIN,/UND_STILL_WAR_MEIN_HERZ;['Abendschein,/und still war mein Herz'];noWikiID;WORK_OF_ART;"1"
23;ABENDSOMMER;['Abendsommer'];noWikiID;WORK_OF_ART;"1"
24;ABENDS_UM_ACHT;['Abends um acht'];noWikiID;WORK_OF_ART;"1"
25;ABENTEUER-COMICS,_SF-COMICS,_FANTASY-COMICS;['Abenteuer-Comics, SF-Comics, Fantasy-Comics'];noWikiID;WORK_OF_ART;"1"
26;ABENTEUER-_ODER_BILDUNGSROMANEN;['Abenteuer- oder Bildungsromanen'];noWikiID;WORK_OF_ART;"1"
27;ABENTEUER-_UND_GEISTERROMANEN;['Abenteuer- und Geisterromanen'];noWikiID;WORK_OF_ART;"1"
28;ABENTEUER-_UND_SCHAUERROMANS;['Abenteuer- und Schauerromans'];noWikiID;WORK_OF_ART;"1"
29;ABENTEUERROMAN;['Abenteuerroman,'];noWikiID;WORK_OF_ART;"1"
30;ABENTEUERROMAN;['Abenteuerromans'];noWikiID;WORK_OF_ART;"1"
31;ABENTEUERS;['Abenteuers'];noWikiID;WORK_OF_ART;"1"
32;ABENTEUER_AUS_DEM_ENGLISCHEN_GARTEN;['Abenteuer aus dem Englischen Garten'];noWikiID;WORK_OF_ART;"1"
33;ABENTEUER_DER_TUGEND;['Abenteuer der Tugend'];noWikiID;WORK_OF_ART;"1"
34;ABENTEUER_INFAEFKONTINENTEN;['Abenteuer infaeFKontinenten'];noWikiID;WORK_OF_ART;"1"
35;ABERGLAUBE;['Aberglaube'];noWikiID;WORK_OF_ART;"3"
36;ABER_AN_DER_PRINZIPIELLEN_FRAGE;['Aber an der prinzipiellen Frage'];noWikiID;WORK_OF_ART;"1"
37;ABER_AUF_DER_ANDERN_SEITE_MUSSTE_ICH;['Aber auf der andern Seite mußte ich'];noWikiID;WORK_OF_ART;"1"
38;ABER_DAS_BUCH;['Aber das Buch'];noWikiID;WORK_OF_ART;"1"
39;ABER_DAS_EINE_WEISS_ICH_BESTIMMT:_ICH_WERDE_EINE_REIZENDE,_KUGELRUNDE_NULL;['Aber das Eine weiß ich bestimmt: Ich werde eine reizende, kugelrunde Null'];noWikiID;WORK_OF_ART;"1"
40;DAS_TITELGEDICHT;['Aber das Titelgedicht'];noWikiID;WORK_OF_ART;"1"
41;ABER_DAS_WAR_NOCH_NICHT_DAS_SCHLIMMSTE;['Aber das war noch nicht das Schlimmste'];noWikiID;WORK_OF_ART;"2"
42;ABER_DA_BEFINDEN_WIR_UNS_SCHON_AN_DER_GRENZE;['Aber da befinden wir uns schon an der Grenze'];noWikiID;WORK_OF_ART;"1"
43;ABER_DA_EIN_LEBENDIGER_HINEINTRAT;['Aber da ein Lebendiger hineintrat'];noWikiID;WORK_OF_ART;"1"
44;ABER_DER_ALTE_BEGRIFF_DER_KUNST;['Aber der alte Begriff der Kunst'];noWikiID;WORK_OF_ART;"1"
45;ABER_DER_FRAUENPARAGRAPH;['Aber der Frauenparagraph'];noWikiID;WORK_OF_ART;"1"
