"louvain","","canonisation_score","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","pagerank","indegree","class","reviews_binary"
"6","193","0.117501066676145","2","1","KENILWORTH_Q2600597","1","0.013806500670031873","1.886595264935528","13","Review & Catalogue","1"
"9","194","0.384640372733741","1","1","KIDNAPPED_(NOVEL)_Q2349094","1","0.14794821633675123","0.4018499918768035","2","Review & Catalogue","1"
"12","195","0.68764997588443","1","1","KIM_(NOVEL)_Q589868","1","0.47286248933385716","0.6801239669001558","2","Review & Catalogue","1"
"11","196","0.406135180117558","1","1","KING_SOLOMON'S_MINES_Q1137494","1","0.1649457845291213","1.3091731418017698","3","Review & Catalogue","1"
"5","197","0.142891468333576","1","0","KIPPS_Q1249082","1","0.020417971722525352","0.6628723053204209","5","No Review, Catalogue","0"
"2","198","0.0643129761992644","0","0","KNOCKNAGOW_noWikiID","0","0.00413615890760715","0.33742371523337894","2","No Review & No Catalogue","0"
"10","199","0.769791600120154","2","1","LADY_AUDLEY'S_SECRET_Q2738351","1","0.5925791076155471","0.5750574127352469","4","Review & Catalogue","1"
"0","200","0.0477757206414661","2","0","LEVER'S_LORD_KILGOBBIN_noWikiID","1","0.0022825194828114104","0.7405367385428987","5","No Review, Catalogue","0"
"13","201","0.117501066676145","1","0","LIBER_AMORIS_noWikiID","1","0.013806500670031873","0.4344422700587084","1","No Review, Catalogue","0"
"7","202","0.11291791638611","1","0","LIFE'S_LITTLE_IRONIES_noWikiID","1","0.012750455840980529","0.15","0","No Review, Catalogue","0"
"8","203","0.0477757206414661","0","0","LIFE_AND_ADVENTURES_OF_PETER_WILKINS_noWikiID","0","0.0022825194828114104","1.5622655276600597","9","No Review & No Catalogue","0"
"14","204","0.049863479389024","0","0","LIFE_AND_PERAMBULATIONS_OF_A_MOUSE_noWikiID","0","0.0024863665767796217","0.1901183098483335","1","No Review & No Catalogue","0"
"7","205","0.122244604531682","1","0","LILITH_noWikiID","1","0.014943743337107327","0.6381706341147182","5","No Review, Catalogue","0"
"4","206","0.677911265542429","2","1","LITTLE_DORRIT_Q565638","1","0.45956368394933766","3.686346587659843","16","Review & Catalogue","1"
"0","207","0.122244604531682","1","0","LITTLE_LORD_FAUNTLEROY_Q387480","1","0.014943743337107327","0.15","0","No Review, Catalogue","0"
"6","208","0.0520374856859669","0","0","LONGSWORD_(NOVEL)_Q104859091","0","0.0027078999165172104","0.1949597152373112","1","No Review & No Catalogue","0"
"9","209","0.313316107488017","1","0","LORD_JIM_Q727408","1","0.09816698321144264","2.175974485937964","12","No Review, Catalogue","0"
"2","210","0.135806373618849","2","2","LORNA_DOONE_Q3400981","1","0.018443371115502406","1.9645809507833536","8","Review & Catalogue","1"
"0","211","0.122244604531682","0","0","LOSS_AND_GAIN_Q3259809","0","0.014943743337107327","0.15","0","No Review & No Catalogue","0"
"5","212","0.0477757206414661","0","0","LOST_DIARIES_noWikiID","0","0.0022825194828114104","0.3270022883295195","1","No Review & No Catalogue","0"
"12","213","0.049863479389024","1","0","LOVE_AMONG_THE_RUINS_noWikiID","1","0.0024863665767796217","0.28608692737984337","2","No Review, Catalogue","0"
"13","214","0.0477757206414661","0","1","LOVE_AND_MADNESS_Q6691643","0","0.0022825194828114104","0.22523569006568636","1","Review, No Catalogue","1"
"5","215","0.117501066676145","1","0","LOVE_AND_MR_LEWISHAM_Q4271834","1","0.013806500670031873","0.8483150902152907","7","No Review, Catalogue","0"
"15","216","0.23024672621441","0","0","LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY_Q1588738","0","0.05301355493245348","1.4237537248329761","9","No Review & No Catalogue","0"
