"louvain","","canonisation_score","circl_sum","reviews_sum","id","circl_binary","squared canonisation score","pagerank","indegree","class","reviews_binary"
"9","52","0.11291791638611","0","0","AMY_FOSTER_Q4749187","0","0.012750455840980529","0.279042416412609","1","No Review & No Catalogue","0"
"14","53","0.137472234822425","0","0","AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS_Q2743569","0","0.01889861534707196","0.3823240161654655","2","No Review & No Catalogue","0"
"5","54","0.0543008598413405","1","1","AN_IRISH_COUSIN_noWikiID","1","0.002948583379508905","0.3066877459823002","1","Review & Catalogue","1"
"9","55","0.11291791638611","1","0","AN_OUTCAST_OF_THE_ISLANDS_Q1090444","1","0.012750455840980529","1.9136546376323083","10","No Review, Catalogue","0"
"5","56","0.160221548263055","0","1","ANN_VERONICA_Q1247736","0","0.025670944527810467","2.3703794648569882","15","Review, No Catalogue","1"
"1","57","0.122244604531682","3","2","ANNA_ST_IVES_noWikiID","1","0.014943743337107327","0.32627662785606015","1","Review & Catalogue","1"
"6","58","0.172694745758032","2","1","ANNALS_OF_THE_PARISH_Q4767877","1","0.029823475212431314","0.2611860643266269","3","Review & Catalogue","1"
"6","59","0.0477757206414661","0","0","ANTAR_noWikiID","0","0.0022825194828114104","0.15","0","No Review & No Catalogue","0"
"10","60","0.395337204568379","2","1","ARMADALE_Q4792516","1","0.15629150531594035","2.974137894263775","14","Review & Catalogue","1"
"1","61","0.0477757206414661","1","1","ARTHUR_MERVYN_Q4799713","1","0.0022825194828114104","1.2409124718542917","10","Review & Catalogue","1"
"14","62","0.137472234822425","2","1","AT_THE_BACK_OF_THE_NORTH_WIND_Q1619593","1","0.01889861534707196","2.004195383514447","14","Review & Catalogue","1"
"9","63","0.117501066676145","0","0","AT_THE_END_OF_THE_PASSAGE_noWikiID","0","0.013806500670031873","0.15","0","No Review & No Catalogue","0"
"2","64","0.117501066676145","0","1","AULD_LICHT_IDYLLS_noWikiID","0","0.013806500670031873","0.41309208607261605","4","Review, No Catalogue","1"
"0","65","0.316181109886472","2","1","AURORA_FLOYD_Q4822530","1","0.0999704942490413","0.15","0","Review & Catalogue","1"
"11","66","0.142891468333576","0","1","AYESHA_(NOVEL)_Q2604590","0","0.020417971722525352","1.620011933209872","5","Review, No Catalogue","1"
"0","67","0.30372380755444","2","1","BARCHESTER_TOWERS_Q4859885","1","0.09224815127536651","0.6924129630584313","4","Review & Catalogue","1"
"10","68","0.294299317623214","1","1","BASIL_noWikiID","1","0.0866120883534894","0.15","0","Review & Catalogue","1"
"1","69","0.384640372733741","3","5","BELINDA_noWikiID","1","0.14794821633675123","0.5816663704024878","4","Review & Catalogue","1"
"4","71","0.958008839727505","2","1","BLEAK_HOUSE_Q883305","1","0.9177809369960402","1.7768631336095315","8","Review & Catalogue","1"
