"","circl_sum","Text","canonisation_score","reviews_sum","id","circl_binary","betweenness","indegree","pagerank","class","reviews_binary"
"187","2","JOHN_HALIFAX_GENTLEMAN_Q6237289","0.132226821715085","1","115","1","2768.914334968394","9","3.0919212654563157","Review & Catalogue","1"
"106","2","COUSIN_PHILLIS_noWikiID","0.135806373618849","0","116","1","0","0","0.15","No Review, Catalogue","0"
"332","1","SYLVIAS_LOVERS_Q14566477","0.146710915746886","1","117","1","1151.6317350756601","3","0.3278915290982056","Review & Catalogue","1"
"244","0","MY_LADY_LUDLOW_Q16387198","0.0477757206414661","0","118","0","188.25235185644644","3","0.3204486111111111","No Review & No Catalogue","0"
"519","5","THE_MYSTERIES_OF_UDOLPHO_Q2600909","0.520733070723992","2","119","1","6850.848224833736","5","1.8199099622588395","Review & Catalogue","1"
"205","1","LILITH_noWikiID","0.122244604531682","0","12","1","804.7730181815734","6","1.060449357361118","No Review, Catalogue","0"
"567","4","THE_ROMANCE_OF_THE_FOREST_Q3406503","0.17068652890912","2","120","1","5876.992791255934","9","2.7225660828611917","Review & Catalogue","1"
"274","0","PETER'S_PENCE_noWikiID","0.0477757206414661","0","121","0","0","0","0.15","No Review & No Catalogue","0"
"466","1","THE_HOUSE_WITH_THE_GREEN_SHUTTERS_Q7740720","0.0477757206414661","0","122","1","59.58333333333333","2","0.235","No Review, Catalogue","0"
"310","1","SENTIMENTAL_TOMMY_noWikiID","0.11291791638611","1","123","1","646.6312008174973","5","0.438288912037037","Review & Catalogue","1"
"337","1","TALES_OF_MEAN_STREETS_noWikiID","0.0520374856859669","1","124","1","743.1896081743669","5","0.4716769972993827","Review & Catalogue","1"
"384","1","THE_CHILDREN_OF_THE_NEW_FOREST_Q7722508","0.049863479389024","0","125","1","0","0","0.15","No Review, Catalogue","0"
"578","0","THE_SETTLERS_IN_CANADA_Q7763415","0.0477757206414661","0","126","0","133.072534337008","1","0.1925","No Review & No Catalogue","0"
"331","2","SYBIL_Q3506752","0.450141038132134","1","127","1","589.2373955850626","3","0.7381774282766258","Review & Catalogue","1"
"86","0","CATRIONA_noWikiID","0.11291791638611","0","128","0","924.8388006478816","2","0.30810590605709876","No Review & No Catalogue","0"
"493","1","THE_LITTLE_MINISTER_noWikiID","0.11291791638611","0","129","1","1042.2020908042193","4","0.5001174669785237","No Review, Catalogue","0"
"348","3","THE_ADVENTURES_OF_PEREGRINE_PICKLE_Q7712607","0.0520374856859669","0","13","1","49.085255171019746","5","1.428264289106438","No Review, Catalogue","0"
"194","1","KIDNAPPED_(NOVEL)_Q2349094","0.384640372733741","1","130","1","14084.688513890294","5","0.8584768210113505","Review & Catalogue","1"
"505","1","THE_MASTER_OF_BALLANTRAE_Q2615930","0.148487553986026","1","131","1","2152.4315618788896","3","0.4594590806160202","Review & Catalogue","1"
"289","1","RED_POTTAGE_noWikiID","0.0543008598413405","1","132","1","1070.5343846114642","4","0.46748956674382713","Review & Catalogue","1"
"365","1","THE_BETH_BOOK_noWikiID","0.0643129761992644","1","133","1","3447.5006379500487","10","1.8145853333074922","Review & Catalogue","1"
"381","1","THE_CHANGELING_noWikiID","0.049863479389024","1","134","1","1982.9318932731296","9","1.4124695082730059","Review & Catalogue","1"
"443","1","THE_HEAVENLY_TWINS_noWikiID","0.109783051426266","0","135","1","10262.937052920051","22","4.356415589754897","No Review, Catalogue","0"
"223","3","MARRIAGE_noWikiID","0.0543008598413405","2","136","1","28192.284059631802","3","1.037109059220807","Review & Catalogue","1"
"159","2","HARRINGTON_noWikiID","0.11291791638611","0","137","1","420.0471780381856","3","0.8373942873074877","No Review, Catalogue","0"
