,Text,CanonisationScore,NearestNeighbour,SimilarityScore
0,STALKY_&_CO._Q4439259,0.30372380755444,ENNUI_Q117149111,0.868262767791748
1,MARTIN_CHUZZLEWIT_Q1903609,0.395337204568379,OLIVER_TWIST_Q164974,0.9698381423950195
2,IMAGINARY_PORTRAITS_noWikiID,0.127152048513252,MARIUS_THE_EPICUREAN_Q5477441,0.8875280618667603
3,ROBERT_FALCONER_noWikiID,0.122244604531682,DAVID_ELGINBROD_Q5233331,0.9588654637336731
4,THE_WILD_IRISH_GIRL_Q7774872,0.619558723877394,ST_LEON_Q7589523,0.9003112316131592
5,SANDERS_OF_THE_RIVER_noWikiID,0.049863479389024,MICAH_CLARKE_Q3050442,0.8593038320541382
6,WILLING_TO_DIE_noWikiID,0.11291791638611,UNCLE_SILAS_Q3835925,0.9647849798202515
7,THE_SPOILS_OF_POYNTON_Q3809486,0.285047546124646,THE_PORTRAIT_OF_A_LADY_Q861017,0.9434082508087158
8,THE_WORLD_SET_FREE_Q5051290,0.049863479389024,THE_WAR_IN_THE_AIR_Q964055,0.908695638179779
9,THE_FIXED_PERIOD_Q7734312,0.11291791638611,THE_PRIME_MINISTER_noWikiID,0.9379953742027283
10,FOR_THE_TERM_OF_HIS_NATURAL_LIFE_noWikiID,0.0477757206414661,IT_IS_NEVER_TOO_LATE_TO_MEND_(NOVEL)_Q6091852,0.9294443130493164
11,NATURE_AND_ART_Q48770862,0.0543008598413405,THE_LIFE_OF_HARRIOT_STUART_noWikiID,0.8986288905143738
12,ZOE_noWikiID,0.0477757206414661,THE_HISTORY_OF_THE_FAIRCHILD_FAMILY_Q7739822,0.8328161239624023
13,SELF-CONTROL_(NOVEL)_Q3478102,0.0699415703280632,THE_CHILDREN_OF_THE_ABBEY_Q7722505,0.968639612197876
14,SEVEN_LITTLE_AUSTRALIANS_Q7457323,0.0477757206414661,THE_HISTORY_OF_THE_FAIRCHILD_FAMILY_Q7739822,0.8894993662834167
15,A_MODEST_PROPOSAL_Q264143,0.172694745758032,A_PATCH-WORK_SCREEN_FOR_THE_LADIES_noWikiID,0.7893891334533691
16,OLIVER_TWIST_Q164974,0.910357373663103,THE_ADVENTURES_OF_RODERICK_RANDOM_Q7712626,0.9421497583389282
17,THE_WELL-BELOVED_Q2906193,0.137472234822425,THE_RETURN_OF_THE_NATIVE_Q141568,0.9069263339042664
18,LOVE_AMONG_THE_RUINS_noWikiID,0.049863479389024,CALLISTA_(NOVEL)_Q2934238,0.8249748945236206
19,THE_GOLDEN_AGE_noWikiID,0.11291791638611,NEW_GRUB_STREET_noWikiID,0.8568536639213562
20,THE_EMIGRANTS_OF_AHADARRA_noWikiID,0.0477757206414661,THE_BLACK_PROPHET_noWikiID,0.9370347857475281
21,THE_LIGHT_PRINCESS_noWikiID,0.11291791638611,THE_FAIRCHILD_FAMILY_noWikiID,0.7392440438270569
22,THE_ADVENTURES_OF_HUGH_TREVOR_noWikiID,0.11291791638611,"THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING_Q248096",0.9535039663314819
23,SUSPIRIA_DE_PROFUNDIS_Q3978307,0.117501066676145,SARTOR_RESARTUS_Q1134140,0.8861154913902283
24,A_HOUSE_TO_LET_Q4657430,0.0477757206414661,THE_KELLYS_AND_THE_O'KELLYS_Q7744082,0.865757167339325
25,QUENTIN_DURWARD_Q2469230,0.117501066676145,KENILWORTH_Q2600597,0.9676346182823181
26,THE_THORN_IN_THE_FLESH_noWikiID,0.0477757206414661,ALMAYER'S_FOLLY_Q2404359,0.7948912382125854
