,Year,Review,mean,std
0,-50,0,0.6383562104336473,0.1232719109943998
1,-50,1,0.6737546949787024,0.10889637172563972
2,-49,0,0.6400046741290061,0.12219179809421289
3,-49,1,0.6766956941405474,0.10862156391358917
4,-48,0,0.6415058483491741,0.12403522642210865
5,-48,1,0.6771514432900118,0.11125431452152515
6,-47,0,0.6429249925519392,0.12326379251089313
7,-47,1,0.6791780169459457,0.11350373213256171
8,-46,0,0.6444719517357961,0.12399808957723904
9,-46,1,0.6806804083837374,0.11299529751706198
10,-45,0,0.6481309897600253,0.12402081236235755
11,-45,1,0.6822791590416198,0.11119953256832946
12,-44,0,0.651368413098302,0.12501854380222543
13,-44,1,0.6844190694847297,0.11208038646779131
14,-43,0,0.6543826307064943,0.12741822141975692
15,-43,1,0.685715630114096,0.11116490200498712
16,-42,0,0.6574355171899771,0.1260598265951932
17,-42,1,0.6899449876464264,0.1106275522392198
18,-41,0,0.6612125830513542,0.12330704019846984
19,-41,1,0.6931339831819842,0.11128089204604345
20,-40,0,0.6623237727913032,0.12394601242902156
21,-40,1,0.6943575743538779,0.11156052100798827
22,-39,0,0.6643560968938169,0.12477873924686678
23,-39,1,0.6960458090056494,0.109387058504042
24,-38,0,0.6666796758713015,0.12509458180415986
25,-38,1,0.6971886855421499,0.10910393104212995
26,-37,0,0.6688346551485417,0.126515015344475
27,-37,1,0.6988054890646325,0.1087652329679548
28,-36,0,0.6706077314317214,0.12521429389468414
29,-36,1,0.7015134389856023,0.1055173355907115
30,-35,0,0.6722803880936998,0.12838498588916963
31,-35,1,0.7064929381797761,0.10358918895884844
32,-34,0,0.6722712885893481,0.12889172182023256
33,-34,1,0.7107015207593491,0.10263226800918836
34,-33,0,0.6757570273117144,0.12764107969803273
35,-33,1,0.7165298742105606,0.10248435164274539
36,-32,0,0.6762351742315265,0.12738558562360344
37,-32,1,0.7185220404723804,0.10494817536408253
38,-31,0,0.6778535964072783,0.12834723189100516
39,-31,1,0.7208269354341366,0.1050980673307879
40,-30,0,0.6801022986640538,0.12968056830119928
41,-30,1,0.7254786430307024,0.10450778599929872
42,-29,0,0.6810460126005777,0.12767356835071503
43,-29,1,0.7282107594593478,0.10576754758490435
44,-28,0,0.6830369322571592,0.12855504936168644
45,-28,1,0.7318018890336719,0.10584627183400838
46,-27,0,0.6838451905311452,0.1295007701438169
47,-27,1,0.7352957420290472,0.10696703650055335
48,-26,0,0.6882443155421333,0.12701760913276625
49,-26,1,0.7382681213205624,0.10785428416301787
50,-25,0,0.690638909245546,0.1268062159543636
51,-25,1,0.7392397372026626,0.11149778440286873
52,-24,0,0.6935774359465939,0.12700014554111014
53,-24,1,0.7393472912157851,0.11330225318059857
54,-23,0,0.6972683378480915,0.12383882059175842
55,-23,1,0.7409806979589583,0.10951107558198057
56,-22,0,0.6982607109948943,0.12343945716934956
57,-22,1,0.7434944199044162,0.10805400740784736
58,-21,0,0.7001179919348948,0.12254573067282272
59,-21,1,0.745799505245229,0.10796101548319612
60,-20,0,0.7022078428496257,0.12127469691444466
61,-20,1,0.7489538040549147,0.1076640243308282
62,-19,0,0.7012658442095273,0.1214681970034116
63,-19,1,0.7518974508903582,0.10783368721448296
64,-18,0,0.7039394215677198,0.12165430403801823
65,-18,1,0.7551636297815215,0.10791371115470642
66,-17,0,0.7052982186683886,0.12365449379478062
67,-17,1,0.7575504921889248,0.10860853714766448
68,-16,0,0.7088385987518535,0.12388466239375606
69,-16,1,0.7598603379387743,0.10827001490190456
70,-15,0,0.7146822396276508,0.1219037164795254
71,-15,1,0.7615408221592352,0.10843827944458119
72,-14,0,0.7168130470642402,0.12288045279725306
73,-14,1,0.7652913273273275,0.10661136937210647
74,-13,0,0.7215260930463454,0.11828904050509033
75,-13,1,0.7679365250064435,0.10459084988753244
76,-12,0,0.7268503310795917,0.11453765243027307
77,-12,1,0.7725465144693411,0.10320673255249961
78,-11,0,0.7287243007994695,0.11401216370537386
79,-11,1,0.7740565983514548,0.10324741658474779
80,-10,0,0.7297795075012915,0.11576776652071853
81,-10,1,0.7771907520181429,0.10188195267105807
82,-9,0,0.7317365236143449,0.11763379290045277
83,-9,1,0.7808027898981629,0.10090415779564926
84,-8,0,0.7343837382135358,0.11556871185550614
85,-8,1,0.7836229844145264,0.10025632284755484
86,-7,0,0.7382776919937922,0.11408501368009406
87,-7,1,0.7857556719474948,0.10046796380313797
88,-6,0,0.7425580357282003,0.11243403522512405
89,-6,1,0.7885795700269115,0.10063730343975212
90,-5,0,0.74704877627412,0.11057875012856008
91,-5,1,0.7911206705711163,0.10028845384824486
92,-4,0,0.7605173062828386,0.11136204342790566
93,-4,1,0.8028683552896408,0.09996933884371331
94,-3,0,0.7624360131875065,0.11016969280581679
95,-3,1,0.8049038039671569,0.10045152102086694
96,-2,0,0.762320065750282,0.11062479616191294
97,-2,1,0.8064182476372121,0.0992725177395518
98,-1,0,0.7634948220705163,0.11088151867427924
99,-1,1,0.8082915081131297,0.09849014747038339
100,0,0,0.7641253816472557,0.11155281646759971
101,0,1,0.8081418044846751,0.09848783784340527
102,1,0,0.7635202326754156,0.1121972397816273
103,1,1,0.8085263118739442,0.09746665513579963
104,2,0,0.7635383609961104,0.1123582869918279
105,2,1,0.8091862264093559,0.09817031659258608
106,3,0,0.762673240660794,0.11306071669145257
107,3,1,0.8083359352258002,0.09889720471238021
108,4,0,0.7627102471712912,0.11320312945572313
109,4,1,0.8082585152426727,0.09847159406936681
110,5,0,0.7607564118283866,0.11467387784645866
111,5,1,0.8073749699546454,0.09863770678626728
112,6,0,0.7510853750744084,0.11384958781994463
113,6,1,0.7972746537683636,0.10127222987920044
114,7,0,0.7490190531071015,0.11401579625759406
115,7,1,0.7955279616651671,0.10125416923760215
116,8,0,0.7483236397367286,0.1128858485629054
117,8,1,0.7933809067426646,0.10430426604662468
118,9,0,0.749369704897517,0.11059824835790824
119,9,1,0.7918417576691394,0.1036326774642041
120,10,0,0.7479156031026319,0.11009861575998221
121,10,1,0.7934820535791373,0.10268632318198709
122,11,0,0.7493501828088392,0.10556633677277309
123,11,1,0.7920663533162764,0.10356985060916907
124,12,0,0.7465992407055331,0.1095415569732428
125,12,1,0.7931575658623778,0.09996274894371933
126,13,0,0.7477584247407117,0.10827135785505165
127,13,1,0.7920427453624868,0.10022181746284796
128,14,0,0.748471934334102,0.10348429430134191
129,14,1,0.7914251343575766,0.10044470751466418
130,15,0,0.7437056475181834,0.10901730905386355
131,15,1,0.7923788108658669,0.09963112903563212
132,16,0,0.7431439812774058,0.10561865664200853
133,16,1,0.7926319764545171,0.09764931407570494
134,17,0,0.7449996480727102,0.1001654467855905
135,17,1,0.792284257661378,0.09870326895739213
136,18,0,0.7453030158860965,0.10009462402981614
137,18,1,0.7918667896780001,0.09884426256822336
138,19,0,0.7434514830780837,0.10130854006849346
139,19,1,0.7914605426084993,0.10090334053858518
140,20,0,0.7433765065737312,0.10048535429770097
141,20,1,0.7920668354542962,0.09841705151847709
142,21,0,0.7436088436888407,0.09965578153349862
143,21,1,0.7926750628850202,0.09857585477394372
144,22,0,0.7417648585611276,0.1010904851735269
145,22,1,0.7909637402565514,0.09788689785867913
146,23,0,0.7423093674518583,0.09847736958608154
147,23,1,0.7901943369116171,0.09703630390520715
148,24,0,0.7422278993520898,0.09917710445872996
149,24,1,0.7876750269698868,0.09758018848151563
