,Text,CanonisationScore,NearestNeighbour,SimilarityScore
0,AURORA_FLOYD_Q4822530,0.316181109886472,CASTLE_RICHMOND_Q5050241,0.901429275154334
1,AURORA_FLOYD_Q4822530,0.316181109886472,THE_SMALL_HOUSE_AT_ALLINGTON_Q7764868,0.8969208447064341
2,AURORA_FLOYD_Q4822530,0.316181109886472,EAST_LYNNE_Q5328900,0.8942929053734211
3,EMMA_OR_THE_UNFORTUNATE_ATTACHMENT_noWikiID,0.049863479389024,THE_EXPEDITION_OF_HUMPHRY_CLINKER_Q3203413,0.8701329579554957
4,EMMA_OR_THE_UNFORTUNATE_ATTACHMENT_noWikiID,0.049863479389024,THE_VICAR_OF_WAKEFIELD_Q1196205,0.8178580747556082
5,EMMA_OR_THE_UNFORTUNATE_ATTACHMENT_noWikiID,0.049863479389024,THE_MEMOIRS_OF_MISS_SIDNEY_BIDULPH_Q124661412,0.8169354013721877
6,THE_COUNTRY_OF_THE_BLIND_Q823691,0.154263355437284,TALES_OF_UNREST_noWikiID,0.7787547528193441
7,THE_COUNTRY_OF_THE_BLIND_Q823691,0.154263355437284,LORD_JIM_Q727408,0.7533216085223777
8,THE_COUNTRY_OF_THE_BLIND_Q823691,0.154263355437284,LILITH_noWikiID,0.7455742307077168
9,THE_ADVENTURES_OF_PEREGRINE_PICKLE_Q7712607,0.0520374856859669,THE_ADVENTURES_OF_RODERICK_RANDOM_Q7712626,0.9431739762216083
10,THE_ADVENTURES_OF_PEREGRINE_PICKLE_Q7712607,0.0520374856859669,"THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING_Q248096",0.9399231748194367
11,THE_ADVENTURES_OF_PEREGRINE_PICKLE_Q7712607,0.0520374856859669,CLARISSA_Q980534,0.9041227373038162
12,HARD_CASH_(NOVEL)_Q30314349,0.0566567958260902,GREAT_EXPECTATIONS_Q219552,0.9104513983722072
13,HARD_CASH_(NOVEL)_Q30314349,0.0566567958260902,NO_NAME_(NOVEL)_Q7044605,0.9053692359322906
14,HARD_CASH_(NOVEL)_Q30314349,0.0566567958260902,LADY_AUDLEY'S_SECRET_Q2738351,0.9026822031653563
15,THE_ADVENTURES_OF_HAJJI_BABA_noWikiID,0.049863479389024,VALPERGA_noWikiID,0.8736206579288808
16,THE_ADVENTURES_OF_HAJJI_BABA_noWikiID,0.049863479389024,QUENTIN_DURWARD_Q2469230,0.8556751808906787
17,THE_ADVENTURES_OF_HAJJI_BABA_noWikiID,0.049863479389024,SAINT_RONAN'S_WELL_Q3232270,0.8556516352747872
18,THE_MYSTERY_OF_A_HANSOM_CAB_noWikiID,0.0477757206414661,PHILISTIA_noWikiID,0.7761398517442367
19,THE_MYSTERY_OF_A_HANSOM_CAB_noWikiID,0.0477757206414661,THE_MUMMER'S_WIFE_Q42186018,0.7720694242329451
20,THE_MYSTERY_OF_A_HANSOM_CAB_noWikiID,0.0477757206414661,THE_LANDLEAGUERS_noWikiID,0.7604365240177834
21,A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792,0.185923994154683,THE_LIFE_AND_OPINIONS_OF_TRISTRAM_SHANDY_GENTLEMAN_Q1164083,0.8000371712771631
22,A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792,0.185923994154683,THE_VICAR_OF_WAKEFIELD_Q1196205,0.7816873647778546
23,A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY_Q768792,0.185923994154683,LIFE_AND_ADVENTURES_OF_PETER_WILKINS_noWikiID,0.7582617215404892
24,JACK_SHEPPARD_noWikiID,0.049863479389024,OLIVER_TWIST_Q164974,0.9417573034630069
25,JACK_SHEPPARD_noWikiID,0.049863479389024,THE_PICKWICK_PAPERS_Q460583,0.8938753762498495
26,JACK_SHEPPARD_noWikiID,0.049863479389024,THE_VICAR_OF_WREXHILL_noWikiID,0.8901104782993458
27,YEAST_noWikiID,0.117501066676145,SUSPIRIA_DE_PROFUNDIS_Q3978307,0.840452392478144
28,YEAST_noWikiID,0.117501066676145,THE_STRING_OF_PEARLS_Q7767037,0.8256460538948108
29,YEAST_noWikiID,0.117501066676145,VARNEY_THE_VAMPIRE_Q1987925,0.823480139274259
30,THE_ADVENTURES_OF_ANTHONY_VARNISH_noWikiID,0.049863479389024,THE_HISTORY_OF_SANDFORD_AND_MERTON_Q7739806,0.8671103506107626
31,THE_ADVENTURES_OF_ANTHONY_VARNISH_noWikiID,0.049863479389024,CECILIA_Q3233990,0.8099470383887244
32,THE_ADVENTURES_OF_ANTHONY_VARNISH_noWikiID,0.049863479389024,THE_EXPEDITION_OF_HUMPHRY_CLINKER_Q3203413,0.7921838421897327
33,THE_HISTORY_OF_SIR_CHARLES_GRANDISON_Q3521260,0.117501066676145,THE_HISTORY_OF_MISS_BETSY_THOUGHTLESS_noWikiID,0.9391321669527023
34,THE_HISTORY_OF_SIR_CHARLES_GRANDISON_Q3521260,0.117501066676145,CLARISSA_Q980534,0.9223467697573984
35,THE_HISTORY_OF_SIR_CHARLES_GRANDISON_Q3521260,0.117501066676145,THE_FEMALE_QUIXOTE_Q1404172,0.9081894578096692
36,SANDITON_Q3180417,0.323070787610778,EMMA_(NOVEL)_Q223880,0.830953910065341
37,SANDITON_Q3180417,0.323070787610778,SENSE_AND_SENSIBILITY_Q274744,0.8050061082296504
38,SANDITON_Q3180417,0.323070787610778,PRIDE_AND_PREJUDICE_Q170583,0.8009194448715083
39,THE_HEIR_OF_REDCLYFFE_Q7739314,0.0591085593605752,THE_TENANT_OF_WILDFELL_HALL_Q44701,0.9136594360018546
40,THE_HEIR_OF_REDCLYFFE_Q7739314,0.0591085593605752,DAVID_COPPERFIELD_Q189811,0.9015090985789295
41,THE_HEIR_OF_REDCLYFFE_Q7739314,0.0591085593605752,BASIL_noWikiID,0.8908096656685514
42,THE_GREAT_TABOO_noWikiID,0.0477757206414661,THE_TRUMPET_noWikiID,0.8700178246280585
43,THE_GREAT_TABOO_noWikiID,0.0477757206414661,ALLAN_QUATERMAIN_(NOVEL)_Q4062545,0.8202594954640794
44,THE_GREAT_TABOO_noWikiID,0.0477757206414661,MICAH_CLARKE_Q3050442,0.8117017073140516
45,EMMA_(NOVEL)_Q223880,0.677911265542429,PRIDE_AND_PREJUDICE_Q170583,0.9440459505875118
46,EMMA_(NOVEL)_Q223880,0.677911265542429,MANSFIELD_PARK_Q469690,0.9305992190278543
47,EMMA_(NOVEL)_Q223880,0.677911265542429,SENSE_AND_SENSIBILITY_Q274744,0.9222247512691915
48,"THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING_Q248096",0.417024677521532,THE_ADVENTURES_OF_RODERICK_RANDOM_Q7712626,0.9464140243683594
49,"THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING_Q248096",0.417024677521532,CLARISSA_Q980534,0.9299287295848467
50,"THE_HISTORY_OF_TOM_JONES,_A_FOUNDLING_Q248096",0.417024677521532,THE_ADVENTURES_OF_DAVID_SIMPLE_noWikiID,0.8718259511616369
51,AMY_FOSTER_Q4749187,0.11291791638611,LIFE'S_LITTLE_IRONIES_noWikiID,0.7569638221221198
52,AMY_FOSTER_Q4749187,0.11291791638611,THE_WELL-BELOVED_Q2906193,0.7292403656423527
53,AMY_FOSTER_Q4749187,0.11291791638611,THE_SEAFARER_noWikiID,0.7249523999465602
54,THE_NEW_MAGDALEN_noWikiID,0.117501066676145,MAN_AND_WIFE_(NOVEL)_Q16386863,0.8744004273126532
55,THE_NEW_MAGDALEN_noWikiID,0.117501066676145,THE_EUSTACE_DIAMONDS_Q7732627,0.8662574926460871
56,THE_NEW_MAGDALEN_noWikiID,0.117501066676145,MIDDLEMARCH_Q313129,0.8469888938957782
57,HARD_TIMES_(NOVEL)_Q1340493,0.706633180000831,DAVID_COPPERFIELD_Q189811,0.9160112833518333
58,HARD_TIMES_(NOVEL)_Q1340493,0.706633180000831,BLEAK_HOUSE_Q883305,0.90111044787798
59,HARD_TIMES_(NOVEL)_Q1340493,0.706633180000831,RUTH_Q80038,0.8940007752548987
60,ODOUR_OF_CHRYSANTHEMUMS_Q7078330,0.049863479389024,ACTIONS_AND_REACTIONS_noWikiID,0.7322125365267146
61,ODOUR_OF_CHRYSANTHEMUMS_Q7078330,0.049863479389024,FIVE_CHILDREN_AND_IT_noWikiID,0.708585797673064
62,ODOUR_OF_CHRYSANTHEMUMS_Q7078330,0.049863479389024,THE_GENTLEMAN_noWikiID,0.6961100075047123
63,BROKEN_TO_HARNESS_noWikiID,0.049863479389024,AURORA_FLOYD_Q4822530,0.9004962966394024
64,BROKEN_TO_HARNESS_noWikiID,0.049863479389024,DOCTOR_THORNE_noWikiID,0.8755780934657381
65,BROKEN_TO_HARNESS_noWikiID,0.049863479389024,CASTLE_RICHMOND_Q5050241,0.8708584262123148
66,SYLVIE_AND_BRUNO_Q1632505,0.11291791638611,THE_PRINCESS_CASAMASSIMA_Q3211932,0.8293027375109426
67,SYLVIE_AND_BRUNO_Q1632505,0.11291791638611,ROBERT_ELSMERE_Q7344052,0.8130542524675223
68,SYLVIE_AND_BRUNO_Q1632505,0.11291791638611,THE_MUMMER'S_WIFE_Q42186018,0.8122897459647247
69,VATHEK_Q54548,0.353247063375283,THE_HISTORY_OF_SANDFORD_AND_MERTON_Q7739806,0.7007971464480568
70,VATHEK_Q54548,0.353247063375283,CECILIA_Q3233990,0.6861411460260881
71,VATHEK_Q54548,0.353247063375283,EMMA_OR_THE_UNFORTUNATE_ATTACHMENT_noWikiID,0.6497955994191786
72,CELESTINA_Q583705,0.11291791638611,EMMELINE_Q5373421,0.9338266532014855
73,CELESTINA_Q583705,0.11291791638611,CECILIA_Q3233990,0.8808926469218934
74,CELESTINA_Q583705,0.11291791638611,A_SICILIAN_ROMANCE_Q979649,0.8485261653949387
75,CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER_Q1610128,0.353247063375283,MELMOTH_THE_WANDERER_Q1475956,0.8292094955475725
76,CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER_Q1610128,0.353247063375283,FRANKENSTEIN_Q150827,0.8266004253730814
77,CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER_Q1610128,0.353247063375283,THE_VAMPYRE_Q509070,0.7820079394262608
78,THE_WIND_IN_THE_WILLOWS_Q936276,0.384640372733741,THE_FOOD_OF_THE_GODS_AND_HOW_IT_CAME_TO_EARTH_Q1215802,0.7948296747827154
79,THE_WIND_IN_THE_WILLOWS_Q936276,0.384640372733741,LORD_JIM_Q727408,0.7784681276499262
80,THE_WIND_IN_THE_WILLOWS_Q936276,0.384640372733741,TWO_LITTLE_SAVAGES_noWikiID,0.7777167974621977
81,THE_OLD_MANOR_HOUSE_Q96409526,0.160221548263055,CELESTINA_Q583705,0.9250674873764749
82,THE_OLD_MANOR_HOUSE_Q96409526,0.160221548263055,ANNA_ST_IVES_noWikiID,0.8988570732854274
83,THE_OLD_MANOR_HOUSE_Q96409526,0.160221548263055,A_SIMPLE_STORY_Q4659531,0.895016900460545
84,THE_PICTURE_OF_DORIAN_GRAY_Q82464,0.605736576985184,A_MERE_ACCIDENT_noWikiID,0.8829939395579011
85,THE_PICTURE_OF_DORIAN_GRAY_Q82464,0.605736576985184,ROBERT_ELSMERE_Q7344052,0.8767985386119583
86,THE_PICTURE_OF_DORIAN_GRAY_Q82464,0.605736576985184,A_ROMANCE_OF_TWO_WORLDS_Q4659270,0.840415989729831
87,NEW_ARABIAN_NIGHTS_noWikiID,0.11291791638611,SUNRISE_noWikiID,0.8643963835837619
88,NEW_ARABIAN_NIGHTS_noWikiID,0.11291791638611,THE_PURCELL_PAPERS_Q7758781,0.835994591483336
89,NEW_ARABIAN_NIGHTS_noWikiID,0.11291791638611,JEZEBEL'S_DAUGHTER_noWikiID,0.832263142304476
90,THE_PORTRAIT_OF_A_LADY_Q861017,0.30372380755444,A_LAODICEAN_Q2105252,0.9150528573131405
