,Year,Circulating Library,mean,std
0,-50,0,0.6240527232549167,0.13204842637393205
1,-50,1,0.6676149322752123,0.10898606642045652
2,-49,0,0.6262736223313974,0.13116054456284
3,-49,1,0.6698236616298903,0.10845878734630582
4,-48,0,0.6286313808189876,0.13137332227078807
5,-48,1,0.6702592325125987,0.11183003200018934
6,-47,0,0.6303833336907554,0.131071046032077
7,-47,1,0.6719120672975826,0.11281127935201825
8,-46,0,0.6313771974282368,0.13172955704780143
9,-46,1,0.6736872528262176,0.11269666967275395
10,-45,0,0.6367870277203195,0.13004530321667426
11,-45,1,0.6752171520637775,0.11269230685210042
12,-44,0,0.6402384996707126,0.13014380028157563
13,-44,1,0.6776539044652143,0.1140875379397164
14,-43,0,0.6416814230036072,0.1318399344217744
15,-43,1,0.6802997939927368,0.11450083714967961
16,-42,0,0.6437175724510678,0.130597017300906
17,-42,1,0.6845763549501616,0.11345460124125024
18,-41,0,0.6471966701771112,0.12895062941287758
19,-41,1,0.6881473564035337,0.11214086335527498
20,-40,0,0.647556336711699,0.13011026610883544
21,-40,1,0.6896808583291764,0.11215061869048394
22,-39,0,0.6500399722448708,0.13024613665809517
23,-39,1,0.6912828275638909,0.11154198726235208
24,-38,0,0.6512343409586285,0.13128478242115962
25,-38,1,0.6933870728012761,0.11085897397634785
26,-37,0,0.6514264250529574,0.13283941303131022
27,-37,1,0.6961500434930139,0.11071877960321659
28,-36,0,0.6537014537296661,0.13251843603171554
29,-36,1,0.6984313615505078,0.1076171232642084
30,-35,0,0.6547663155531142,0.137654772505565
31,-35,1,0.7025532857521071,0.10637858714897959
32,-34,0,0.6552229384449426,0.13814813192800882
33,-34,1,0.7051457224010652,0.10609200080412388
34,-33,0,0.6600179162208388,0.1356418090465646
35,-33,1,0.7095058325566967,0.10666761715043677
36,-32,0,0.6594880122296126,0.13684581688531014
37,-32,1,0.7115158560336303,0.1069595319445716
38,-31,0,0.6612607045432901,0.13771554341650274
39,-31,1,0.7134946491280857,0.10752910653136041
40,-30,0,0.6645401477413807,0.13744035542347516
41,-30,1,0.7167789100151555,0.10903883942619083
42,-29,0,0.6649443171212625,0.1348540316151978
43,-29,1,0.7191320698738747,0.10934695434618491
44,-28,0,0.6652553559783514,0.13998245454692165
45,-28,1,0.7229693157391193,0.10676059538936189
46,-27,0,0.6694223145967658,0.140299626232771
47,-27,1,0.7238883623736928,0.10919675408320695
48,-26,0,0.6736921162361125,0.13647625987116024
49,-26,1,0.7274694680087397,0.10948503433270901
50,-25,0,0.6759870848552975,0.1386434874218314
51,-25,1,0.7290343169203845,0.11011189206990221
52,-24,0,0.6771144892178077,0.1378536915935073
