wikiname;variations;author;author_firstname;wikiID;freq;repo_title;repoID;pub_year;genre;text_source
KUSS_VON_SENTZE;['KuÃŸ von Sentze'];Stifter;Adalbert;noWikiID;1;Der KuÃŸ von Sentze;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Stifter_Adalbert_Der_KuÃŸ_von_Sentze.xml;1866;narration;textgrid
L'ADULTERA;"[""L'Adultera""]";Fontane;Theodor;Q1744488;13;;../../fontane/adultera/adultera.html;1882;(['social novel'], ['novel']);Gutenberg-DE
L'ARRABIATA;"[""L'Arrabiata""]";Heyse;Paul;noWikiID;2;L'Arrabbiata;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Heyse_Paul_LArrabbiata.xml;1855;;textgrid
LEBEN_DER_SCHWEDISCHEN_GRAEFIN_VON_G;['Leben der schwedischen GrÃ¤fin von G'];Gellert;Christian Fürchtegott;noWikiID;9;Das Leben der schwedischen GrÃ¤fin von G...;http://www.zeno.org/Literatur/M/Gellert,+Christian+Fürchtegott/Roman/Das+Leben+der+schwedischen+Gräfin+von+G...;1747;novel;zeno
LEBEN_DES_QUINTUS_FIXLEIN;['Leben des Quintus Fixlein'];Paul;Jean;Q1810877;1;Leben des Quintus  Fixlein;../../jeanpaul/fixlein/fixlein.html;1796;prose idylle;Gutenberg-DE
LEBEN_DES_VERGNUEGTEN_SCHULMEISTERLEIN_MARIA_WUTZ_IN_AUENTHAL;['Maria Wutz in Auenthal'];Paul;Jean;Q1810880;2;;http://www.zeno.org/Literatur/M/Jean+Paul/Romane+und+Erz%C3%A4hlungen/Die+unsichtbare+Loge/Zweiter+Teil/Leben+des+vergn%C3%BCgten+Schulmeisterlein+Maria+Wutz+in+Auenthal;1790;narrative;zeno
LEBEN_UND_TATEN_DES_BERUEHMTEN_RITTERS_SCHNAPPHAHNSKI;['Leben und Thaten des berÃ¼hmten Ritters Schnapphahnski', 'Leben und Taten des berÃ¼hmten Ritters Schnapphanski'];Weerth;Georg;Q15825464;4;Leben und Taten des  berÃ¼hmten Ritters Schnapphahnski;../../weerth/schnapph/schnapph.html;1848;novel;Gutenberg-DE
LEBENS-ANSICHTEN_DES_KATERS_MURR;['Kater Murr', 'Lebens-Ansichten des Katers Murr'];Hoffmann;E. T. A;Q1314475;11;Lebensansichten des Katers Murr;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Hoffmann_E._T._A._Lebensansichten_des_Katers_Murr.xml;1820;(['fantasy'], ['novel']);textgrid
LEBENSGESCHICHTE_UND_NATUERLICHE_ABENTHEUER_DES_ARMEN_MANNES_IN_TOCKENBURG;['Lebensgeschichte und natÃ¼rliche Abentheuer des armen Mannes in Tockenburg'];Bräker;Ulrich;noWikiID;1;Lebensgeschichte und  NatÃ¼rliche Ebentheuer des Armen Mannes im Tockenburg;../../braeker/tocken/tocken.html;1789;;Gutenberg-DE
LEDWINA;['Ledwina'];Droste_Hülshoff;Annette von;noWikiID;1;Ledwina;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Droste_HÃ¼lshoff_Annette_von_Ledwina.xml;1826;novella;textgrid
LEIB_WEIHNACHTSKUCHEN_UND_SEIN_KIND;['Leib Weihnachtskuchen und sein Kind'];Franzos;Karl Emil;noWikiID;1;Leib Weihnachtskuchen und sein Kind;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Franzos_Karl_Emil_Leib_Weihnachtskuchen_und_sein_Kind.xml;1896;narrative;textgrid
LEIDEN_UND_FREUDEN_EINES_SCHULMEISTERS;['Leiden und Freuden eines Schulmeisters'];Gotthelf;Jeremias;noWikiID;1;Leiden und Freuden  eines Schulmeisters - Erster Teil;../../gotthelf/schulmei/schulmei.html;1838;;Gutenberg-DE
LENZ_(BUECHNER);['Lenz'];Büchner;Georg;Q353180;47;Lenz;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/BÃ¼chner_Georg_Lenz.xml;1839;([], ['ErzÃ¤hlung']);textgrid
LEUTNANT_GUSTL;['Lieutnant Gustl', 'Leutnant Gustl', 'Lieutenant Gustl'];Schnitzler;Arthur;Q1821658;13;Leutnant Gustl;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schnitzler_Arthur_Leutnant_Gustl.xml;1900;([], ['novella']);textgrid
LIBERTAS_UND_IHRE_FREIER;['Libertas und ihre Freier'];Eichendorff;Joseph von;noWikiID;3;Libertas und ihre  Freier;../../Eichendorff/libertas/libertas.html;1848;;Gutenberg-DE
LICHTENSTEIN;['Lichtenstein'];Hauff;Wilhelm;noWikiID;2;Lichtenstein;C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Hauff_Wilhelm_Lichtenstein.xml;1826;;textgrid
LIEBESZAUBER;['Liebeszauber'];Tieck;Ludwig;noWikiID;2;Liebeszauber;../../tieck/liebzaub/liebzaub.html;1812;narrative;Gutenberg-DE
LIED_DER_PARZEN;['Lied der Parzen'];Schirokauer;Alfred;noWikiID;1;Das Lied der Parzen;../../schiroka/parzen/parzen.html;1912;novel;Gutenberg-DE
