;wikiname;0
0;DIE_LEIDEN_DES_JUNGEN_WERTHERS;21
1;WILHELM_MEISTERS_LEHRJAHRE;19
2;ANTON_REISER;7
3;USONG;3
4;DIE_BRAUTNACHT;2
5;FELICITAS;2
6;DIE_ABDERITEN;3
7;DER_MAJOR;2
8;GESCHICHTE_DES_AGATHON;9
9;AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT;11
10;AUSWAHL_AUS_DES_TEUFELS_PAPIEREN;3
11;GEHEIME_GESCHICHTE_DES_PHILOSOPHEN_PEREGRINUS_PROTEUS;2
12;HERR_LORENZ_STARK;2
13;ASIATISCHE_BANISE;1
14;SCHELMUFFSKY;2
15;DIE_FAMILIE_SELDORF;3
16;DER_AMTMANN_VON_HOHENWEILER;1
17;MARIA;6
18;GRANDISON_DER_ZWEYTE;1
19;DER_GOLDNE_SPIEGEL;3
20;DER_REDLICHE_MANN_AM_HOFE;4
21;BELPHEGOR;4
22;DAS_LEBEN_UND_DIE_MEINUNGEN_DES_HERRN_MAGISTER_SEBALDUS_NOTHANKER;2
23;HEINRICH_VON_OFTERDINGEN;10
24;HERRMANN_UND_ULRIKE;4
25;SOLL_UND_HABEN_(ROMAN);6
26;HASTENBECK;1
27;DER_STECHLIN_(ROMAN);4
28;ANGELA_BORGIA;4
29;DER_SCHIMMELREITER;7
30;MARTIN_SALANDER;3
31;DER_NACHSOMMER;7
32;BUNTE_STEINE;7
33;DAS_AMULETT;4
34;DIE_LEUTE_VON_SELDWYLA;6
35;IMMENSEE;3
36;VOR_DEM_STURM_(ROMAN);3
37;DIE_CHRONIK_DER_SPERLINGSGASSE;4
38;DIE_JUDENBUCHE;7
39;DIE_POGGENPUHLS;2
40;FRAU_JENNY_TREIBEL;5
41;DER_HUNGERPASTOR;5
42;DIE_AKTEN_DES_VOGELSANGS;5
43;STINE_(FONTANE);1
44;QUITT_(FONTANE);3
45;UNTERM_BIRNBAUM;3
46;DIE_RICHTERIN_(NOVELLE);2
47;DER_POJAZ;1
48;AUCH_EINER;2
49;EFFI_BRIEST;7
50;DIE_RITTER_VOM_GEISTE;6
51;FREIGEBOREN;1
52;KLEIDER_MACHEN_LEUTE;2
53;DAS_GEMEINDEKIND;2
54;DIE_FREIHERREN_VON_GEMPERLEIN;1
55;DER_STERNSTEINHOF;2
56;SCHACH_VON_WUTHENOW;3
57;UNWIEDERBRINGLICH;2
58;EIN_KAMPF_UM_ROM;5
59;ABU_TELFAN;4
60;STURMFLUT;2
61;ISEGRIMM;1
62;DIE_AHNEN;3
63;STOPFKUCHEN;4
