;wikiname;0
168;THE_HISTORY_OF_LITTLE_GOODY_TWO-SHOES;4
169;THE_HISTORY_OF_SANDFORD_AND_MERTON;3
170;LIFE_AND_PERAMBULATIONS_OF_A_MOUSE;2
171;ADVENTURES_OF_A_PINCUSHION;1
172;EVENINGS_AT_HOME;5
173;TALES_FROM_SHAKESPEARE;6
174;THE_KING_AND_QUEEN_OF_HEARTS;1
175;CONFESSIONS_OF_AN_ENGLISH_OPIUM-EATER;3
176;VATHEK;6
177;EMMA_(NOVEL);10
178;LITTLE_DORRIT;8
179;MARTIN_CHUZZLEWIT;7
180;SKETCHES_BY_BOZ;4
181;OUR_MUTUAL_FRIEND;8
182;THE_OLD_CURIOSITY_SHOP;7
183;THE_FROZEN_DEEP;2
184;DAVID_COPPERFIELD;6
185;ADAM_BEDE;8
186;THE_MILL_ON_THE_FLOSS;6
187;SCENES_OF_CLERICAL_LIFE;4
188;NEW_GRUB_STREET;7
189;FELIX_HOLT_THE_RADICAL;5
190;THE_TENANT_OF_WILDFELL_HALL;6
191;AGNES_GREY;5
192;SHIRLEY_(NOVEL);5
193;HARD_TIMES_(NOVEL);6
194;MARY_BARTON;8
195;THE_WOODLANDERS;2
196;VRIL;4
197;THE_WATER-BABIES_A_FAIRY_TALE_FOR_A_LAND_BABY;5
198;THE_WAY_OF_ALL_FLESH;6
199;EREWHON;4
200;DANIEL_DERONDA;8
201;HEART_AND_SCIENCE;3
202;THE_HAUNTED_MAN_AND_THE_GHOST'S_BARGAIN;4
203;TWO_ON_A_TOWER;1
204;DOMBEY_AND_SON;6
205;THE_PARASITE;2
206;MAZEPPA;1
207;UNDER_THE_GREENWOOD_TREE;2
208;JUDE_THE_OBSCURE;9
209;THE_RETURN_OF_THE_NATIVE;5
210;FAR_FROM_THE_MADDING_CROWD;3
211;A_PAIR_OF_BLUE_EYES;5
212;THE_UNTILLED_FIELD;3
213;A_DRAMA_IN_MUSLIN;4
214;THE_AMERICAN;1
215;THE_CHANGELING;1
216;THE_TRUMPET;1
217;WHAT_MAISIE_KNEW;4
218;NOUGHTS_&_CROSSES;1
219;THE_INHERITORS_(CONRAD_AND_FORD_NOVEL);2
220;LOVE_AMONG_THE_RUINS;2
221;THE_SLEEPER_AWAKES;4
222;THE_BATTLE_OF_DORKING;3
223;"AFTER_LONDON;_OR,_WILD_ENGLAND";1
224;HEADLONG_HALL;2
225;ADELINE_MOWBRAY;3
226;OUR_VILLAGE;8
227;THE_TALISMAN_(SCOTT_NOVEL);1
228;THE_SCOTTISH_CHIEFS;3
229;LIBER_AMORIS;1
230;NIGHTMARE_ABBEY;4
231;THE_ADVENTURES_OF_HAJJI_BABA;1
232;VIVIAN_GREY;1
233;TALES_OF_FASHIONABLE_LIFE;3
234;POPULAR_TALES;3
235;MORAL_TALES;3
236;PATRONAGE_(NOVEL);2
237;THE_FATHER_AND_DAUGHTER;3
238;NATURE_AND_ART;3
