wikiname;variations;author;author_firstname;wikiID;freq;repoID;pub_year;genre;text_source
A_SENTIMENTAL_JOURNEY_THROUGH_FRANCE_AND_ITALY;['A Sentimental Journey', 'Sentimental Journey', 'A Sentimental Journey through France and Italy', 'A Sentimental Journey through France and Italy, By', 'A Sentimental Journey through France and Italy by Mr. Yorick'];Sterne;Laurence;Q768792;14;804;1768;(['imaginary voyage'], ['novel']);Gutenberg-US
A_SICILIAN_ROMANCE;['A Sicilian Romance'];Radcliffe;Ann;Q979649;10;7371;1790;(['Gothic fiction'], ['novel']);Gutenberg-US
A_SIMPLE_STORY;['A Simple Story', 'A Simple Story'];Inchbald;Elizabeth;Q4659531;8;22002;1791;([], ['novel']);Gutenberg-US
A_SON_OF_THE_SOIL;['A Son of the Soil'];Oliphant;Margaret;Q106040512;2;57988;1865;([], ['novel']);Gutenberg-US
A_SPORTSMAN'S_SKETCHES;"[""A Sportsman's Sketches""]";Trollope;Anthony;noWikiID;1;814;1865;collection of stories;Gutenberg-US
A_STORY_OF_THE_STONE_AGE;['A Story of the Stone Age'];Wells;H. G.;Q4659835;1;27365;1899;(['prehistoric fiction'], ['short story']);Gutenberg-US
A_STUDY_IN_SCARLET;['A Study in Scarlet', 'The Study in Scarlet'];Doyle;Arthur Conan;Q223131;8;244;1887;(['detective fiction', 'mystery fiction', 'crime fiction'], ['novel']);Gutenberg-US
A_TALE_OF_A_TUB;['A Tale of a Tub', 'Tale of a Tub', 'A Tale of A Tub', 'A Tale of Tub'];Swift;Jonathan;Q2353123;18;4737;1704;prose satire;Gutenberg-US
A_TALE_OF_TWO_CITIES;['A Tale of Two Cities', 'Tale of Two Cities'];Dickens;Charles;Q308918;23;98;1859;(['historical fiction', 'social problem fiction'], ['novel']);Gutenberg-US
A_WINDOW_IN_THRUMS;['A Window in Thrums'];Barrie;J. M. ;noWikiID;1;20914;1889;novel;Gutenberg-US
A_WORLD_OF_GIRLS;['A World of Girls'];Meade;L.T.;noWikiID;2;25870;1886;story;Gutenberg-US
ACROSS_THE_ZODIAC;['Across the Zodiac'];Greg;Percy;Q4676516;1;10165;1880;(['science fiction'], ['novel']);Gutenberg-US
ACTIONS_AND_REACTIONS;['Actions and Reactions', 'In Actions and Reactions'];Kipling;Rudyard;noWikiID;2;2381;1909;short stories;Gutenberg-US
ADAM_BEDE;['Adam Bede'];Eliot;George;Q2611046;44;507;1859;(['historical novel'], ['novel']);Gutenberg-US
ADELA_CATHCART;['Adela Cathcart'];MacDonald;George;noWikiID;1;"8892; 8929; 8943";1864;;Gutenberg-US
ADELINE_MOWBRAY;['Adeline Mowbray', 'Adeline Mowbray, or Mother and Daughter'];Opie;Amelia;Q65083334;3;37908;1804;novel;Gutenberg-US
ADVENTURES_OF_A_PINCUSHION;['Adventures of a Pincushion'];Kilner;Mary Ann;noWikiID;1;63541;1788;children's book;Gutenberg-US
AFTER_DARK;['After Dark'];Collins;Wilkie;noWikiID;5;1626;1856;short stories;Gutenberg-US
"AFTER_LONDON;_OR,_WILD_ENGLAND";"['After London; or, Wild England']";Jefferies;Richard;noWikiID;1;13944;1885;novel;Gutenberg-US
AGNES_GREY;['Agnes Grey', 'Agnes Greyish'];Brontë;Anne;Q517172;26;767;1847;(['novel'], ['novel']);Gutenberg-US
ALEC_FORBES_OF_HOWGLEN;['Alec Forbes of Howglen'];MacDonald;George;noWikiID;1;18810;1865;;Gutenberg-US
ALICE'S_ADVENTURES_IN_WONDERLAND;"['Alice in Wonderland', ""Alice's Adventures in Wonderland"", 'Alice? Wonderland']";Carroll;Lewis;Q92640;11;https://en.wikisource.org/wiki/Alice%27s_Adventures_Under_Ground/Chapter_1;1865;"([""children's novel"", 'fairy tale', 'literary nonsense'], ['novel'])";Gutenberg-US
ALL_SORTS_AND_CONDITIONS_OF_MEN;['All Sorts and Conditions of Men'];Besant;Walter;noWikiID;3;47098;1882;novel;Gutenberg-US
ALLAN_QUATERMAIN_(NOVEL);['Allan Quatermain', 'When Allan Quatermain'];Haggard;H. Rider;Q4062545;7;711;1887;(['adventure novel'], []);Gutenberg-US
ALMAYER'S_FOLLY;"[""Almayer's Folly""]";Conrad;Joseph;Q2404359;3;720;1895;([], ['novel']);Gutenberg-US
ALTON_LOCKE;['Alton Locke'];Kingsley;Charles;Q4736895;8;8374;1850;([], ['novel']);Gutenberg-US
AMY_FOSTER;['Amy Foster'];Conrad;Joseph;Q4749187;1;495;1901;(['short story'], ['short story']);Gutenberg-US
AN_APOLOGY_FOR_THE_LIFE_OF_MRS._SHAMELA_ANDREWS;['Shamela', 'In Shamela', 'An Apology for the Life of Mrs Shamela'];Fielding;Henry;Q2743569;6;30962;1741;(['parody', 'epistolary novel'], []);Gutenberg-US
AN_IRISH_COUSIN;['An Irish Cousin', 'When An Irish Cousin'];Sommerville/Ross;Edith/Martin;noWikiID;4;"58633; 58634";1889;;Gutenberg-US
AN_OUTCAST_OF_THE_ISLANDS;['An Outcast of the Islands'];Conrad;Joseph;Q1090444;1;638;1896;(['novel'], ['novel']);Gutenberg-US
ANN_VERONICA;['Ann Veronica'];Wells;H. G.;Q1247736;10;524;1909;(['feminist novel'], []);Gutenberg-US
ANNA_ST_IVES;['Anna St. Ives', 'Anna St Ives'];Holfcroft;Thomas;noWikiID;3;9468;1792;novel;Gutenberg-US
ANNALS_OF_THE_PARISH;['Annals of the Parish', 'The Annals of the Parish'];Galt;John;Q4767877;12;1310;1821;([], ['novel']);Gutenberg-US
ANTAR;['Antar'];Hamilton;Terrick;noWikiID;1;57857;1820;novel;Gutenberg-US
ARMADALE;['Armadale'];Collins;Wilkie;Q4792516;12;1895;1864;novel;Gutenberg-US
ARTHUR_MERVYN;['Arthur Mervyn'];Brown;Arthur Mervyn;Q4799713;1;18508;1799;(['Gothic novel'], []);Gutenberg-US
AT_THE_BACK_OF_THE_NORTH_WIND;['At the Back of the North Wind'];MacDonald;George;Q1619593;6;225;1871;"(['fantasy', ""children's fiction""], ['novel'])";Gutenberg-US
AT_THE_END_OF_THE_PASSAGE;['At the End of the Passage'];Kipling;Rudyard;noWikiID;2;https://en.wikisource.org/wiki/Life%27s_Handicap/At_the_End_of_the_Passage;1890;;Wikisource
AULD_LICHT_IDYLLS;['Auld Licht Idylls'];Barrie;J. M. ;noWikiID;2;8590;1888;collection of stories;Gutenberg-US
AURORA_FLOYD;['Aurora Floyd'];Braddon;Mary Elizabeth;Q4822530;25;https://docsouth.unc.edu/imls/braddon/braddon.html;1863;([], ['novel']);https://docsouth.unc.edu
AYESHA_(NOVEL);['Ayesha'];Haggard;H. Rider;Q2604590;7;5228;1905;(['adventure novel', 'lost world fiction', 'Gothic novel'], []);Gutenberg-US
BARCHESTER_TOWERS;['Barchester Towers'];Trollope;Anthony;Q4859885;3;2432;1857;([], ['novel']);Gutenberg-US
BASIL;['Basil'];Collins;Wilkie;noWikiID;2;4605;1852;novel;Gutenberg-US
BELINDA;['Belinda'];Edgeworth;Maria;noWikiID;11;9455;1801;novel;Gutenberg-US
BLACK_BEAUTY;['Black Beauty'];Sewell;Anna;Q880092;9;271;1877;(['young adult literature'], ['novel']);Gutenberg-US
BLEAK_HOUSE;['Bleak House'];Dickens;Charles;Q883305;91;1023;1852;([], ['novel']);Gutenberg-US
BLIND_LOVE;['Blind Love'];Collins;Wilkie;noWikiID;1;7890;1889;novel;Gutenberg-US
BORN_IN_EXILE;['Born in Exile'];Gissing;George;Q4945890;1;4526;1890;novel;Gutenberg-US
BROKEN_TO_HARNESS;['Broken to Harness'];Yates;Edmund;noWikiID;2;59207;1864;prose ficiton;Gutenberg-US
CALEB_WILLIAMS;['Caleb Williams'];Godwin;William;Q7784409;32;11323;1794;novel;Gutenberg-US
CALLISTA_(NOVEL);['Callista'];Newman;John Henry;Q2934238;1;30664;1855;(['short story'], ['novel']);Gutenberg-US
CAMILLA;"['Camilla', 'Camilla, or, a Picture of Youth', 'Camilla, or a Picture of Youth', 'Camilla; or, A Picture of Youth']";Burney;Fanny;Q2934813;26;40619;1796;([], ['novel']);Gutenberg-US
CAPTAIN_SINGLETON;['Captain Singleton', 'When Captain Singleton', 'As for Captain Singleton'];Defoe;Daniel;Q1728631;3;6422;1720;(['picaresque novel', 'pirate fiction'], ['novel']);Gutenberg-US
CAPTAINS_COURAGEOUS;['Captains Courageous'];Kipling;Charles;Q1035138;1;2186;1897;(['novel'], ['novel']);Gutenberg-US
CARMILLA;['Carmilla'];Sheridan Le Fanu;Joseph;Q1043792;6;10007;1872;(['fantasy', 'lesbian literature', 'vampire fiction', 'Gothic fiction'], ['novella', 'novel']);Gutenberg-US
CARNIVAL;['Carnival'];Mackenzie;Compton;noWikiID;1;33012;1912;novel;Gutenberg-US
CARROTS;['Carrots'];Molesworth;Mary;noWikiID;1;33544;1876;children's book;Gutenberg-US
CASTLE_RACKRENT;['Castle Rackrent', 'In Castle Rackrent'];Edgeworth;Maria;Q5050238;63;1424;1800;(['political novel', 'historical fiction'], ['novel']);Gutenberg-US
CASTLE_RICHMOND;['Castle Richmond'];Trollope;Anthony;Q5050241;2;5897;1860;([], ['novel']);Gutenberg-US
CATHERINE,_A_STORY;['Catherine, A Story'];Thackeray;William Makepeace;noWikiID;1;1969;1839;novel;Gutenberg-US
CATRIONA;['Catriona'];Stevenson;Robert Louis;noWikiID;1;589;1893;novel;Gutenberg-US
