wikiname;variations;author;author_firstname;wikiID;freq;repoID;pub_year;genre;text_source
IVANHOE;['Ivanhoe', 'Ivanhoe: A Romance'];Scott;Walter;Q840974;41;82;1820;(['historical fiction'], ['novel']);Gutenberg-US
JACK_SHEPPARD;['Jack Sheppard'];Ainsworth;William Harrison;noWikiID;2;16215;1839;([], ['novel']);Gutenberg-US
JANE_EYRE;['Jane Eyre', 'Jane Eyre: An Autobiography'];Brontë;Charlotte;Q182961;134;1260;1847;(['education novel', 'autobiographical novel', 'romance novel', 'Gothic fiction'], ['novel']);Gutenberg-US
JESSICA'S_FIRST_PRAYER;"[""Jessica's First Prayer""]";Stretton;Hesba;noWikiID;6;50104;1867;children's book;Gutenberg-US
JEZEBEL'S_DAUGHTER;"[""Jezebel's Daughter""]";Collins;Wilkie;noWikiID;1;3633;1880;novel;Gutenberg-US
JOHN_BURNET_OF_BARNS;['John Burnet of Barns'];Buchan;John;noWikiID;1;40014;1898;novel;Gutenberg-US
JOHN_HALIFAX_GENTLEMAN;['John Halifax, Gentleman'];Craik;Dinah;Q6237289;5;2351;1856;([], ['novel']);Gutenberg-US
JONATHAN_WILD;['Jonathan Wild'];Fielding;Henry;noWikiID;3;5256;1743;novel;Gutenberg-US
JORROCK'S_JAUNTS_AND_JOLLITIES;"[""Jorrocks' Jaunts and Jollities""]";Surtees;Robert;noWikiID;2;15387;1838;novel;Gutenberg-US
JOSEPH_ANDREWS;['Joseph Andrews'];Fielding;Henry;Q784226;2;"9611; 9609";1742;(['comic novel'], ['novel']);Gutenberg-US
JUDE_THE_OBSCURE;['Jude the Obscure', 'Jude The Obscure'];Hardy;Thomas;Q1248773;28;153;1894;([], ['novel']);Gutenberg-US
JUST_SO_STORIES;['Just So Stories'];Kipling;Rudyard;Q1247723;2;2781;1902;children's book;Gutenberg-US
KENILWORTH;['Kenilworth'];Scott;Walter;Q2600597;2;1606;1821;(['historical novel'], []);Gutenberg-US
KIDNAPPED_(NOVEL);['Kidnapped'];Stevenson;Robert Louis;Q2349094;11;421;1886;"(['adventure novel', 'historical novel', 'fiction', ""children's literature""], ['novel'])";Gutenberg-US
KIM_(NOVEL);"['Kim', ""Kimball O'Hara""]";Kipling;Rudyard;Q589868;39;2226;1901;(['espionage novel'], []);Gutenberg-US
KING_SOLOMON'S_MINES;"[""King Solomon's Mines""]";Haggard;H. Rider;Q1137494;13;2166;1885;(['adventure novel', 'lost world fiction'], ['novel']);Gutenberg-US
KIPPS;['Kipps'];Wells;H. G.;Q1249082;7;39162;1906;(['social novel', 'comic novel'], ['novel']);Gutenberg-US
KNOCKNAGOW;['If Knocknagow', 'Knocknagow'];Kickham;Charles;noWikiID;8;https://www.exclassics.com/knockngw/knock.txt;1879;novel;Exclassics
LADY_AUDLEY'S_SECRET;"[""Lady Audley's Secret"", ""When Lady Audley's Secret"", ""Lady Audley's Secrets"", ""Lady Audley' s Secret""]";Braddon;Mary Elizabeth;Q2738351;69;8954;1862;(['sensation fiction'], []);Gutenberg-US
LEVER'S_LORD_KILGOBBIN;"[""Lever's Lord Kilgobbin""]";Lever;Charles;noWikiID;1;8941;1872;novel;Gutenberg-US
LIBER_AMORIS;['Liber Amoris'];Hazlitt;William;noWikiID;2;2049;1823;;Gutenberg-US
LIFE_AND_ADVENTURES_OF_PETER_WILKINS;['Life and Adventures of Peter Wilkins'];Paltock;Robert;noWikiID;1;51967;1763;novel;Gutenberg-US
LIFE_AND_PERAMBULATIONS_OF_A_MOUSE;['Life and Perambulations of a Mouse'];Kilner;Dorothy;noWikiID;2;1904;1784;children's book;Gutenberg-US
LIFE'S_LITTLE_IRONIES;"[""Life's Little Ironies""]";Hardy;Thomas;noWikiID;1;3047;1894;short stories;Gutenberg-US
LILITH;['Lilith'];MacDonald;George;noWikiID;3;1640;1895;novel;Gutenberg-US
LITTLE_DORRIT;['Little Dorrit', 'Little Dorritt', 'Amy Dorrit'];Dickens;Charles;Q565638;38;963;1855;([], ['novel']);Gutenberg-US
LITTLE_LORD_FAUNTLEROY;['Little Lord Fauntleroy'];Burnett;Frances Hodgson;Q387480;3;479;1885;"([""children's novel""], [])";Gutenberg-US
LONGSWORD_(NOVEL);['Longsword'];Leland;Thomas;Q104859091;3;ECCO;1762;novel;ECCO
LORD_JIM;['Lord Jim'];Conrad;Joseph;Q727408;4;5658;1900;(['psychological novel'], []);Gutenberg-US
LORNA_DOONE;['Lorna Doone'];Blackmore;R. D.;Q3400981;1;17460;1869;(['romantic fiction'], ['novel']);Gutenberg-US
LOSS_AND_GAIN;['Loss and Gain'];Newman;John Henry;Q3259809;3;24574;1848;(['philosophical novel', 'campus novel'], []);Gutenberg-US
LOST_DIARIES;['Lost Diaries'];Baring;Maurice;noWikiID;1;42542;1913;short stories;Gutenberg-US
LOVE_AMONG_THE_RUINS;['Love Among the Ruins', 'Love among the Ruins'];Deeping;Warwick;noWikiID;2;42284;1904;novel;Gutenberg-US
LOVE_AND_MADNESS;['Love and Madness'];Croft;Herbert;Q6691643;1;https://www.exclassics.com/lovemad/lovemadintro.htm;1780;([], ['novel']);Exclassics
LOVE_AND_MR_LEWISHAM;['Love and Mr Lewisham'];Wells;H. G.;Q4271834;2;11640;1900;(['novel'], ['novel']);Gutenberg-US
"LOVE_IN_EXCESS;_OR_THE_FATAL_ENQUIRY";['Love in Excess'];Haywood;Eliza;Q1588738;20;67612;1719;(['romance novel'], []);Gutenberg-US
LOVE_INTRIGUES;['Love Intrigues'];Barker;Jane;noWikiID;4;ebooks@adelaide;1713;novel;ebooks@adelaide
MADAM_HOW_AND_LADY_WHY;['Madam How and Lady Why'];Kingsley;Charles;noWikiID;1;1697;1870;children's book;Gutenberg-US
MAN_AND_WIFE_(NOVEL);['Man and Wife'];Collins;Wilkie;Q16386863;4;1586;1870;([], ['novel']);Gutenberg-US
MANSFIELD_PARK;['Mansfield Park'];Austen;Jane;Q469690;34;141;1814;(['romantic fiction'], ['novel']);Gutenberg-US
MARIA_OR_THE_WRONGS_OF_WOMAN;"['Wrongs of Woman', 'The Wrongs of Woman and', 'The Wrongs of Woman', 'The Wrongs of Woman after', 'The Wrongs of Woman, or Maria', 'Wrongs of Woman; or Maria', 'The Wrongs of Woman; or, Maria', 'The Wrongs of Woman: Or, Maria. A Fragment', 'The Wrongs of Women', 'The Wrongs of Woman; or Maria', 'Maria, or The Wrongs of Woman', 'Maria or the Wrongs of Woman']";Wollstonecraft;Mary;Q890170;32;134;1798;(['Gothic novel'], []);Gutenberg-US
MARIUS_THE_EPICUREAN;['Marius the Epicurean', 'Marius, the Epicurean'];Pater;Walter;Q5477441;8;4058;1885;(['philosophical fiction', 'historical fiction'], ['novel']);Gutenberg-US
MARRIAGE;['Marriage'];Ferrier;Susan;noWikiID;4;12669;1818;novel;Gutenberg-US
MARTIN_CHUZZLEWIT;['Martin Chuzzlewit', 'Pecksniff'];Dickens;Charles;Q1903609;12;968;1844;(['social criticism'], ['novel']);Gutenberg-US
MARY_A_FICTION;['Mary: A Fiction . Or', 'Mary, a Fiction', 'Mary: A Fiction'];Wollstonecraft;Mary;Q2900963;5;16357;1788;([], ['novel']);Gutenberg-US
MARY_BARTON;['Mary Barton', 'In Mary Barton'];Gaskell;Elizabeth;Q2607078;53;2153;1848;(['novel'], ['novel']);Gutenberg-US
MASTERMAN_READY_OR_THE_WRECK_OF_THE_PACIFIC;['Masterman Ready'];Marryat;Frederick;Q6785376;1;1412;1841;([], ['novel']);Gutenberg-US
MATHILDA;['Mathilda'];Shelley;Mary;Q3851863;1;15238;1820;novella;Gutenberg-US
MAX;['Max'];Thurston;Katherine Cecil;noWikiID;1;14054;1910;novel;Gutenberg-US
MAZEPPA;['Mazeppa'];Whishaw;Frederick;noWikiID;1;56522;1902;novel;Gutenberg-US
MELMOTH_THE_WANDERER;['Melmoth the Wanderer', 'Melmoth the Wanderer: A Tale', 'Melmoth theWanderer'];Maturin;Charles Robert;Q1475956;29;"53685; 53686; 53687; 53688";1820;(['Gothic novel'], []);Gutenberg-US
MEMOIRS_OF_A_CAVALIER;['Memoirs of a Cavalier', 'If Memoirs of a Cavalier'];Defoe;Daniel;Q6815274;6;12259;1720;(['historical fiction'], ['novel']);Gutenberg-US
MEMOIRS_OF_A_MAGDALEN;['Memoirs of a Magdalen', 'In Memoirs of a Magdalen'];Kelly;Hugh;Q6815279;3;ECCO;1767;([], ['novel']);ECCO
MEMOIRS_OF_CARWIN_THE_BILOQUIST;['Memoirs of Carwin the Biloquist'];Brown;Charles Brockden;Q6815263;1;842;1803;story fragment;Gutenberg-US
MEMOIRS_OF_EMMA_COURTNEY;['Memoirs of Emma Courtney', 'Emma', 'The Memoirs of Emma Courtney'];Hays;Mary;Q2395365;11;41256;1796;([], ['novel']);Gutenberg-US
MICAH_CLARKE;['Micah Clarke'];Doyle;Arthur Conan;Q3050442;2;9504;1889;(['historical novel'], []);Gutenberg-US
MIDDLEMARCH;['Middlemarch'];Eliot;George;Q313129;104;145;1871;(['realist novel'], ['novel']);Gutenberg-US
MILLENIUM_HALL;['Millenium Hall', 'A Description of Millenium Hall and the Country Adjacent'];Scott;Sarah;Q6858753;3;26050;1762;(['fantasy'], ['novel']);Gutenberg-US
MOLL_FLANDERS;['Moll Flanders', 'Moll Flanders Defoe'];Defoe;Daniel;Q612523;31;370;1722;(['picaresque novel'], ['novel']);Gutenberg-US
MOPSA_THE_FAIRY;['Mopsa the Fairy'];Inglow;Jean;noWikiID;1;32867;1869;story;Gutenberg-US
MORAL_TALES;['Moral Tales'];Edgeworth;Maria;noWikiID;5;8826;1802;collection of stories;Gutenberg-US
MR_MIDSHIPMAN_EASY;['Mr. Midshipman Easy'];Marryat;Frederick;Q1936382;1;6629;1836;(['adventure fiction', 'nautical fiction'], ['novel']);Gutenberg-US
MY_KALULU_PRINCE,_KING,_AND_SLAVE;['My Kalulu: Prince, King, and Slave'];Stanley;Henry M.;noWikiID;1;32923;1873;narrative;Gutenberg-US
MY_LADY_LUDLOW;['My Lady Ludlow'];Gaskell;Elizabeth;Q16387198;1;2524;1858;([], ['novel', 'novella']);Gutenberg-US
MY_NEW_CURATE;['My New Curate'];Sheehan;P. A. ;noWikiID;1;20295;1900;;Gutenberg-US
NATURE_AND_ART;['Nature and Art'];Inchbald;Elizabeth;Q48770862;4;3787;1796;([], ['novel']);Gutenberg-US
NEW_ARABIAN_NIGHTS;['New Arabian Nights'];Stevenson;Robert Louis;noWikiID;1;839;1882;collection of stories;Gutenberg-US
NEW_GRUB_STREET;['New Grub Street'];Gissing;George;noWikiID;15;1709;1891;novel;Gutenberg-US
NEWS_FROM_NOWHERE;['News from Nowhere'];Morris;William;Q7019506;11;3261;1890;(['social science fiction', 'futuristic novel', 'political novel', 'utopian novel', 'time-travel fiction'], ['novel']);Gutenberg-US
NIGHT_AND_MORNING;['Night and Morning'];Bulwer-Lytton;Edward;noWikiID;1;9750;1841;novel;Gutenberg-US
NIGHTMARE_ABBEY;['Nightmare Abbey'];Peacock;Thomas Love;Q4054406;7;9909;1818;(['Gothic novel'], []);Gutenberg-US
NO_NAME_(NOVEL);['No Name'];Collins;Wilkie;Q7044605;7;1438;1862;(['mystery fiction', 'sensation fiction'], []);Gutenberg-US
NO_THOROUGHFARE;['No Thoroughfare'];Dickens/Collins;Charles/Wilkie;Q7045074;1;1423;1867;(['novel'], ['novel']);Gutenberg-US
NORTH_AND_SOUTH_(GASKELL_NOVEL);['North and South'];Gaskell;Elizabeth;Q1853142;19;4276;1854;([], ['novel']);Gutenberg-US
NORTHANGER_ABBEY;['Northanger Abbey', 'In Northanger Abbey'];Austen;Jane;Q477508;28;121;1818;(['romantic fiction'], ['novel']);Gutenberg-US
NOSTROMO;['Nostromo'];Conrad;Joseph;Q430248;18;2021;1904;(['historical fiction'], ['novel']);Gutenberg-US
NOUGHTS_&_CROSSES;['Noughts & Crosses'];Quiller-Couch;Arthur Thomas;noWikiID;1;15865;1888;short stories;Gutenberg-US
ODD_MAN_OUT;['Odd Man Out'];Jacobs;William Wymark;noWikiID;3;10786;1909;short story;Gutenberg-US
ODOUR_OF_CHRYSANTHEMUMS;['Odour of Chrysanthemums'];Lawrence;D. H. ;Q7078330;2;22480;1911;([], ['short story']);Gutenberg-US
OLD_MORTALITY;['Old Mortality'];Scott;Walter;Q3234969;17;6941;1816;(['historical novel'], []);Gutenberg-US
OLIVER_TWIST;['Oliver Twist', 'To Oliver Twist', 'From Oliver Twist'];Dickens;Charles;Q164974;73;730;1838;([], ['novel']);Gutenberg-US
ON_THE_FACE_OF_THE_WATERS;['On the Face of the Waters'];Steel;Flora Annie;Q59151630;3;40140;1896;([], ['novel']);Gutenberg-US
ORIGINAL_STORIES_FROM_REAL_LIFE;['Original Stories from Real Life', 'Original Stories'];Wollstonecraft;Mary;Q2705647;10;64275;1791;"([""children's literature""], [])";Gutenberg-US
ORLEY_FARM_(NOVEL);['Orley Farm'];Trollope;Anthony;Q16962094;2;23000;1861;([], ['novel']);Gutenberg-US
OROONOKO;['Oroonoko: or, the Royal Slave', 'Oroonoko', 'Oroonoko, or, The Royal Slave', 'Oroonoko, or The Royal Slave', 'Oroonoko, or the History of the Royal Slave', 'Oroonoko, or the Royal Slave', 'Oroonoko: Or, The Royal Slave'];Behn;Aphra;Q2453934;55;29854;1688;(['literature'], ['novel', 'novella']);Gutenberg-US
OUR_MUTUAL_FRIEND;['Our Mutual Friend', 'Silas Wegg', 'Our Mutual Friend41'];Dickens;Charles;Q1557935;30;883;1864;([], ['novel']);Gutenberg-US
OUR_VILLAGE;['Our Village'];Mitford;Mary Russell;Q7111226;13;2496;1824;collection of stories;Gutenberg-US
OUT_ON_THE_PAMPAS;['Out on the Pampas'];Henty;George Alfred;noWikiID;1;30143;1871;novel;Gutenberg-US
PAMELA_OR_VIRTUE_REWARDED;['Pamela', 'Pamela, or Virtue Rewarded', 'Pamela, or, Virtue Rewarded'];Richardson;Samuel;Q2048624;59;6124;1740;(['epistolary novel', 'education novel'], ['novel']);Gutenberg-US
PANDORA;['Pandora'];James;Henry;noWikiID;1;2299;1909;novel;Gutenberg-US
PATRONAGE_(NOVEL);['Patronage'];Edgeworth;Maria;Q7148133;4;8937;1814;([], ['novel']);Gutenberg-US
PENDENNIS;['Pendennis', 'The History of Pendennis'];Thackeray;William Makepeace;Q7162382;6;9904;1850;(['novel'], ['novel']);Gutenberg-US
PERSUASION_(NOVEL);['Persuasion'];Austen;Jane;Q333179;14;105;1817;(['romantic fiction'], ['novel']);Gutenberg-US
PETER_AND_WENDY;['Peter Pan'];Barrie;J. M. ;Q3435337;10;16;1911;(['fantasy'], ['novel']);Gutenberg-US
PETER_THE_WHALER;['Peter the Whaler'];Kingston;William Henry Giles;noWikiID;2;21474;1851;children's book;Gutenberg-US
PETER'S_PENCE;"[""Peter's Pence""]";Jacobs;William Wymark;noWikiID;1;10788;1909;short story;Gutenberg-US
PHANTASTES;['Phantastes'];MacDonald;George;Q1616808;6;325;1858;(['fantasy'], ['novel']);Gutenberg-US
PHILISTIA;['Philistia'];Allen;Grant;noWikiID;1;6060;1884;novel;Gutenberg-US
PHINEAS_REDUX;['Phineas Redux'];Trollope;Anthony;Q7186370;3;18640;1874;([], ['novel']);Gutenberg-US
PLAIN_TALES_FROM_THE_HILLS;['Plain Tales from the Hills'];Kipling;Rudyard;Q3484772;4;1858;1888;collection of stories;Gutenberg-US
PLATTNER_STORY;"['Plattner Story""']";Wells;H. G. ;noWikiID;1;42989;1896;([], ['short story']);Gutenberg-US
POPULAR_TALES;['Popular Tales'];Edgeworth;Maria;noWikiID;4;33931;1800;collection of stories;Gutenberg-US
PRIDE_AND_PREJUDICE;['Pride and Prejudice', 'If Pride and Prejudice'];Austen;Jane;Q170583;30;1342;1813;(['novel of manners', 'satirical fiction', 'psychological fiction', 'romantic fiction'], ['novel']);Gutenberg-US
PRINCE_RICARDO_OF_PANTOUFLIA;['Prince Ricardo of Pantouflia'];Lang;Andrew;noWikiID;1;21994;1893;children's book;Gutenberg-US
PUCK_OF_POOK'S_HILL;"[""Puck of Pook's Hill""]";Kipling;Rudyard;Q4342308;2;557;1906;collection of stories;Gutenberg-US
QUENTIN_DURWARD;['Quentin Durward'];Scott;Walter;Q2469230;2;7853;1823;(['historical novel'], []);Gutenberg-US
RECOLLECTIONS_OF_A_DETECTIVE_POLICE_OFFICER;['Recollections of a Detective Police Officer'];Waters;Thomas;noWikiID;2;46462;1856;;Gutenberg-US
RECORDS_OF_A_GIRLHOOD;['Records of a Girlhood'];Kemble;Frances Ann;noWikiID;4;16478;1878;novel;Gutenberg-US
RED_POTTAGE;['In Red Pottage', 'Red Pottage'];Cholmondeley;Mary;noWikiID;4;14885;1899;novel;Gutenberg-US
REDGAUNTLET;"['Redgauntlet', ""Wandering Willie's Tale""]";Scott;Walter;Q3422871;27;2516;1824;(['historical novel'], []);Gutenberg-US
RINGAN_GILHAIZE;['Ringan Gilhaize'];Galt;John;noWikiID;9;30749;1823;novel;Gutenberg-US
ROB_ROY;['Rob Roy'];Scott;Walter;Q2156104;31;16828;1817;(['historical novel', 'Bildungsroman'], []);Gutenberg-US
ROBERT_ELSMERE;['Robert Elsmere'];Ward;Mary Augusta;Q7344052;8;8737;1888;([], ['novel']);Gutenberg-US
ROBERT_FALCONER;['Robert Falconer'];MacDonald;George;noWikiID;3;2561;1868;novel;Gutenberg-US
ROBINSON_CRUSOE;['Robinson Crusoe', 'Crusoe', 'Robison Crusoe', 'The Life and Strange Surprizing Adventures of Robinson Crusoe'];Defoe;Daniel;Q483034;79;521;1719;(['developmental novel', 'autobiography', 'robinsonade', 'adventure fiction', 'pirate fiction'], ['novel']);Gutenberg-US
ROMOLA;['Romola'];Eliot;George;Q7363279;1;24020;1862;(['historical novel'], ['novel']);Gutenberg-US
ROOKWOOD_(NOVEL);['Rookwood'];Ainsworth;William Harrison;Q7366231;2;23564;1834;(['Gothic fiction'], ['novel']);Gutenberg-US
ROXANA;['Roxana'];Defoe;Daniel;Q3825485;39;30344;1724;novel;Gutenberg-US
RUJUB_THE_JUGGLER;['Rujub the Juggler'];Henty;George Alfred;noWikiID;1;7229;1893;children's book;Gutenberg-US
RUTH;['Ruth'];Gaskell;Elizabeth;Q80038;13;4275;1853;novel;Gutenberg-US
SAINT_RONAN'S_WELL;"[""Saint Ronan's Well""]";Scott;Walter;Q3232270;1;ebooks@adelaide;1823;([], ['novel']);ebooks@adelaide
SALEM_CHAPEL;['Salem Chapel'];Oliphant;Margaret;noWikiID;5;"42013; 42044";1863;;Gutenberg-US
SANDERS_OF_THE_RIVER;['In Sanders of the River', 'Sanders of the River'];Wallace;Edgar;noWikiID;2;35545;1911;collection of stories;Gutenberg-US
SANDITON;['Sanditon'];Austen;Jane;Q3180417;5;https://gutenberg.net.au/ebooks/fr008641.html;1817;novel ;Gutenberg-AUS
SARTOR_RESARTUS;['Sartor Resartus'];Carlyle;Thomas;Q1134140;31;1051;1834;(['comic novel'], []);Gutenberg-US
SCENES_OF_CLERICAL_LIFE;['Scenes of Clerical Life', 'Amos Barton'];Eliot;George;Q6544172;11;17780;1857;(['short story'], []);Gutenberg-US
SECRESY;['Secresy'];Fenwick;Eliza;noWikiID;2;43529;1795;novel;Gutenberg-US
SELF-CONTROL_(NOVEL);['Self-Control'];Brunton;Mary;Q3478102;10;41196;1811;([], ['novel']);Gutenberg-US
SENSE_AND_SENSIBILITY;['Sense and Sensibility'];Austen;Jane;Q274744;32;161;1811;(['Bildungsroman', 'romantic fiction'], ['novel']);Gutenberg-US
SENTIMENTAL_TOMMY;['Sentimental Tommy'];Barrie;J. M. ;noWikiID;1;14961;1895;novel;Gutenberg-US
SEVEN_LITTLE_AUSTRALIANS;['Seven Little Australians'];Turner;Ethel;Q7457323;1;4731;1894;"([""children's novel""], [])";Gutenberg-US
SHE_A_HISTORY_OF_ADVENTURE;['She'];Haggard;H. Rider;Q640513;20;3155;1887;(['lost world fiction', 'adventure fiction', 'Gothic fiction', 'fantasy'], ['novel']);Gutenberg-US
SHIRLEY_(NOVEL);['Shirley'];Brontë;Charlotte;Q615175;24;30486;1849;(['social novel'], ['novel']);Gutenberg-US
SILAS_MARNER;['Silas Marner'];Eliot;George;Q638327;15;550;1861;(['novel of manners'], ['novel']);Gutenberg-US
SING_A_SONG_OF_SIXPENCE;['Sing a Song of Sixpence'];Holdsworth;Mary;noWikiID;1;40154;1892;children's book;Gutenberg-US
SIR_GIBBIE;['Sir Gibbie'];MacDonald;George;noWikiID;1;2370;1879;novel;Gutenberg-US
SIR_NIGEL;['Sir Nigel'];Doyle;Arthur Conan;Q1963997;1;2845;1906;novel;Gutenberg-US
SKETCHES_BY_BOZ;['Sketches by Boz'];Dickens;Charles;Q2609480;1;882;1833;collection of stories;Gutenberg-US
SOME_EXPERIENCES_OF_AN_IRISH_R.M.;['Some Experiences of an Irish R.M.'];Sommerville/Ross;Edith/Martin;noWikiID;1;34630;1889;;Gutenberg-US
SON_OF_MARS;['Son of Mars'];Griffith;Arthur;noWikiID;1;"57195; 57196";1880;novel;Gutenberg-US
SONS_AND_LOVERS;['Sons and Lovers'];Lawrence;D. H. ;Q80771;10;217;1913;([], ['novel']);Gutenberg-US
SPIES_OF_THE_KAISER;['Spies of the Kaiser'];Le Queux;William;noWikiID;1;33298;1909;novel;Gutenberg-US
ST_IVES;['St Ives'];Stevenson;Robert Louis;Q4675044;1;322;1897;novel;Gutenberg-US
ST_LEON;['St. Leon', 'St Leon'];Godwin;William;Q7589523;6;53707;1794;novel;Gutenberg-US
ST_MARTIN'S_EVE;"[""St Martin's Eve""]";Wood;Ellen;noWikiID;2;58582;1866;novel;Gutenberg-US
STALKY_&_CO.;['Stalky & Co.'];Kipling;Rudyard;Q4439259;3;3006;1899;(['novel'], ['novel']);Gutenberg-US
STELLA_MARIS;['Stella Maris'];Locke;William J. ;noWikiID;4;53994;1913;novel;Gutenberg-US
STORIES_OF_RED_HANRAHAN;['Stories of Red Hanrahan'];Yeats;William Butler;noWikiID;2;5793;1904;collection of stories;Gutenberg-US
SUNRISE;['Sunrise'];Black;William;noWikiID;1;17308;1880;novel;Gutenberg-US
SUSPIRIA_DE_PROFUNDIS;['Suspiria de Profundis'];De Quincey;Thomas;Q3978307;2;23788;1845;(['novel'], ['novel']);Gutenberg-US
SYBIL;['Sybil, or The Two Nations', 'Sybil, or the Two Nations', 'Sybil', 'Sybil: Or The Two Nations'];Disreali;Benjamin;Q3506752;17;3760;1845;novel;Gutenberg-US
SYLVIAS_LOVERS;"[""Sylvia's Lovers""]";Gaskell;Elizabeth;Q14566477;3;4537;1863;([], ['novel']);Gutenberg-US
SYLVIE_AND_BRUNO;['Sylvie and Bruno'];Carroll;Lewis;Q1632505;1;620;1889;(['fantasy'], ['novel']);Gutenberg-US
TALE_OF_TWO_BAD_MICE;['Tale of Two Bad Mice'];Potter;Beatrix;noWikiID;1;45264;1904;children's book;Gutenberg-US
TALES_FROM_SHAKESPEARE;['Tales from Shakespear', 'Tales from Shakespeare'];Lamb/Lamb;Charles/Mary;Q589197;6;573;1807;children's stories;Gutenberg-US
TALES_OF_FASHIONABLE_LIFE;['Tales of Fashionable Life'];Edgeworth;Maria;noWikiID;3;9414;1809;;Gutenberg-US
TALES_OF_MEAN_STREETS;['Tales of Mean Streets'];Morrison;Arthur;noWikiID;3;40569;1894;novel;Gutenberg-US
TALES_OF_UNREST;['Tales of Unrest'];Conrad;Joseph;noWikiID;6;1202;1898;short stories;Gutenberg-US
TANCRED_(NOVEL);"['Tancred', 'Tancred; or, the New Crusade']";Disreali;Benjamin;Q7682378;6;20004;1847;([], ['novel']);Gutenberg-US
TESS_OF_THE_D'URBERVILLES;"[""Tess of the D'Urbervilles"", ""Tess of the d'Urbervilles"", ""Tess of the d' Urbervilles""]";Hardy;Thomas;Q649409;32;110;1891;(['tragedy'], ['novel']);Gutenberg-US
THE_ABBOT;['The Abbot'];Scott;Walter;Q2717772;3;6407;1820;(['historical novel'], []);Gutenberg-US
THE_ABSENTEE;['The Absentee'];Edgeworth;Maria;Q7712149;24;1473;1812;(['political novel'], []);Gutenberg-US
THE_ADVENTURES_OF_A_BROWNIE;['The Adventures of a Brownie'];Craik;Dinah;noWikiID;1;30494;1874;children's book;Gutenberg-US
THE_ADVENTURES_OF_ANTHONY_VARNISH;['The Adventures of Anthony Varnish'];Johnstone;Charles;noWikiID;2;ECCO;1786;;ECCO
THE_ADVENTURES_OF_DAVID_SIMPLE;['The Adventures of David Simple'];Fielding;Sarah;noWikiID;5;pdf;1744;;PDF
THE_ADVENTURES_OF_HAJJI_BABA;['The Adventures of Hajji Baba', 'The Adventures of Hajji Baba of Ispahan'];Morier;James;noWikiID;2;21331;1824;;Gutenberg-US
THE_ADVENTURES_OF_HUGH_TREVOR;['The Adventures of Hugh Trevor'];Holcroft;Thomas;noWikiID;1;9811;1794;novel;Gutenberg-US
THE_ADVENTURES_OF_PEREGRINE_PICKLE;['Peregrine Pickle', 'In Peregrine Pickle'];Smollett;Tobias;Q7712607;3;4084;1751;([], ['novel']);Gutenberg-US
THE_ADVENTURES_OF_RIVELLA;['The Adventures of Rivella'];Manley;Delarivier;Q85806338;1;pdf;1714;novel;PDF
THE_ADVENTURES_OF_RODERICK_RANDOM;['Roderick Random'];Smollett;Tobias;Q7712626;3;4085;1748;([], ['novel']);Gutenberg-US
THE_ADVENTURES_OF_SHERLOCK_HOLMES;['Adventures of Sherlock Holmes', 'The Adventures of Sherlock Holmes'];Doyle;Arthur Conan;Q392147;9;1661;1892;(['detective fiction'], ['short story collection']);Gutenberg-US
THE_ALTAR_OF_THE_DEAD;['The Altar of the Dead'];James;Henry;Q7713242;1;642;1895;([], ['short story']);Gutenberg-US
THE_AMBASSADORS;['The Ambassadors'];James;Henry;Q650571;8;432;1903;(['novel'], ['novel']);Gutenberg-US
THE_AMERICAN;['The American'];James;Henry;Q3080503;1;177;1876;(['novel'], ['novel']);Gutenberg-US
THE_ANTI-PAMELA;"['Anti-Pamela', ""Anti-Pamela: or, Feign'd Innocence Detected, In a Series of Syrena's Adventures""]";Haywood;Eliza;Q7713932;4;https://digital.library.upenn.edu/women/haywood/pamela/pamela.html;1741;(['parody', 'epistolary novel'], []);https://digital.library.upenn.edu
THE_ANTIQUARY;['The Antiquary'];Scott;Walter;Q1157183;5;7005;1816;(['Gothic fiction', 'historical fiction'], ['novel']);Gutenberg-US
THE_ASPERN_PAPERS;['The Aspern Papers'];James;Henry;Q2362409;1;211;1888;([], ['novel', 'novella']);Gutenberg-US
THE_AUTOBIOGRAPHY_OF_MARK_RUTHERFORD;['Autobiography of Mark Rutherford', 'The Autobiography of Mark Rutherford'];Rutherford;Mark;noWikiID;2;3269;1881;fictionalised autobiography;Gutenberg-US
THE_AWKWARD_AGE;['The Awkward Age'];James;Henry;noWikiID;1;7433;1899;(['novel'], ['novel']);Gutenberg-US
THE_AYRSHIRE_LEGATEES;['The Ayrshire Legatees'];Galt;John;noWikiID;1;1384;1821;narrative;Gutenberg-US
THE_BATTLE_OF_DORKING;['The Battle of Dorking'];Powell;G. H.;Q7715857;3;65882;1871;(['polemical lampoon', 'political fiction', 'science fiction'], ['novel']);Gutenberg-US
THE_BATTLE_OF_THE_BOOKS;['The Battle of the Books', 'The Battel of the Books', 'In the Battle of the Books'];Swift;Jonathan;Q7715895;5;623;1704;(['polemical lampoon'], []);Gutenberg-US
THE_BEACH_OF_FALESA;['The Beach of FalesÃ ', 'The Beach of FalesÃ¡', 'The Beach of Falesa'];Stevenson;Robert Louis;Q7715970;8;329;1892;(['short story'], ['short story']);Gutenberg-US
THE_BEETLE_(NOVEL);['The Beetle'];Marsh;Richard;Q7716299;3;5164;1897;(['fantasy'], ['novel']);Gutenberg-US
