"","ID","canonisation_score","avg_differences","lang","wikiname","variations","author","author_firstname","wikiID","freq","repo_title","repoID","pub_year","genre","text_source"
"1","ABU_TELFAN_Q335418",0.135719851904178,0.116091381043478,"GER","ABU_TELFAN","['Abu Telfan', 'Abu- Telfan']","Raabe","Wilhelm","Q335418",14,"Abu Telfan","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Raabe_Wilhelm_Abu_Telfan.xml",1867,"novel","textgrid"
"2","AHNUNG_UND_GEGENWART_Q402329",0.740328921716904,0.107741340347826,"GER","AHNUNG_UND_GEGENWART","['Ahnung und Gegenwart']","Eichendorff","Joseph von","Q402329",29,"","../../Eichendorff/ahnung/ahnung.html",1815,"(['developmental novel'], ['novel'])","Gutenberg-DE"
"3","AMANDA_UND_EDUARD_noWikiID",0.0424309919848873,0.184773149565217,"GER","AMANDA_UND_EDUARD","['Amanda und Eduard']","Mereau","Sophie","noWikiID",11,"Amanda und Eduard","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Mereau_Sophie_Amanda_und_Eduard.xml",1803,"","textgrid"
"4","ANGELA_BORGIA_noWikiID",0.0975111340573339,0.185355390434783,"GER","ANGELA_BORGIA","['Angela Borgia']","Meyer","Conrad Ferdinand","noWikiID",9,"Angela Borgia","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Meyer_Conrad_Ferdinand_Angela_Borgia.xml",1891,"novella","textgrid"
"5","ANNA_noWikiID",0.0367536016133564,0.247774487913043,"GER","ANNA","['Anna']","Schopenhauer","Adele","noWikiID",9,"Anna","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Schopenhauer_Adele_Anna.xml",1845,"novel","textgrid"
"6","ANTON_REISER_Q593385",0.827943039612669,0.0972103153043478,"GER","ANTON_REISER","['Anton Reiser']","Moritz","Karl Philipp Moritz","Q593385",36,"","../../moritz/reiser/reiser.html",1785,"(['developmental novel', 'psychological novel'], ['novel'])","Gutenberg-DE"
"7","AQUIS_SUBMERSUS_Q623355",0.389868771519071,0.234537752869565,"GER","AQUIS_SUBMERSUS","['Aquis submersus', 'In Aquis submersus']","Storm","Theodor","Q623355",9,"Aquis Submersus","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Aquis_Submersus.xml",1878,"novella","textgrid"
"8","ASIATISCHE_BANISE_noWikiID",0.0394945910733656,0.284001087217391,"GER","ASIATISCHE_BANISE","['Asiatische Banise']","Ziegler und Kliphausen","Heinrich Anselm von","noWikiID",10,"Asiatische Banise","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Ziegler_und_Kliphausen_Heinrich_Anselm_von_Asiatische_Banise.xml",1689,"","textgrid"
"9","AUF_DEM_STAATSHOF_noWikiID",0.0741722353260478,0.218398251217391,"GER","AUF_DEM_STAATSHOF","['Auf dem Staatshof']","Storm","Theodor","noWikiID",5,"Auf dem Staatshof","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Storm_Theodor_Auf_dem_Staatshof.xml",1859,"novella","textgrid"
"10","AUS_DEM_LEBEN_EINER_FRAU_Q101323690",0.0275134422375932,0.16035371426087,"GER","AUS_DEM_LEBEN_EINER_FRAU","['Aus dem Leben einer Frau']","Aston","Louise","Q101323690",5,"Aus dem Leben einer Frau","C:/Users/Brottrager/Documents/Diss/corpora/20240714/GER/0_scraping/textgrid//20240821_individual_texts/Aston_Louise_Aus_dem_Leben_einer_Frau.xml",1847,"([], ['novel'])","textgrid"
