,ABU_TELFAN_Q335418,AHNUNG_UND_GEGENWART_Q402329,AMANDA_UND_EDUARD_noWikiID,ANGELA_BORGIA_noWikiID,ANNA_noWikiID,ANTON_REISER_Q593385,AQUIS_SUBMERSUS_Q623355,ASIATISCHE_BANISE_noWikiID,AUF_DEM_STAATSHOF_noWikiID,AUS_DEM_LEBEN_EINER_FRAU_Q101323690,AUS_DEM_LEBEN_EINES_TAUGENICHTS_Q777658,AUS_MEINEM_LEBEN._DICHTUNG_UND_WAHRHEIT_Q569377,BEATRICE_noWikiID,BELPHEGOR_noWikiID,BLUMEN_noWikiID,BUDDENBROOKS_Q326909,BUNTE_STEINE_Q1009887,DAS_AMULETT_Q1167148,DAS_LEIDEN_EINES_KNABEN_Q1169610,DAS_MARMORBILD_Q1169722,DAS_NUSS-KERNEN_noWikiID,DAS_ODFELD_Q1169997,DAS_URTEIL_(KAFKA)_Q278998,DAS_VERLORENE_LACHEN_Q1171678,DER_AUFRUHR_IN_DEN_CEVENNEN_Q1192283,DER_BLONDE_ECKBERT_Q1198407,DER_GEISTERSEHER_Q1193812,DER_GOLDNE_SPIEGEL_noWikiID,DER_HEILIGE_Q1194176,DER_HUNGERPASTOR_Q1194487,DER_NACHSOMMER_Q167320,DER_RUNENBERG_Q1196568,DER_SANDMANN_(HOFFMANN)_Q798227,DER_SCHIMMELREITER_Q895730,DER_SCHUSS_VON_DER_KANZEL_Q1196769,DER_STECHLIN_(ROMAN)_Q1197130,DER_TOD_GEORGS_noWikiID,DER_UNTERTAN_Q476349,DER_WINTERGARTEN_noWikiID,DICHTER_UND_IHRE_GESELLEN_Q1209499,DIE_ABDERITEN_Q1210777,DIE_AKTEN_DES_VOGELSANGS_Q1210969,DIE_CHRONIK_DER_SPERLINGSGASSE_Q1211874,DIE_ELIXIERE_DES_TEUFELS_Q600849,DIE_EPIGONEN_noWikiID,DIE_INNERSTE_Q1213605,DIE_JUDENBUCHE_Q1213685,DIE_LEHRLINGE_ZU_SAIS_Q1214361,DIE_LEIDEN_DES_JUNGEN_WERTHERS_Q151883,DIE_LEUTE_VON_SELDWYLA_Q936322,DIE_NIHILISTEN_noWikiID,DIE_RICHTERIN_(NOVELLE)_Q1215781,DIE_RITTER_VOM_GEISTE_noWikiID,DIE_SCHWARZE_GALEERE_noWikiID,DIE_SCHWARZE_SPINNE_(NOVELLE)_Q502598,DIE_VERSUCHUNG_DES_PESCARA_Q1217221,DIE_WAHLVERWANDTSCHAFTEN_Q951198,EFFI_BRIEST_Q1296168,EIN_BRIEF_(HOFMANNSTHAL)_Q1304342,EIN_KAMPF_UM_ROM_Q636812,EKKEHARD_noWikiID,ELISA_ODER_DAS_WEIB_WIE_ES_SEYN_SOLLTE_noWikiID,FLORENTIN_noWikiID,FRANZ_STERNBALDS_WANDERUNGEN_Q1449176,FRAU_BEATE_UND_IHR_SOHN_Q1451452,FRAU_JENNY_TREIBEL_Q351933,GABRIELE_noWikiID,GESCHICHTE_DES_AGATHON_Q1517277,GODWI_Q1533941,GRETE_MINDE_noWikiID,HANS_UND_HEINZ_KIRCH_Q1489200,HASTENBECK_noWikiID,HEINRICH_VON_OFTERDINGEN_Q58178849,HESPERUS_ODER_45_HUNDPOSTTAGE_Q1527881,IMMENSEE_noWikiID,JENNY_noWikiID,KREISLERIANA_noWikiID,LEBENS-ANSICHTEN_DES_KATERS_MURR_Q1314475,LEUTNANT_GUSTL_Q1821658,LICHTENSTEIN_noWikiID,LUCINDE_Q1873464,LYDIA_noWikiID,MALER_NOLTEN_Q1752673,MARIA_noWikiID,MARION_noWikiID,MARTIN_SALANDER_Q1904882,MEISTER_FLOH_Q837936,MEISTER_TIMPE_noWikiID,MICHAEL_KOHLHAAS_Q279676,NACHTWACHEN_Q1962904,NINON_noWikiID,PAPA_HAMLET_Q2050484,PRINZESSIN_BRAMBILLA_Q570890,QUITT_(FONTANE)_Q1589389,REITERGESCHICHTE_Q2142105,RENATE_noWikiID,SCHACH_VON_WUTHENOW_Q2229265,SCHELMUFFSKY_Q107356648,SIEBEN_LEGENDEN_Q1652394,SOLL_UND_HABEN_(ROMAN)_Q2298931,STOPFKUCHEN_Q1495045,TITAN_(JEAN_PAUL)_Q492384,UNDINE_noWikiID,UNTERHALTUNGEN_DEUTSCHER_AUSGEWANDERTEN_Q1680528,VITTORIA_ACCOROMBONA_Q1403207,VOR_DEM_STURM_(ROMAN)_Q1273542,"WALLY,_DIE_ZWEIFLERIN_noWikiID",WAS_DIE_ISAR_RAUSCHT_noWikiID,WILHELM_MEISTERS_LEHRJAHRE_Q1194031,WILHELM_MEISTERS_THEATRALISCHE_SENDUNG_Q2574172,WILHELM_MEISTERS_WANDERJAHRE_Q478344,WILLIAM_LOVELL_Q2579763,WOLDEMAR_noWikiID,ZUM_WILDEN_MANN_Q229600,ZUR_CHRONIK_VON_GRIESHUUS_noWikiID
ABU_TELFAN_Q335418,0.0,0.028156350000000052,0.29708513999999997,0.2665754,0.28140560000000003,0.07910136000000001,0.23162196000000002,0.34166807,0.12938680000000002,0.14967094000000003,0.08021580000000006,0.030888640000000023,0.04307210000000006,0.27717037,0.2745949999999999,0.02885758999999999,0.10663049999999996,0.18631255000000002,0.18588136,0.12248344,0.27448309000000004,0.007586629999999928,0.1598488,0.23427049999999994,0.027314830000000012,0.24401307000000005,0.12571845000000004,0.10958612000000001,0.20068516000000003,0.01880550999999997,0.03620099999999993,0.29205045999999996,0.10435840000000007,0.02821220000000002,0.06681460000000006,0.06298965999999995,0.23271979999999992,0.04730750000000006,0.001258199999999987,0.011940399999999962,0.10279059999999995,0.008720399999999962,0.06905919999999999,0.020149239999999957,0.08696183000000002,0.03952769999999994,0.042500300000000046,0.33898696,0.02519393000000003,0.00842063999999998,0.13736015000000001,0.34781925,0.029564399999999935,0.20106678999999994,0.24503560000000002,0.19698624999999992,0.11608869999999993,0.03293424999999994,0.41731047,0.062258530000000034,0.07531005000000002,0.268914,0.03163225999999997,0.07313029999999998,0.007941860000000078,0.03285920999999992,0.061578340000000065,0.07582230000000001,0.0029581399999999425,0.21004616999999992,0.01956010000000008,0.09303260000000002,0.1728676,0.05480525000000003,0.04952980000000007,0.07543299999999997,0.1366016000000001,0.08801570000000003,0.018275619999999937,0.11523919999999999,0.1915671,0.052612800000000015,0.0027429700000000112,0.19009425000000002,0.04922470000000001,0.015580900000000009,0.1347394999999999,0.07667460000000004,0.16722113000000005,0.09422731999999989,0.005324780000000029,0.08333559999999995,0.13908390000000004,0.007754999999999956,0.24720580000000003,0.09722814000000002,0.046390350000000025,0.36094755000000006,0.11464045,0.08722816,0.03995477999999997,0.11307685999999995,0.16042255000000005,0.19485513,0.10486879999999998,0.056030850000000076,0.2997270000000001,0.04216394000000001,0.010134659999999962,0.04951534000000002,0.00974894000000004,0.10077560000000008,0.13809753000000002,0.020039299999999982,0.2280409
AHNUNG_UND_GEGENWART_Q402329,0.028156350000000052,0.0,0.249799,0.2346281,0.28996765999999996,0.005608139999999984,0.04325477,0.29475706,0.06729575999999993,0.0863176,0.046823600000000076,0.055172620000000006,0.12159936999999998,0.20495301,0.01484343999999993,0.027758240000000045,0.018337500000000007,0.17946930000000005,0.07501210000000003,0.006873930000000028,0.1372848000000001,0.04047226000000004,0.41581535000000003,0.19875973000000002,0.015384319999999896,0.14802125,0.21024370000000003,0.23552324000000002,0.07229339999999995,0.017191000000000067,0.015219100000000041,0.22148480000000004,0.12030240000000003,0.10009939000000001,0.019992230000000055,0.01230966,0.08035896000000009,0.08002314999999993,0.055104799999999954,0.04408509999999999,0.20559680000000002,0.07308559999999997,0.010227839999999988,0.09865559999999995,0.030693410000000032,0.07790229999999998,0.05859274999999997,0.38070296,0.03864180000000006,0.06734294000000007,0.15050695999999997,0.18123393,0.05086849999999998,0.06635393,0.10265999999999997,0.11086257,0.1055112399999999,0.06406414999999999,0.39099949999999994,0.002870700000000004,0.06562316000000001,0.20503788,0.06426445999999997,0.04792263000000008,0.0024175499999999905,0.13865039999999995,0.018841499999999956,0.1469498400000001,0.11252489999999993,0.04741099999999998,0.1766723,0.12896030000000003,0.17645049000000002,0.03621730000000001,0.06497496000000003,0.06352669000000011,0.14252102,0.018088400000000004,0.13598480000000002,0.14697890000000002,0.24828755000000002,0.07875290000000001,0.02708012000000004,0.13608980999999998,0.17445266000000004,0.026639949999999968,0.09986665000000006,0.008528140000000017,0.21359732999999992,0.21865414000000005,0.014547839999999979,0.09651640000000006,0.08124982999999997,0.03367695999999998,0.14179617,0.25893664000000005,0.04026435000000006,0.26975345,0.14334634000000002,0.15255096,0.06661249999999996,0.05421195000000001,0.06062770000000006,0.1311403,0.19813579000000003,0.05969335000000009,0.38581619000000006,0.13125589999999998,0.03482897000000007,0.0055922999999999945,0.029282300000000094,0.15067704999999998,0.033632500000000065,0.020290340000000073,0.06588065999999992
AMANDA_UND_EDUARD_noWikiID,0.29708513999999997,0.249799,0.0,0.13364686000000003,0.11526072999999992,0.032570139999999914,0.43386846000000007,0.3614227000000001,0.38459720000000003,0.02631909999999993,0.42451997,0.024452499999999988,0.07746905000000004,0.1727297000000001,0.17282658000000006,0.24962004000000004,0.23841833999999995,0.24857585999999998,0.19189440000000002,0.2055283,0.47465651,0.41553356,0.15826456,0.12477586000000007,0.18719386999999998,0.06564053999999997,0.07596761000000007,0.18191986000000004,0.22480195999999997,0.21372168999999996,0.031270649999999955,0.02127099999999993,0.02375316000000005,0.19336026000000006,0.22935583999999998,0.06313940000000007,0.21594839999999993,0.22893419999999998,0.07741189999999998,0.29816537,0.21151178999999998,0.22320800000000007,0.31443513999999995,0.01062386000000004,0.029852299999999943,0.39123020000000003,0.3465805,0.03842520999999999,0.13443088999999997,0.003815259999999987,0.09747647999999998,0.22743570000000002,0.0674479,0.44183421,0.43800136,0.1452582,0.06120152999999995,0.13361325999999996,0.10401303000000006,0.14963729999999997,0.24263328000000006,0.04980600000000002,0.07823519999999995,0.0012289500000000064,0.23182404,0.2591747000000001,0.09378894000000004,0.1677364600000001,0.00698354000000001,0.40305251,0.36711943,0.46358494000000006,0.15438384000000005,0.11580089999999998,0.256281,0.1084581,0.1122628,0.09818578,0.3872086,0.013883549999999967,0.03523580000000004,0.034242829999999946,0.08069113000000006,0.0624401,0.41087184,0.2458517,0.13947719000000003,0.1479283600000001,0.42317315,0.10507279999999997,0.20177935999999996,0.3765530899999999,0.16457498000000004,0.24211194999999996,0.58063238,0.21610440000000003,0.14724623999999997,0.53033658,0.13392189999999993,0.002479540000000058,0.19770741000000003,0.051730350000000036,0.17175474000000002,0.022881840000000042,0.042783499999999974,0.1649771,0.034829200000000005,0.18784215000000004,0.13194090000000003,0.11548283000000004,0.026494000000000018,0.03387417000000004,0.13183603,0.38853431,0.5381634
ANGELA_BORGIA_noWikiID,0.2665754,0.2346281,0.13364686000000003,0.0,0.25303509999999996,0.19322019999999995,0.32359287000000003,0.3125118600000001,0.29478576,0.04681730000000006,0.35600324000000005,0.01232635999999998,0.03299484000000008,0.27541064000000004,0.28303986,0.23431116000000007,0.24417655000000005,0.12332829999999995,0.06426199999999993,0.21171823,0.49785583999999994,0.2244309,0.34753218,0.21901170000000003,0.06703638999999995,0.15955132000000005,0.10369050000000002,0.2735335400000001,0.07592367,0.20376806999999997,0.23815509999999995,0.20135044999999996,0.05789305,0.17960769,0.08762920000000007,0.22314520000000004,0.27588827000000005,0.050234259999999975,0.014184540000000023,0.23858649999999992,0.29777174000000006,0.40302479999999996,0.3518201000000001,0.07316126,0.04345566000000001,0.30857524000000003,0.1923863,0.40422348,0.07858496000000004,0.03702759,0.08167230000000003,0.16019035999999998,0.08947240999999995,0.14845339999999996,0.35829425000000004,0.03421244000000001,0.27830003999999997,0.23581989999999997,0.31326599999999993,0.02417353,0.22086518999999993,0.21984755,0.009997490000000053,0.11291216000000004,0.2163377999999999,0.3307829,0.00389879999999998,0.11406463999999994,0.13498962999999997,0.3320107,0.25143213,0.32013137,0.09120655,0.0800708,0.3503003,0.09389806,0.24356285,0.004113229999999968,0.36275456000000006,0.08562654999999997,0.13348636999999997,0.04584379999999999,0.19641626,0.16874312999999996,0.20029204,0.2960552000000001,0.03823080000000001,0.18991727000000003,0.07785743999999994,0.28288367000000003,0.25745680000000004,0.25621574,0.11487639999999999,0.2300742,0.34071006000000004,0.024057030000000035,0.22131519999999993,0.6395769299999999,0.019847959999999998,0.07187359999999998,0.23989709999999997,0.03466004,0.002063849999999978,0.22187078000000005,0.044122470000000025,0.16865056,0.07479829999999998,0.16067109999999996,0.06623959999999995,0.17967486,0.17037099999999994,0.22890526,0.17165633999999996,0.31787916000000005,0.30059755999999993
ANNA_noWikiID,0.28140560000000003,0.28996765999999996,0.11526072999999992,0.25303509999999996,0.0,0.4717296,0.035639599999999994,0.13954606999999997,0.11395274,0.13837194000000008,9.603999999996393e-05,0.39172703,0.02934020000000004,0.04394193999999996,0.20472505000000008,0.3478483,0.22535059999999996,0.26858211,0.06524050000000003,0.17279488000000004,0.17443753,0.07415369999999999,0.40208125,0.24528265000000005,0.31047656,0.27895479999999995,0.32142251,0.12927433999999993,0.030307239999999958,0.40964733000000003,0.40280667000000003,0.18042961999999996,0.17401893999999996,0.41200972,0.17724830000000003,0.46986304,0.24986360000000007,0.37209762,0.32365728,0.24877270000000007,0.15669879999999992,0.30745416,0.2950476,0.45850132,0.5080169999999999,0.19144559000000005,0.44942009000000005,0.028523100000000023,0.35416702,0.3553094,0.21277186999999997,0.11622993000000004,0.43465791,0.09114369999999994,0.08795730000000002,0.24140875,0.29506849999999996,0.45286275000000004,0.06902552,0.35051836000000003,0.15579580000000004,0.04051179999999999,0.34047344,0.39095551999999995,0.34519726000000006,0.3153733999999999,0.14881719999999998,0.3770055,0.37844982,0.06104429999999994,0.12148808999999994,0.16165324000000003,0.32765214000000004,0.28706062999999993,0.39488312999999997,0.08863720000000008,0.1596086,0.46244657000000006,0.20178450000000003,0.47953799,0.21078009999999997,0.23063308000000005,0.30763003,0.0042502700000000004,0.15612484000000004,0.37476095,0.17778120000000008,0.44770613,0.14300813999999995,0.22738694999999998,0.17183695,0.28904705999999997,0.10919500000000004,0.28560615,0.024875870000000022,0.22067605,0.28469354,0.28184043999999997,0.18888474,0.5695531899999999,0.21480489999999997,0.3077165,0.20082560000000005,0.2718311,0.40405578000000003,0.32312195999999993,0.26878559,0.37226526000000004,0.49236576000000004,0.36038262000000004,0.3916267,0.27091180000000004,0.09303819999999996,0.12895186999999997,0.017145899999999936
ANTON_REISER_Q593385,0.07910136000000001,0.005608139999999984,0.032570139999999914,0.19322019999999995,0.4717296,0.0,0.11598834000000002,0.15230665,0.13227650000000002,0.04869064000000001,0.0040690500000000185,0.23137796,0.05982756,0.04514688,0.13351680999999999,0.02836234999999998,0.06325639999999999,0.10725210000000007,0.19115949,0.11613689999999999,0.2654059,0.04070829999999992,0.06802589000000003,0.01109294999999999,0.06665270000000001,0.11294784999999996,0.00918489999999994,0.03848549999999995,0.1700251599999999,0.02837309999999993,0.08472476000000007,0.13193135,0.04763925999999996,0.00763862999999998,0.08637910000000004,0.10917973999999997,0.13786276000000008,0.056766800000000006,0.10690951999999998,0.002564860000000002,0.04912104000000006,0.03373300000000001,0.1366286,0.05784290000000003,0.11402140000000005,0.03968214000000003,0.20999569000000007,0.14272613999999995,0.10780113999999996,0.25258334000000005,0.024042659999999993,0.34791296,0.0002925999999999762,0.25228237,0.11764980000000003,0.15062834999999997,0.07613322999999994,0.1008675,0.16859782,0.07647693999999994,0.005095150000000048,0.003955050000000071,0.11859999999999993,0.006157899999999938,0.052191549999999975,0.06099544000000001,0.11818876999999994,0.11432260000000005,0.08248434999999998,0.18585644,0.045791930000000036,0.19384499999999993,0.056690090000000026,0.052310999999999996,0.04851490000000003,0.21936429999999996,0.007444800000000029,0.05508506000000002,0.16194986999999994,0.07469535999999999,0.04222625999999996,0.09363473999999994,0.0690436000000001,0.08153633999999998,0.014046699999999968,0.05345135000000001,0.030019569999999995,0.09800439999999999,0.17327799999999993,0.09247145000000001,0.08617204,0.04259669999999993,0.0700826,0.06720559999999998,0.3020722,0.14778782000000001,0.037501039999999985,0.18916240000000006,0.08192938000000005,0.06930422999999997,0.07853730000000003,0.011083799999999977,0.14761876000000007,0.06372445000000004,0.06926613999999998,0.11490069999999997,0.19147271,0.012975089999999967,0.18900034,0.07267124000000003,0.10012148999999992,0.01866049000000003,0.04025425000000005,0.04605800000000004,0.2646598
AQUIS_SUBMERSUS_Q623355,0.23162196000000002,0.04325477,0.43386846000000007,0.32359287000000003,0.035639599999999994,0.11598834000000002,0.0,0.22376867,0.1387620599999999,0.41031226,0.11122829999999995,0.14308430000000005,0.15049400000000002,0.35857313,0.33648026,0.2562008,0.07309991000000005,0.21506310000000006,0.3427265399999999,0.20743654,0.32735460000000005,0.22393129999999994,0.3312868,0.41490083999999994,0.14756839999999993,0.20518766,0.28089856999999996,0.40028549999999996,0.18349440000000006,0.19661685000000007,0.11824259999999998,0.33845481,0.2708186,0.09274704999999994,0.27623315000000004,0.20261470000000004,0.3590124800000001,0.2222946,0.021137899999999932,0.13210012999999998,0.34640715,0.27892930000000005,0.1559256,0.07002109999999995,0.04342617000000004,0.23590860000000002,0.22548908,0.62037226,0.1552603800000001,0.12864609999999999,0.46305008999999997,0.34782305999999996,0.23751927000000006,0.31390492999999997,0.24105529999999997,0.26382101,0.29461976,0.18232429000000006,0.5472374,0.13437596000000007,0.15436156999999995,0.44754240000000006,0.18380720000000006,0.11441429999999997,0.22670440000000003,0.34974630000000007,0.27620184000000003,0.2682689399999999,0.15686864,0.21071373000000004,0.12938356000000006,0.28597530000000004,0.30777713999999995,0.13818056999999995,0.21047276000000004,0.35078870000000006,0.38658630000000005,0.02116953999999993,0.24347816,0.07864764000000002,0.40695420000000004,0.26414074,0.22144239999999993,0.33710154999999997,0.19857440000000004,0.2243438000000001,0.29929865,0.19651485000000002,0.20524279999999995,0.29917305000000005,0.35867795,0.22496243999999999,0.29520756000000004,0.20962102999999999,0.32024445,0.06907706000000002,0.29005590000000003,0.25269414,0.18687633000000003,0.12782080000000007,0.16520099999999993,0.14327504999999996,0.09199895000000002,0.32983589999999996,0.24360649999999995,0.19093295,0.5266272000000001,0.2849941899999999,0.1365206,0.16989975999999996,0.16426021000000002,0.24826919999999997,0.18033346000000006,0.2743955,0.11008439999999997
ASIATISCHE_BANISE_noWikiID,0.34166807,0.29475706,0.3614227000000001,0.3125118600000001,0.13954606999999997,0.15230665,0.22376867,0.0,0.4793193,0.43949738,0.40194034999999995,0.13042809999999994,0.13686204000000002,0.10768635999999998,0.45319476,0.41918369999999994,0.16265965000000004,0.16965865999999996,0.37628532000000003,0.45583035999999993,0.39664674,0.27985099999999996,0.40765264000000007,0.42856259,0.16914958000000002,0.41207808,0.2324847,0.22402841000000007,0.18487197,0.32358149999999997,0.17348029999999992,0.5166822,0.32298398,0.23918355000000002,0.36911824000000004,0.2805089,0.5003597,0.35954705,0.023287590000000025,0.38768693,0.18426955999999994,0.3751342,0.38393720000000003,0.16021083999999997,0.11145326,0.37166235999999997,0.52551002,0.41842387000000003,0.08399712999999998,0.12832540000000003,0.48509611999999996,0.3093927999999999,0.26109590000000005,0.53005243,0.3182771,0.22837954000000005,0.3087242,0.28414624,0.19485363999999994,0.25006549999999994,0.25015688,0.26247239999999994,0.26983344,0.17167431,0.4259326,0.38941159999999997,0.2586161,0.017641939999999967,0.20740331,0.52411413,0.44153634999999997,0.43091000000000007,0.24716050000000006,0.22423910999999996,0.39909806,0.29385516,0.37404780000000004,0.15442560000000005,0.38224026,0.06316730000000004,0.32743732999999997,0.25358039999999993,0.2489576,0.14298773999999992,0.36572007000000006,0.34369054,0.27897819999999995,0.26348080000000007,0.24073135,0.13646833999999997,0.48605672,0.30374291,0.30141625000000005,0.3617792700000001,0.46899238,0.02776537000000001,0.36399769000000004,0.11359964,0.29981874,0.10211323000000005,0.19738197000000002,0.1739425,0.3550110000000001,0.24743309999999996,0.1793566000000001,0.27324815999999996,0.41122282000000004,0.3542611,0.005306470000000063,0.16615294999999997,0.18328856999999998,0.20841783999999997,0.23057505,0.43897226,0.31302320000000006
AUF_DEM_STAATSHOF_noWikiID,0.12938680000000002,0.06729575999999993,0.38459720000000003,0.29478576,0.11395274,0.13227650000000002,0.1387620599999999,0.4793193,0.0,0.34736495,0.030779300000000065,0.014493350000000071,0.20888260000000003,0.52136972,0.38910130000000004,0.09690935,0.03948936000000003,0.15163989999999994,0.3438778,0.15032447000000004,0.56101237,0.28332753,0.2823698,0.30621529999999997,0.25149524,0.1751781,0.2838492,0.52007426,0.3063249,0.03339665000000003,0.03525730000000005,0.27646032000000004,0.20003329999999997,0.04633675000000004,0.2742821000000001,0.0499001,0.19260347,0.1433413,0.13881109999999997,0.0469200500000001,0.43523695,0.22855903999999994,0.05592823000000002,0.12653725999999998,0.02705959999999996,0.20492914000000007,0.05903910000000001,0.63132554,0.07431703,0.022922600000000015,0.40461587,0.3896159,0.12343419,0.26599149999999994,0.23073708999999998,0.35219939999999994,0.25842369,0.018732190000000037,0.70151064,0.14572090000000004,0.24060055000000002,0.51185496,0.0629267,0.11603112999999998,0.14199294000000007,0.2226209,0.32115316000000005,0.28833210000000004,0.12701363,0.10613740000000005,0.10443804000000001,0.25954350000000004,0.2474787,0.14094090000000004,0.04125310000000004,0.25719179999999997,0.5004822800000001,0.07660309999999992,0.26993696,0.0016104399999999908,0.39522021999999996,0.20482657000000004,0.27542519,0.37535565000000004,0.1937537399999999,0.09443390000000007,0.3156466,0.08072286000000006,0.254502,0.43702671000000004,0.309353,0.013775299999999935,0.4578035999999999,0.17676482999999998,0.2988557799999999,0.09144799999999997,0.15375293999999995,0.5134613299999999,0.16424624,0.02931689999999998,0.12207400000000002,0.18661660000000002,0.10277256999999995,0.3351335,0.30892850000000005,0.007694899999999949,0.44926276,0.18922557000000007,0.049180209999999946,0.15875454999999994,0.12011539999999998,0.29991880000000004,0.25252467,0.24085447000000004,0.22027551999999995
AUS_DEM_LEBEN_EINER_FRAU_Q101323690,0.14967094000000003,0.0863176,0.02631909999999993,0.04681730000000006,0.13837194000000008,0.04869064000000001,0.41031226,0.43949738,0.34736495,0.0,0.3666094,0.08123254999999996,0.12450408999999996,0.29913186,0.35823269999999996,0.14874971000000003,0.15478076000000007,0.0011621600000000232,0.0903754,0.11394110000000002,0.49221918,0.34376116,0.15308716,0.16990306,0.09479446000000002,0.05498499999999995,0.07311546000000002,0.27844900000000006,0.12350523999999996,0.030010399999999993,0.004617259999999956,0.042202839999999964,0.08429054999999996,0.02681689999999992,0.13319590000000003,0.023892500000000094,0.13371506,0.06262045000000005,0.01840010000000003,0.19349969999999994,0.32158071,0.1904148000000001,0.19294,0.12125136999999997,0.0831212,0.34139406000000005,0.08440106999999997,0.2332535,0.1125602,0.050605699999999976,0.08825379999999994,0.15170340000000004,0.0452129,0.32011555,0.38080696,0.04820374999999999,0.16074986000000002,0.012441099999999983,0.36314733999999993,0.05326266000000002,0.23613079999999997,0.21717547000000004,0.059976699999999994,0.07029587000000004,0.14831760000000005,0.16174522999999996,0.05908932999999994,0.10278395000000007,0.05535603,0.28668530000000003,0.3279332300000001,0.28936540999999993,0.14651720000000001,0.08184035,0.14346080000000005,0.009593199999999968,0.20381505,0.06363960000000002,0.2509597,0.03783460000000005,0.04037679999999999,0.04633693999999999,0.14598012000000005,0.18108495000000002,0.3982055,0.20060263,0.06039675999999994,0.043594759999999955,0.26310376,0.1822203,0.3137145,0.1179943,0.1679986,0.21525653999999994,0.5018428300000001,0.28427499,0.09159364000000003,0.71546208,0.12939286000000005,0.16481775999999992,0.13406483999999996,0.02172428000000004,0.04586833999999995,0.1456945999999999,0.08197243999999992,0.05996696999999995,0.04380918,0.04601079999999991,0.20532485,0.09618156999999994,0.0026853400000000915,0.098804,0.16143489,0.30706605,0.44871980000000006
