"","id","Cluster"
"401","KRAMBAMBULI_(ERZAEHLUNG)_Q1385007","Cluster 4"
"402","KREISLERIANA_noWikiID","Cluster 4"
"403","KRIMINAL-HUMORESKEN_noWikiID","Cluster 4"
"404","KUSS_VON_SENTZE_noWikiID","Cluster 4"
"405","L'ADULTERA_Q1744488","Cluster 2"
"406","L'ARRABIATA_noWikiID","Cluster 4"
"407","LA_SIBYLLE_noWikiID","Cluster 3"
"408","LEBEN_DER_SCHWEDISCHEN_GRAEFIN_VON_G_noWikiID","Cluster 4"
"409","LEBEN_DES_QUINTUS_FIXLEIN_Q1810877","Cluster 3"
"410","LEBEN_DES_VERGNUEGTEN_SCHULMEISTERLEIN_MARIA_WUTZ_IN_AUENTHAL_Q1810880","Cluster 4"
"411","LEBEN_UND_TATEN_DES_BERUEHMTEN_RITTERS_SCHNAPPHAHNSKI_Q15825464","Cluster 4"
"412","LEBENS-ANSICHTEN_DES_KATERS_MURR_Q1314475","Cluster 2"
"413","LEBENSGESCHICHTE_UND_NATUERLICHE_ABENTHEUER_DES_ARMEN_MANNES_IN_TOCKENBURG_noWikiID","Cluster 4"
"414","LEDWINA_noWikiID","Cluster 4"
"415","LEIB_WEIHNACHTSKUCHEN_UND_SEIN_KIND_noWikiID","Cluster 4"
"416","LEIDEN_UND_FREUDEN_EINES_SCHULMEISTERS_noWikiID","Cluster 2"
"417","LENZ_(BUECHNER)_Q353180","Cluster 4"
"418","LEUTNANT_GUSTL_Q1821658","Cluster 4"
"419","LIBERTAS_UND_IHRE_FREIER_noWikiID","Cluster 3"
"420","LICHTENSTEIN_noWikiID","Cluster 2"
"421","LIEBESZAUBER_noWikiID","Cluster 4"
"422","LIED_DER_PARZEN_noWikiID","Cluster 3"
"423","LIENHARD_UND_GERTRUD_Q1824235","Cluster 2"
"424","LOLA_noWikiID","Cluster 4"
"425","LOTTI,_DIE_UHRMACHERIN_noWikiID","Cluster 3"
"426","LUCINDE_Q1873464","Cluster 3"
"427","LYDIA_noWikiID","Cluster 3"
"428","MADONNA_noWikiID","Cluster 4"
"429","MAERCHEN_DES_LEBENS_noWikiID","Cluster 4"
"430","MALER_NOLTEN_Q1752673","Cluster 3"
"431","MARIA_noWikiID","Cluster 2"
"432","MARION_noWikiID","Cluster 4"
"433","MARQUISE_VON_O_noWikiID","Cluster 3"
"434","MARTIN_SALANDER_Q1904882","Cluster 3"
"435","MEIN_HERZ_(ROMAN)_Q20827330","Cluster 4"
"436","MEINE_KINDERJAHRE_Q1918015","Cluster 4"
"437","MEISTER_AUTOR_ODER_DIE_GESCHICHTEN_VOM_VERSUNKENEN_GARTEN_Q1452385","Cluster 2"
"438","MEISTER_FLOH_Q837936","Cluster 2"
"439","MEISTER_MARTIN_DER_KUEFNER_UND_SEINE_GESELLEN_Q1918300","Cluster 4"
"440","MEISTER_TIMPE_noWikiID","Cluster 2"
"441","MICHAEL_KOHLHAAS_Q279676","Cluster 3"
"442","MODERNE_LEBENSWIRREN_noWikiID","Cluster 3"
"443","MORALISCHEN_ERZAEHLUNGEN_noWikiID","Cluster 4"
"444","MOZART_AUF_DER_REISE_NACH_PRAG_Q1951309","Cluster 4"
"445","MUENCHHAUSEN_noWikiID","Cluster 2"
"446","NACH_DEM_GROSSEN_KRIEGE_Q1269839","Cluster 2"
"447","NACHTSTUECKE_Q15836200","Cluster 2"
"448","NACHTWACHEN_Q1962904","Cluster 4"
"449","NESTHAEKCHEN_(KINDERBUCHREIHE)_Q1747891","Cluster 4"
"450","NEUE_GESCHICHTEN_AUS_DEM_GHETTO_noWikiID","Cluster 4"
"451","NEUE_IDYLLEN_noWikiID","Cluster 3"
"452","NINON_noWikiID","Cluster 3"
"453","NOVELLEN_AUS_OESTERREICH_noWikiID","Cluster 1"
"454","PANKRAZ_DER_SCHMOLLER_Q2049588","Cluster 4"
"455","PAPA_HAMLET_Q2050484","Cluster 4"
"456","PARALYSE_noWikiID","Cluster 3"
"457","PETER_CAMENZIND_Q576493","Cluster 4"
"458","PETER_SCHLEMIHLS_WUNDERSAME_GESCHICHTE_Q1093419","Cluster 4"
"459","PFISTERS_MUEHLE_Q1373296","Cluster 3"
"460","PFLUG_UND_SCHRAUBSTOCK_noWikiID","Cluster 4"
"461","PLAUTUS_IM_NONNENKLOSTER_Q1772718","Cluster 4"
"462","POLE_POPPENSPAELER_Q1760267","Cluster 3"
"463","POLIZEIGESCHICHTEN_noWikiID","Cluster 4"
"464","POLNISCHE_GHETTO-GESCHICHTEN_noWikiID","Cluster 4"
"465","PRINZESSIN_BRAMBILLA_Q570890","Cluster 3"
"466","PRINZESSIN_FISCH_Q2110713","Cluster 3"
"467","PROFESSOR_UNRAT_Q457481","Cluster 4"
"468","PROKOPUS_Q23689421","Cluster 4"
"469","PSYCHE_noWikiID","Cluster 4"
"470","QUITT_(FONTANE)_Q1589389","Cluster 3"
"471","REICH_UND_ARM_noWikiID","Cluster 3"
"472","REICHSGRAEFIN_GISELA_noWikiID","Cluster 3"
"473","REISE_NACH_BRAUNSCHWEIG_noWikiID","Cluster 3"
"474","REISENOVELLEN_noWikiID","Cluster 4"
"475","REITERGESCHICHTE_Q2142105","Cluster 4"
"476","RENATE_noWikiID","Cluster 3"
"477","REQUIEM_DER_LIEBE_noWikiID","Cluster 3"
"478","REVOLUTION_UND_CONTREREVOLUTION_noWikiID","Cluster 3"
"479","RINALDO_RINALDINI_noWikiID","Cluster 4"
"480","RITTMEISTER_BRAND_noWikiID","Cluster 2"
"481","ROBINSON_DER_JUENGERE_Q42195141","Cluster 4"
"482","ROMAN_AUS_DER_DECADENCE_noWikiID","Cluster 4"
"483","ROSSHALDE_Q2171354","Cluster 4"
"484","RUHE_IST_DIE_ERSTE_BUERGERPFLICHT_noWikiID","Cluster 2"
"485","RYNO_Q2178262","Cluster 4"
"486","SALY'S_REVOLUTIONSTAGE_noWikiID","Cluster 4"
"487","SANKT_THOMAS_(NOVELLE)_Q1499960","Cluster 4"
"488","SATIRISCHE_ERZAEHLUNGEN_noWikiID","Cluster 3"
"489","SCHACH_VON_WUTHENOW_Q2229265","Cluster 2"
"490","SCHACHTEL_MIT_DER_FRIEDENSPUPPE_noWikiID","Cluster 4"
"491","SCHELMUFFSKY_Q107356648","Cluster 4"
"492","SCHICKSALE_EINER_SEELE_noWikiID","Cluster 3"
"493","SCHLOSS_AVALON_noWikiID","Cluster 3"
"494","SCHLOSS_UND_FABRIK_noWikiID","Cluster 2"
"495","SCHWARZWAELDER_DORFGESCHICHTEN_Q60982841","Cluster 2"
"496","SCHWEIGEN_noWikiID","Cluster 4"
"497","SELTSAMES_BEGEGNEN_UND_WIEDERSEHEN_Q2268722","Cluster 4"
"498","SERAPHINE_noWikiID","Cluster 4"
"499","SIBILLA_DALMAR_noWikiID","Cluster 3"
"500","SIEBEN_LEGENDEN_Q1652394","Cluster 4"
"501","SIEBENKAES_Q2282375","Cluster 3"
"502","SIEGWART_noWikiID","Cluster 2"
"503","SOLL_UND_HABEN_(ROMAN)_Q2298931","Cluster 1"
"504","STERBEN_noWikiID","Cluster 3"
"505","STINE_(FONTANE)_Q1691464","Cluster 3"
"506","STOPFKUCHEN_Q1495045","Cluster 2"
"507","STUFENJAHRE_EINES_GLUECKLICHEN_noWikiID","Cluster 4"
"508","STURMFLUT_noWikiID","Cluster 1"
"509","TAGEBUCH_EINER_VERLORENEN_Q7675198","Cluster 2"
"510","TAMBI_noWikiID","Cluster 4"
"511","TITAN_(JEAN_PAUL)_Q492384","Cluster 3"
"512","TOD_IN_VENEDIG_Q828296","Cluster 4"
"513","TONIO_KROEGER_Q692988","Cluster 4"
"514","TOTENMESSE_noWikiID","Cluster 4"
"515","TRAGIK_DES_LEBENS_noWikiID","Cluster 3"
"516","ULI_DER_KNECHT_noWikiID","Cluster 2"
"517","ULI_DER_PAECHTER_noWikiID","Cluster 2"
"518","UNDINE_noWikiID","Cluster 3"
"519","UNRUHIGE_GAESTE_Q2496722","Cluster 3"
"520","UNSUEHNBAR_noWikiID","Cluster 3"
"521","UNTERHALTUNGEN_DEUTSCHER_AUSGEWANDERTEN_Q1680528","Cluster 3"
"522","UNTERHALTUNGEN_MIT_EINER_HEILIGEN_noWikiID","Cluster 3"
"523","UNTERM_BIRNBAUM_Q938689","Cluster 4"
"524","UNTERM_RAD_Q1325403","Cluster 4"
"525","UNWIEDERBRINGLICH_Q2499503","Cluster 2"
"526","USONG_noWikiID","Cluster 4"
"527","VENUS_IM_PELZ_Q677592","Cluster 4"
"528","VEREINIGUNGEN_noWikiID","Cluster 4"
"529","VERWORRENES_LEBEN_noWikiID","Cluster 2"
"530","VIEL_LAERMEN_UM_NICHTS_noWikiID","Cluster 3"
"531","VITTORIA_ACCOROMBONA_Q1403207","Cluster 3"
"532","VON_PAUL_ZU_PEDRO_noWikiID","Cluster 4"
"533","VOR_DEM_STURM_(ROMAN)_Q1273542","Cluster 2"
"534","WALDEINSAMKEIT_noWikiID","Cluster 4"
"535","WALDHEIMAT_Q41547677","Cluster 1"
"536","WALLY,_DIE_ZWEIFLERIN_noWikiID","Cluster 4"
"537","WAS_DIE_ISAR_RAUSCHT_noWikiID","Cluster 3"
"538","WEISSE_SCLAVEN_ODER_DIE_LEIDEN_DES_VOLKES_noWikiID","Cluster 3"
"539","WIE_FRAUEN_WERDEN._WERDE,_DIE_DU_BIST_noWikiID","Cluster 4"
"540","WIE_FUENF_MAEDCHEN_IM_BRANNTWEIN_JAEMMERLICH_UMKOMMEN_Q1751009","Cluster 3"
"541","WIE_WUNDERBAR_noWikiID","Cluster 4"
"542","WIENER_BLUT_noWikiID","Cluster 3"
"543","WILHELM_MEISTERS_LEHRJAHRE_Q1194031","Cluster 1"
"544","WILHELM_MEISTERS_THEATRALISCHE_SENDUNG_Q2574172","Cluster 2"
"545","WILHELM_MEISTERS_WANDERJAHRE_Q478344","Cluster 1"
"546","WILLIAM_LOVELL_Q2579763","Cluster 2"
"547","WOLDEMAR_noWikiID","Cluster 4"
"548","ZERBIN_ODER_DIE_NEUERE_PHILOSOPHIE_noWikiID","Cluster 4"
"549","ZUERICHER_NOVELLEN_Q248678","Cluster 4"
"550","ZUM_WILDEN_MANN_Q229600","Cluster 3"
"551","ZUM_ZEITVERTREIB_noWikiID","Cluster 3"
"552","ZUR_CHRONIK_VON_GRIESHUUS_noWikiID","Cluster 2"
"553","ZUR_WALD-_UND_WASSERFREUDE_noWikiID","Cluster 2"
"554","ZWEI_SCHWESTERN_noWikiID","Cluster 3"
"555","ZWISCHEN_HIMMEL_UND_ERDE_(ERZAEHLUNG_1856)_Q64733588","Cluster 4"
